date,January,February,March,April,May,June,July,August,September,October,November,December
1950,4.80,2.56,3.74,1.30,1.05,2.08,0.83,0.79,1.53,2.76,2.93,3.07
1951,3.13,3.30,2.17,1.49,1.60,1.12,0.84,1.64,0.44,3.51,2.37,4.53
1952,3.05,2.39,2.16,0.93,2.06,2.45,0.77,0.40,0.33,0.13,1.02,2.70
1953,5.63,2.40,1.77,2.28,2.99,1.99,0.14,0.73,0.24,0.58,2.39,2.54
1954,4.26,2.03,2.24,1.93,1.13,2.74,0.84,1.25,0.70,0.79,1.66,1.91
1955,1.71,2.04,2.04,2.75,2.00,1.86,1.29,0.44,1.15,2.15,3.67,6.21
1956,4.18,2.08,1.73,1.15,2.62,1.38,0.70,0.85,0.48,3.44,0.91,2.59
1957,2.25,2.98,2.97,2.08,4.74,1.49,0.38,0.71,0.29,2.01,1.69,3.47
1958,2.64,3.17,2.04,3.24,1.51,2.61,1.01,0.55,0.98,0.86,3.66,2.95
1959,3.63,2.34,1.77,1.30,2.72,1.40,0.22,0.87,3.49,1.99,1.72,1.49
1960,2.03,2.83,2.99,1.84,2.10,0.61,0.35,1.44,0.71,1.45,4.01,1.22
1961,1.24,3.40,2.52,1.65,2.16,0.90,0.56,0.97,2.17,2.51,2.33,2.86
1962,2.05,2.80,2.42,1.39,3.36,1.20,0.76,0.78,1.07,2.55,3.00,1.66
1963,2.15,3.04,1.95,3.19,2.20,3.84,0.30,0.86,1.80,1.34,3.60,1.97
1964,3.59,0.80,2.73,2.26,1.88,3.89,0.86,1.19,0.74,1.02,3.21,8.52
1965,4.63,1.46,0.66,3.42,1.70,2.14,0.84,2.33,1.25,0.49,2.78,1.56
1966,2.74,1.56,2.26,0.95,0.99,1.39,0.32,0.47,0.93,1.10,2.95,3.16
1967,4.60,1.29,2.70,2.79,1.59,3.23,0.70,0.17,0.85,3.09,1.86,2.62
1968,2.30,3.26,1.61,1.28,2.00,2.14,0.37,2.82,1.75,1.92,3.48,3.55
1969,6.16,2.16,0.90,1.50,1.09,2.57,0.49,0.13,1.22,1.39,1.03,2.94
1970,6.15,1.43,2.45,2.10,1.99,3.01,1.19,0.37,2.01,1.83,4.00,3.62
1971,4.90,1.85,3.01,2.40,2.05,2.74,0.46,0.76,1.38,1.63,2.82,4.13
1972,4.30,3.21,2.64,1.92,1.50,1.95,0.56,0.85,1.50,1.76,1.89,3.45
1973,2.46,1.15,1.87,1.25,1.27,1.48,0.94,0.48,1.99,1.27,5.88,4.05
1974,4.55,2.18,4.31,1.60,1.04,0.85,0.77,0.80,0.17,1.38,1.95,3.07
1975,3.81,3.47,2.86,2.76,1.73,1.75,1.43,1.40,0.21,3.98,2.47,3.25
1976,2.96,2.92,2.04,2.42,1.43,1.56,1.01,2.16,1.74,0.80,0.56,0.69
1977,1.25,0.81,1.92,0.39,3.28,1.52,1.44,1.59,2.06,0.99,3.21,5.55
1978,3.32,2.86,1.57,3.29,2.26,0.89,1.25,1.24,2.13,0.11,1.74,2.58
1979,2.36,3.37,1.68,1.73,1.56,0.88,0.58,1.58,0.27,2.27,1.49,2.08
1980,4.31,2.41,2.35,1.63,4.46,2.09,1.05,0.89,2.41,0.98,2.37,3.72
1981,1.41,2.41,2.06,2.62,3.24,2.42,0.73,0.26,0.86,2.08,3.58,4.47
1982,3.72,3.35,3.32,2.80,1.56,1.77,1.81,0.80,2.44,2.61,2.57,3.80
1983,2.57,2.95,3.85,1.69,1.87,2.04,2.20,2.02,1.47,1.60,4.81,4.34
1984,1.75,2.11,2.76,2.43,2.70,2.99,1.46,1.29,1.24,2.00,3.98,2.64
1985,0.68,1.93,2.08,1.11,2.14,0.92,0.91,0.79,3.24,1.95,3.06,1.33
1986,2.74,5.74,2.30,2.35,2.10,1.11,1.01,0.91,2.76,0.86,2.58,0.62
1987,2.00,1.62,2.35,0.92,2.75,1.39,1.98,0.63,0.12,0.17,1.67,2.82
