date,January,February,March,April,May,June,July,August,September,October,November,December
1950,6.03,6.75,5.40,5.28,6.29,7.21,6.47,3.75,3.22,2.24,2.08,4.43
1951,6.80,2.76,6.26,2.94,1.75,4.21,5.57,1.87,6.74,0.85,2.66,5.87
1952,2.86,6.48,3.51,6.80,5.69,1.41,6.39,2.75,2.21,0.03,4.45,5.59
1953,3.13,6.65,5.09,7.82,12.52,3.60,5.78,4.60,0.87,1.37,4.75,7.90
1954,3.99,1.31,2.29,3.15,7.04,1.94,5.70,1.84,3.00,3.75,2.52,3.18
1955,5.15,6.84,1.74,6.64,5.76,3.69,9.28,6.56,2.69,1.86,3.42,3.37
1956,3.11,7.38,4.39,3.39,3.71,4.73,3.35,3.50,2.62,2.43,3.24,6.96
1957,3.18,3.70,6.55,8.07,3.83,9.30,3.64,2.83,7.60,5.11,9.66,3.53
1958,4.61,3.43,5.31,5.71,5.52,5.58,6.15,6.41,9.38,1.62,2.39,1.55
1959,3.49,7.12,3.33,4.95,6.05,5.51,8.36,4.77,2.65,5.75,2.34,4.83
1960,4.30,4.79,3.33,3.26,2.59,2.98,3.67,8.23,2.42,4.58,2.59,6.44
1961,5.89,7.62,8.50,2.73,3.81,8.00,7.44,4.49,5.68,1.52,7.63,8.59
1962,5.59,1.88,2.68,5.00,2.68,6.42,2.35,4.55,3.21,3.10,3.18,3.79
1963,3.90,3.57,1.72,2.01,2.07,5.35,6.07,3.23,4.63,0.13,5.89,4.33
1964,5.74,3.79,6.35,6.61,3.31,2.48,6.32,5.14,4.62,3.48,4.31,4.89
1965,3.44,5.79,5.48,0.81,3.68,2.95,4.52,4.93,6.60,0.69,2.60,5.96
1966,8.07,10.25,1.47,7.52,5.11,2.38,4.75,5.79,4.08,4.09,2.41,4.49
1967,2.59,4.44,1.97,5.05,7.48,2.85,6.43,5.09,3.00,3.70,0.54,9.36
1968,5.18,3.11,3.42,6.25,6.15,4.24,4.88,5.02,4.66,1.82,6.33,6.97
1969,1.74,5.10,5.84,6.74,5.79,1.54,6.67,2.73,2.10,3.28,2.15,6.21
1970,2.30,3.11,5.31,2.70,4.95,3.95,4.68,5.34,4.81,9.00,2.12,3.73
1971,1.71,4.99,3.61,1.37,5.56,3.32,6.81,4.45,7.67,1.91,2.99,9.61
1972,7.88,2.82,5.77,2.25,5.56,2.77,6.16,3.22,4.51,4.89,5.81,7.47
1973,5.11,3.69,10.08,9.30,4.70,4.17,5.33,3.72,10.10,4.69,5.77,6.22
1974,10.89,4.04,4.29,5.98,5.81,3.86,4.92,6.03,5.80,2.79,6.05,6.22
1975,5.16,4.13,5.76,5.57,10.00,7.78,7.78,6.69,3.41,4.17,3.24,3.07
1976,2.97,3.04,6.56,1.23,5.63,5.19,5.39,2.69,3.13,3.22,4.35,6.11
1977,5.40,2.57,5.89,6.31,2.38,2.75,5.02,8.44,5.16,3.67,8.08,3.75
1978,7.49,2.75,2.52,2.34,6.29,4.91,4.64,6.44,3.43,0.59,4.71,4.66
