date,January,February,March,April,May,June,July,August,September,October,November,December
1950,1.52,0.38,1.91,2.51,4.50,3.04,3.56,1.89,2.60,1.97,1.09,1.08
1951,0.50,1.28,2.49,2.00,2.89,4.61,3.24,5.21,3.36,2.28,1.14,1.52
1952,1.06,0.59,1.47,0.94,1.54,4.99,5.49,4.18,0.61,0.18,1.06,0.35
1953,0.98,0.91,1.37,2.85,4.21,6.07,4.07,4.55,1.75,0.59,1.50,1.23
1954,0.85,0.87,1.27,2.86,3.39,3.79,2.96,2.93,3.22,1.67,0.62,0.29
1955,0.56,1.26,0.85,1.77,2.21,3.46,5.74,3.29,2.43,1.27,1.13,0.99
1956,0.82,0.32,1.37,1.66,3.10,3.50,3.79,4.50,1.07,1.52,1.68,0.70
1957,0.30,0.68,1.12,2.14,3.38,6.67,4.28,3.84,3.43,1.61,1.47,0.39
1958,0.44,0.23,0.43,1.71,1.53,3.61,3.84,2.89,2.33,1.09,2.02,0.43
1959,0.30,0.52,0.36,0.69,5.32,3.46,2.89,5.37,2.89,2.34,0.74,1.19
1960,0.65,0.21,0.54,3.02,3.69,3.64,2.51,4.31,2.34,1.22,1.15,0.82
1961,0.22,0.55,1.14,2.27,3.07,1.61,3.98,2.12,4.52,1.73,0.93,0.90
1962,0.67,1.44,0.98,1.76,5.98,3.39,5.69,3.58,3.03,0.88,0.41,0.40
1963,0.31,0.55,1.21,2.54,3.23,3.83,4.62,2.92,2.40,0.87,0.87,0.73
1964,0.45,0.20,1.08,3.47,3.12,4.16,2.65,4.78,4.27,0.49,1.00,0.98
1965,0.35,0.87,2.49,2.96,4.93,4.06,3.59,3.02,6.19,1.48,1.86,1.44
1966,0.69,0.93,2.18,2.09,1.70,3.23,3.59,5.00,1.46,2.26,0.57,0.97
1967,1.76,0.73,0.80,2.98,1.34,5.97,1.91,2.27,1.10,1.37,0.30,0.95
1968,0.68,0.13,1.34,3.96,2.69,6.16,4.54,2.78,4.40,4.19,0.52,2.06
1969,2.60,0.64,0.55,1.85,2.96,3.43,4.26,1.93,2.46,2.63,0.77,1.61
