date,January,February,March,April,May,June,July,August,September,October,November,December
1950,8.44,7.04,6.98,3.30,5.01,4.09,7.41,5.35,3.87,1.85,2.92,4.46
1951,7.08,4.70,8.87,4.35,0.97,4.89,4.42,1.64,4.34,1.20,3.28,8.01
1952,3.72,4.31,4.33,4.06,5.27,1.13,2.93,2.81,2.23,0.23,3.80,5.17
1953,4.50,7.87,5.64,8.00,7.98,2.55,5.76,3.04,0.88,0.59,2.54,7.62
1954,5.17,2.51,3.03,4.00,5.67,1.78,3.80,1.42,2.14,2.59,2.92,4.40
1955,4.31,6.01,4.41,8.19,4.65,3.11,7.14,3.61,1.40,1.70,3.42,3.00
1956,2.69,8.92,5.92,5.32,2.99,4.47,3.70,2.84,1.90,3.43,2.09,6.36
1957,5.49,4.17,4.27,6.06,4.11,7.60,3.75,2.02,8.99,3.88,10.08,3.71
1958,3.69,3.40,5.80,6.99,5.72,5.83,7.53,3.50,8.25,1.63,3.36,1.62
1959,4.05,5.18,4.14,5.08,5.20,4.62,6.64,3.63,3.94,5.01,3.14,5.04
1960,5.51,4.33,5.74,2.74,4.19,2.41,2.97,7.25,2.85,4.31,2.37,3.93
1961,3.88,10.15,11.25,3.40,3.01,6.66,5.98,3.61,3.15,1.46,9.44,11.49
1962,8.12,3.94,4.05,6.30,2.97,4.78,2.83,3.11,2.72,2.95,2.87,2.90
1963,4.29,3.06,4.02,3.05,2.22,3.94,7.10,2.87,1.69,0.07,3.77,4.93
1964,5.56,3.63,8.09,10.75,2.77,3.17,5.67,4.68,3.86,3.98,4.81,5.94
1965,3.58,6.91,6.47,1.66,2.14,3.47,4.36,4.47,5.05,1.32,1.92,3.22
1966,6.57,9.84,2.14,6.40,4.78,1.81,3.58,4.12,3.94,2.93,2.53,4.95
1967,2.39,4.29,2.34,3.83,7.39,2.78,6.30,5.34,2.45,3.11,1.87,9.98
1968,5.77,2.57,4.25,6.26,5.66,2.45,4.27,3.94,4.68,1.88,5.47,7.50
1969,2.46,4.35,5.25,7.81,3.36,2.14,5.00,4.31,2.44,2.43,3.35,8.01
1970,2.44,3.60,6.52,5.84,3.53,4.48,4.33,5.71,2.34,8.02,2.33,4.45
1971,3.28,7.04,6.44,3.71,5.59,3.90,6.91,3.86,5.56,1.11,2.19,8.88
1972,8.39,2.55,5.79,3.14,5.02,3.63,4.81,2.50,4.09,3.42,6.32,8.66
1973,5.81,4.24,12.87,8.45,6.02,3.13,4.89,3.67,4.67,3.30,7.79,7.08
1974,11.01,4.84,4.25,8.05,5.89,6.12,4.23,5.43,5.41,2.12,4.81,7.08
1975,5.75,5.90,8.38,5.52,8.21,5.36,5.68,6.08,4.14,5.34,4.37,3.80
1976,3.84,3.53,10.03,1.31,5.99,4.08,4.04,2.04,3.51,3.89,3.65,4.29
1977,5.20,2.89,7.74,6.91,2.30,2.21,6.13,3.38,6.83,4.25,8.71,2.96
1978,5.89,2.22,3.05,3.11,9.95,4.61,3.82,3.87,2.18,0.43,3.85,6.41
1979,10.70,6.62,5.82,10.58,6.12,2.71,8.58,3.91,6.88,2.19,7.42,4.05
1980,5.84,2.58,14.01,9.32,6.70,3.64,4.07,1.69,4.06,4.28,4.53,1.25
1981,1.53,4.54,5.74,1.98,5.18,3.77,4.42,2.66,3.16,3.23,1.63,4.50
1982,5.63,5.76,3.44,7.03,2.43,4.69,5.36,5.22,2.18,4.20,6.26,14.34
1983,4.96,8.13,6.23,11.53,9.28,6.31,2.08,2.83,3.69,2.24,7.25,9.79
1984,3.40,5.18,5.43,5.33,5.76,2.67,4.11,5.10,0.84,9.74,5.31,2.06
1985,3.84,6.21,3.55,3.74,2.76,3.28,4.74,6.07,4.52,8.33,1.98,3.75
1986,1.30,2.40,3.61,2.00,6.74,4.25,2.74,3.20,2.56,5.17,9.90,4.93
1987,5.14,8.85,5.15,1.62,5.70,5.18,3.10,4.52,2.09,0.57,5.80,4.61
1988,3.38,4.70,6.04,4.08,1.41,1.23,5.80,3.80,6.48,4.88,5.60,5.00
1989,6.68,5.20,5.63,2.89,7.41,9.98,8.10,2.25,5.24,1.30,6.04,4.80
1990,9.15,9.17,6.07,3.99,6.67,3.82,3.07,1.76,2.41,2.42,3.87,8.57
1991,6.15,7.98,6.12,14.36,10.57,4.10,3.65,3.77,4.03,2.46,3.56,7.15
1992,5.23,4.99,4.69,3.22,1.76,6.75,4.93,7.06,3.20,1.84,7.38,4.96
1993,6.57,3.39,5.31,5.29,5.19,4.40,4.12,4.34,3.27,4.02,4.84,4.34
1994,7.11,5.14,6.53,4.42,4.18,6.22,7.70,2.27,2.95,5.57,3.69,4.71
1995,5.02,3.74,7.46,7.49,5.25,2.92,4.87,3.93,1.76,3.93,4.87,6.21
1996,5.99,2.82,5.88,5.70,2.29,4.74,4.91,4.61,4.48,3.28,4.34,5.08
1997,6.48,7.30,5.35,7.09,7.10,7.34,4.11,3.46,2.58,4.59,4.27,5.18
1998,9.29,6.00,5.75,5.35,2.29,2.38,6.49,3.07,4.77,1.54,3.78,6.34
1999,9.67,2.16,6.59,3.45,3.77,5.05,3.83,1.89,2.60,3.15,1.99,3.75
2000,3.14,1.88,5.15,6.73,2.36,4.51,1.88,1.95,2.67,0.99,9.17,4.21
2001,5.91,5.71,7.71,3.48,3.29,6.58,4.50,5.86,5.06,5.61,6.59,5.98
2002,6.06,3.42,7.30,2.84,4.66,3.23,5.36,4.02,9.69,8.05,4.32,7.13
2003,1.75,8.83,3.48,5.11,5.79,8.01,6.01,4.89,3.97,2.50,5.27,3.37
2004,4.25,8.44,2.87,4.07,7.32,9.65,4.33,4.09,1.60,5.12,8.29,5.78
2005,3.60,5.42,4.18,6.96,3.19,3.42,6.26,6.95,3.28,0.08,2.93,4.37
2006,6.13,6.15,3.75,3.49,3.70,1.78,3.14,3.73,3.85,7.05,3.53,6.17
2007,4.89,2.44,0.85,3.64,2.40,3.16,7.44,2.14,3.86,4.72,2.22,4.02
2008,4.13,5.56,4.22,5.55,6.11,2.50,2.84,8.54,5.95,2.58,3.26,8.20
2009,3.70,3.32,8.32,3.53,8.69,1.55,6.98,3.69,7.86,9.89,2.00,8.89
2010,5.14,4.31,3.89,2.77,5.89,3.11,4.15,4.91,0.84,1.73,5.58,1.59
