date,January,February,March,April,May,June,July,August,September,October,November,December
1950,4.95,2.65,2.04,3.49,5.79,4.36,4.54,6.60,2.09,1.07,1.52,0.52
1951,2.21,4.43,3.35,3.05,3.53,8.99,5.81,5.37,5.31,3.94,3.69,1.55
1952,1.29,2.11,3.88,3.75,2.99,2.26,3.66,5.28,1.50,0.50,3.51,1.80
1953,1.49,1.60,4.41,3.80,2.89,2.10,1.86,1.37,1.27,2.01,1.02,1.30
1954,1.58,1.74,2.08,3.63,4.54,3.30,1.40,4.96,2.44,5.50,0.84,3.29
1955,1.22,3.24,2.83,2.42,5.20,4.76,3.07,2.75,3.22,3.54,0.93,0.29
1956,0.85,2.84,0.79,2.76,4.77,3.38,5.55,3.15,0.95,1.47,2.28,2.55
1957,2.02,2.74,2.90,6.83,7.84,6.59,3.36,2.20,3.07,3.53,3.62,3.37
1958,1.54,1.54,4.06,2.96,4.17,5.47,10.52,2.45,4.75,1.25,3.79,0.57
1959,1.93,2.07,2.84,2.62,5.15,2.32,3.98,3.19,5.08,4.74,1.49,2.95
1960,1.79,1.84,2.17,3.57,5.07,3.96,3.65,3.06,1.60,3.91,1.93,2.37
1961,0.42,2.27,5.52,3.79,7.52,3.34,6.18,2.79,6.98,2.69,3.92,2.40
1962,2.80,2.52,3.05,2.10,3.56,3.94,3.12,2.33,5.48,3.62,0.98,1.46
1963,0.60,0.30,4.18,1.87,5.54,3.25,3.97,3.37,1.65,0.97,2.58,0.71
1964,0.86,1.72,4.61,5.73,3.45,5.15,2.86,4.02,3.95,0.45,3.30,1.46
1965,3.13,1.80,2.65,4.54,3.16,5.60,4.83,4.77,8.28,1.20,0.99,2.47
1966,1.83,2.95,1.24,5.03,3.81,3.50,2.90,4.10,3.33,1.87,1.83,2.26
1967,1.78,1.20,2.18,4.68,5.04,6.75,3.65,1.51,3.89,6.54,1.54,3.98
1968,1.49,1.23,2.88,3.81,5.03,3.00,4.58,3.93,4.10,2.58,5.33,3.21
1969,4.09,1.46,2.37,4.81,2.93,6.30,5.47,2.29,4.72,6.28,0.79,2.11
1970,0.42,0.84,2.72,5.69,5.42,5.72,1.17,5.21,8.60,4.50,1.63,1.88
1971,1.81,2.41,1.13,1.86,3.99,3.05,3.98,2.08,3.46,2.59,2.37,5.15
1972,0.97,1.17,2.16,4.79,3.06,1.99,4.43,3.08,4.95,3.58,5.76,2.56
1973,3.26,1.75,8.68,6.65,6.28,4.00,4.78,2.07,6.59,4.61,4.54,3.93
1974,2.67,2.06,3.68,3.64,6.31,3.90,1.72,5.85,3.72,2.82,4.20,2.09
1975,3.23,3.20,4.30,3.94,3.94,4.18,1.77,5.10,4.90,1.54,3.11,2.62
1976,0.85,1.49,3.83,3.71,3.82,3.44,2.89,1.96,1.62,3.75,0.58,0.62
1977,1.38,1.35,5.20,2.20,3.95,5.71,2.66,5.70,6.87,4.16,2.96,2.17
1978,1.12,1.30,4.04,4.21,5.05,3.23,4.99,4.12,2.89,1.83,5.19,2.38
1979,2.82,1.86,4.06,5.06,4.46,3.91,5.20,3.56,1.57,2.94,3.41,1.48
1980,1.13,1.40,3.80,1.94,2.51,2.67,1.93,3.77,3.00,3.54,1.36,1.79
1981,0.48,1.76,1.90,3.17,7.54,7.62,7.39,3.33,1.86,4.51,3.05,1.60
1982,4.43,1.17,2.85,2.65,6.19,5.16,3.40,7.90,2.75,2.75,3.57,7.99
1983,0.64,0.80,2.82,7.35,5.06,3.44,1.75,1.61,2.43,5.56,6.94,2.78
1984,0.59,2.37,4.93,5.28,4.00,4.01,2.77,1.47,5.07,7.08,4.24,4.49
1985,2.10,4.01,4.85,3.07,4.73,6.77,2.59,6.08,3.17,4.31,7.66,2.42
1986,0.10,2.71,1.65,3.45,5.37,3.35,4.18,3.32,8.34,6.10,2.02,1.84
1987,1.41,2.22,3.22,2.15,3.49,3.36,4.95,4.67,2.61,2.13,4.44,5.64
1988,1.31,1.95,3.91,2.33,2.30,1.44,4.05,3.61,4.30,1.80,4.97,2.24
1989,1.97,2.92,3.19,1.60,4.14,4.37,3.96,4.90,3.01,1.98,0.52,0.76
1990,2.79,4.41,5.06,3.67,8.99,4.89,3.92,2.97,2.35,3.62,3.13,4.65
1991,2.02,0.71,2.76,5.38,5.26,2.21,3.40,2.26,3.71,4.28,4.29,2.84
1992,0.98,2.07,2.91,3.53,2.43,2.93,7.13,2.37,4.78,1.44,7.72,3.46
1993,3.26,1.97,2.69,4.36,4.97,6.35,8.92,4.25,11.31,2.33,4.41,1.79
1994,1.54,2.11,2.04,9.41,2.48,3.73,3.08,3.67,2.48,3.17,6.43,1.94
1995,3.13,1.43,1.93,5.14,9.78,5.40,3.89,3.49,2.33,1.81,1.67,2.05
1996,2.48,0.55,2.78,4.50,6.82,3.94,4.80,2.85,5.73,2.94,5.15,1.14
1997,1.86,4.26,3.03,3.74,5.06,4.02,2.21,4.13,3.21,3.42,2.39,2.48
1998,2.49,2.96,5.83,4.09,3.20,7.27,6.44,2.38,4.65,5.66,3.21,1.69
1999,3.28,2.27,2.75,6.01,4.65,4.78,1.93,2.20,2.56,1.53,1.14,3.75
2000,1.37,2.74,2.55,1.23,4.16,6.94,4.05,2.69,2.83,2.81,2.88,1.45
2001,1.98,4.39,1.71,2.97,5.50,5.91,4.87,2.98,3.48,4.36,2.55,2.91
2002,2.64,1.42,3.51,4.60,9.60,2.95,3.11,3.74,1.94,3.54,0.84,2.32
2003,0.59,2.46,2.30,4.04,4.90,4.72,2.47,3.74,5.19,2.24,4.08,3.30
2004,2.16,0.93,4.98,3.43,5.65,3.47,5.65,5.21,1.14,4.76,5.71,1.44
2005,4.94,2.37,1.62,3.35,2.16,3.90,2.92,5.54,3.94,1.71,3.13,0.83
2006,2.09,0.53,3.84,3.74,3.62,3.12,3.56,4.46,2.84,3.71,3.50,3.00
2007,2.86,2.37,2.69,3.77,5.15,5.11,2.31,3.24,3.00,3.95,1.16,3.97
2008,1.52,4.47,6.81,6.60,5.42,6.98,6.34,2.54,8.15,2.52,1.61,3.14
2009,0.89,1.89,3.97,5.23,5.86,5.77,4.46,4.77,3.76,9.87,2.27,2.97
2010,2.12,1.73,3.35,3.94,6.77,4.79,6.77,2.53,7.86,0.73,3.08,0.90
2011,1.02,3.52,3.47,7.60,6.36,4.08,2.48,3.92,2.58,1.21,5.72,3.74
2012,1.30,2.30,4.17,3.74,2.16,1.90,1.70,2.44,4.90,3.17,1.57,1.68
2013,3.33,3.19,3.48,6.21,6.84,4.46,3.07,4.08,2.50,3.61,2.44,2.50
2014,1.09,1.22,1.70,5.09,3.19,6.10,2.59,4.34,3.85,6.23,1.72,2.20
2015,1.19,1.70,3.24,3.53,7.30,7.36,7.93,3.96,2.18,1.56,7.90,7.67
2016,0.90,1.02,2.99,3.71,5.78,2.43,6.56,6.61,4.39,2.29,1.49,1.27
2017,1.84,0.59,3.90,9.57,5.97,4.32,3.39,5.15,1.02,3.78,0.91,1.01
2018,1.64,4.89,3.78,2.03,4.18,3.70,2.49,5.66,3.52,4.68,2.73,3.70
2019,3.04,3.60,4.20,3.50,10.31,5.71,4.48,6.16,3.28,5.00,2.87,1.67
2020,4.41,2.51,5.51,3.98,6.26,3.64,5.77,2.91,3.10,3.68,3.04,1.53
2021,3.33,1.15,5.26,4.36,4.99,5.57,4.86,2.99,2.31,5.94,1.05,2.22
