,Unnamed: 0,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,0,1950,2.2,0.81,2.05,1.46,1.18,3.35,1.83,1.45,1.77,1.41,1.6,1.24,Montana
1,1,1951,1.33,1.32,1.34,1.42,1.86,2.48,1.48,2.61,1.69,2.17,0.86,2.17,Montana
2,2,1952,1.08,1.23,1.02,0.44,2.5,2.29,1.42,1.09,0.62,0.2,0.8,0.62,Montana
3,3,1953,2.36,1.48,0.92,2.15,4.11,3.61,0.71,1.13,0.69,0.79,0.9,1.29,Montana
4,4,1954,2.47,1.04,1.68,1.42,1.42,3.06,0.94,2.59,1.72,0.93,0.5,0.52,Montana
5,5,1955,0.73,1.26,1.36,2.11,3.29,2.21,2.53,0.22,0.78,1.12,2.14,2.55,Montana
6,6,1956,1.25,0.88,0.98,1.2,2.23,1.92,1.79,1.98,0.66,0.99,0.78,1.22,Montana
7,7,1957,1.39,1.23,1.15,1.89,2.79,3.35,0.98,1.37,1.08,1.8,0.93,0.94,Montana
8,8,1958,0.8,1.49,1.14,1.76,0.96,3.78,2.28,0.77,0.83,1.08,2.64,1.65,Montana
9,9,1959,1.75,1.64,0.77,1.49,2.44,2.61,0.52,0.89,2.42,1.8,2.14,0.47,Montana
10,10,1960,0.96,0.97,1.06,1.71,1.91,1.45,0.47,1.98,0.41,0.66,1.35,0.76,Montana
11,11,1961,0.55,1.41,1.18,1.87,2.45,1.02,1.25,0.72,2.8,1.31,1.26,1.13,Montana
12,12,1962,1.34,1.15,1.16,0.92,4.06,2.58,2.43,1.56,0.93,1.66,1.63,0.83,Montana
13,13,1963,1.52,1.22,0.96,2.0,1.94,4.27,1.29,0.94,1.53,0.8,0.84,1.29,Montana
14,14,1964,1.32,0.68,1.25,2.0,3.11,4.55,1.37,2.08,0.68,0.68,1.45,2.92,Montana
15,15,1965,1.9,0.96,0.8,2.13,2.53,3.83,1.8,2.14,2.38,0.19,1.09,0.76,Montana
16,16,1966,1.53,0.81,0.98,1.24,1.55,2.58,1.62,1.39,0.82,1.15,1.74,1.2,Montana
17,17,1967,1.86,1.06,1.88,2.29,1.95,3.74,0.85,0.23,1.89,2.1,1.02,1.87,Montana
18,18,1968,1.36,0.88,0.9,1.08,2.3,3.56,0.79,2.98,2.33,0.92,1.38,1.6,Montana
19,19,1969,2.97,0.55,0.65,1.79,1.54,4.34,1.85,0.36,0.75,1.44,0.53,0.97,Montana
20,20,1970,2.03,0.99,1.48,2.41,3.03,2.79,1.85,0.55,1.68,1.12,1.51,1.2,Montana
21,21,1971,2.74,1.05,1.19,1.65,2.11,2.38,0.6,1.08,1.37,2.07,0.93,1.8,Montana
22,22,1972,2.42,1.69,1.48,1.21,2.34,2.29,1.88,2.0,1.26,1.13,0.52,1.5,Montana
23,23,1973,0.73,0.42,0.94,2.27,1.27,2.77,0.56,1.12,2.27,0.99,2.08,1.63,Montana
24,24,1974,1.98,0.88,1.82,1.44,3.33,1.39,1.55,2.5,0.81,1.02,0.99,0.98,Montana
25,25,1975,2.0,1.24,1.58,2.73,3.29,3.66,2.29,1.98,0.69,2.91,1.52,1.53,Montana
26,26,1976,1.07,1.14,0.85,2.05,1.49,3.84,1.45,1.84,1.16,0.62,0.74,0.59,Montana
27,27,1977,1.15,0.43,1.53,0.41,2.62,1.66,1.54,1.89,2.43,1.04,1.49,2.74,Montana
28,28,1978,1.61,1.27,0.65,1.79,4.75,2.06,2.63,1.31,3.21,0.36,1.76,1.53,Montana
29,29,1979,1.02,1.6,1.07,1.81,1.57,1.48,1.25,1.11,0.37,1.0,0.52,1.04,Montana
30,30,1980,1.57,1.08,1.43,1.07,3.34,2.96,0.96,1.73,1.5,1.67,0.98,1.54,Montana
31,31,1981,0.52,1.04,1.38,1.03,4.76,2.91,1.55,0.84,0.75,1.51,1.08,1.31,Montana
32,32,1982,2.09,1.44,2.04,1.54,3.45,2.91,1.72,1.13,2.11,1.42,0.89,1.67,Montana
33,33,1983,0.94,0.74,1.49,0.8,2.03,2.13,2.67,1.06,1.64,1.03,1.54,1.26,Montana
34,34,1984,0.98,0.68,1.39,1.75,1.69,2.74,0.61,1.23,1.61,1.24,1.16,1.43,Montana
35,35,1985,0.42,0.77,1.36,1.1,2.03,1.12,0.88,2.73,3.09,1.46,1.6,0.59,Montana
