date,January,February,March,April,May,June,July,August,September,October,November,December
1950,0.44,0.80,1.00,1.23,4.00,2.17,5.23,3.62,2.22,1.07,0.46,0.14
1951,0.30,1.00,1.24,2.89,4.67,5.70,4.01,4.23,3.33,1.60,0.35,0.81
1952,0.49,0.94,1.44,2.07,3.85,2.37,2.41,3.20,0.63,0.16,1.00,0.68
1953,0.44,1.18,1.00,3.11,2.45,3.24,2.69,1.94,0.69,1.03,1.46,1.03
1954,0.08,0.67,1.25,1.62,3.03,3.80,1.30,4.19,1.49,1.67,0.19,0.21
1955,0.60,0.94,0.44,1.19,3.20,4.10,1.48,1.30,2.58,0.38,0.33,0.60
1956,0.50,0.36,0.26,1.54,2.00,3.28,2.55,2.56,0.59,1.00,0.98,0.22
1957,0.24,0.15,1.77,2.73,5.54,4.70,3.16,2.93,2.31,2.19,0.92,0.33
1958,0.35,1.36,1.40,2.82,2.65,2.94,6.71,1.95,1.77,0.15,0.59,0.31
1959,0.48,0.59,2.35,1.55,4.89,3.42,1.98,2.73,2.38,2.22,0.39,0.38
1960,1.21,1.29,1.18,2.47,4.47,4.02,1.95,2.93,1.53,0.83,0.53,0.44
1961,0.07,0.45,1.97,1.46,5.06,2.61,2.84,2.20,3.27,0.93,0.84,0.61
1962,0.25,1.15,1.38,0.76,5.52,5.99,5.47,2.30,1.58,1.32,0.23,0.50
1963,0.78,0.22,1.48,1.51,2.09,3.92,2.97,3.35,3.58,0.70,0.35,0.26
1964,0.12,0.71,1.23,3.31,2.01,4.53,2.49,2.59,1.94,0.15,0.32,0.40
1965,0.57,0.89,0.81,1.53,5.06,5.69,4.05,2.35,5.76,1.11,0.22,0.76
1966,0.46,0.72,0.79,1.25,0.89,4.36,3.36,3.50,2.25,0.84,0.16,0.57
1967,0.36,0.12,0.39,1.61,3.55,8.20,2.51,1.53,1.90,1.08,0.29,0.66
1968,0.23,0.30,0.39,2.88,2.56,3.27,2.70,4.36,1.58,2.50,0.59,1.20
1969,0.72,1.04,0.55,1.41,3.17,3.53,3.84,2.36,1.38,3.27,0.26,0.58
1970,0.20,0.17,0.97,2.65,2.63,3.26,2.01,1.59,2.80,1.92,0.80,0.30
1971,0.52,1.66,0.97,2.66,4.23,3.40,2.96,1.25,1.86,2.25,1.49,0.41
1972,0.24,0.16,0.56,2.50,4.31,3.22,4.34,2.03,1.90,1.18,2.03,0.92
1973,0.83,0.43,3.87,2.40,3.73,1.69,4.13,1.30,6.56,1.82,1.34,1.21
1974,0.47,0.24,0.70,2.00,2.74,2.87,1.02,2.77,0.67,1.21,0.37,0.50
1975,0.64,0.51,1.31,2.31,2.82,5.30,2.29,1.63,0.88,0.29,2.13,0.36
1976,0.67,0.45,1.34,3.24,2.80,1.81,2.67,1.33,2.05,0.63,0.13,0.12
1977,0.32,0.32,3.36,3.63,5.36,2.88,3.06,4.80,2.15,1.45,1.04,0.53
1978,0.36,1.18,0.56,3.82,3.79,1.87,4.30,2.71,1.39,0.61,0.95,0.79
1979,0.88,0.19,3.01,2.08,3.02,4.01,3.88,2.68,1.26,2.58,1.62,0.29
1980,0.62,0.74,2.08,1.24,2.34,2.44,1.46,3.80,0.68,1.33,0.13,0.31
1981,0.16,0.30,1.88,1.44,4.34,2.39,4.83,3.75,1.17,1.26,1.71,0.93
1982,0.60,0.24,1.39,1.67,6.34,3.58,2.90,3.40,1.89,2.72,1.44,1.34
1983,0.46,0.34,3.12,1.64,4.42,5.47,2.28,1.59,1.58,1.20,2.45,0.57
1984,0.27,1.08,1.58,5.47,3.26,4.62,2.57,1.38,0.78,2.97,0.83,1.04
1985,0.43,0.21,0.91,2.79,3.31,2.44,3.27,2.57,3.74,1.38,0.90,0.50
1986,0.06,0.89,1.53,3.64,3.21,4.07,3.16,2.80,3.76,2.73,0.53,0.42
1987,0.12,1.15,4.58,1.12,4.45,2.98,2.71,3.39,1.94,0.62,1.37,0.94
1988,0.89,0.24,0.44,2.07,4.41,2.25,3.16,2.49,3.00,0.10,0.72,0.35
1989,0.57,0.56,0.58,0.45,1.99,3.36,2.34,2.70,3.09,0.57,0.06,0.44
1990,0.53,0.25,2.36,1.26,4.22,3.27,3.19,2.66,0.90,1.27,1.17,0.42
1991,0.40,0.32,1.54,2.34,5.05,3.56,1.91,1.50,1.64,1.44,1.66,0.67
1992,1.05,0.92,2.62,0.80,1.83,4.08,5.41,3.88,1.62,1.81,1.01,0.56
1993,0.84,1.20,1.24,2.64,3.45,5.34,7.76,3.67,2.59,1.67,1.03,0.44
1994,0.64,0.64,0.16,2.07,1.39,3.87,4.99,2.11,1.76,2.25,1.18,0.85
1995,0.42,0.35,1.88,3.17,6.72,3.10,2.24,2.13,2.61,1.89,0.49,0.19
1996,0.81,0.03,0.65,1.48,6.12,2.93,3.17,3.80,3.66,0.81,1.80,0.23
1997,0.25,0.73,0.29,2.28,2.80,3.35,2.85,2.83,2.66,3.06,0.57,0.47
1998,0.32,0.61,2.02,2.15,2.95,4.78,4.18,2.71,1.01,2.93,2.07,0.20
1999,0.32,0.53,0.87,4.20,3.69,5.31,2.36,3.08,1.67,0.13,0.39,0.29
2000,0.30,0.99,1.55,1.81,2.82,2.70,3.35,1.22,1.49,2.35,1.38,0.40
2001,0.95,0.99,0.72,3.83,4.34,2.09,3.85,2.16,2.76,1.09,1.59,0.11
2002,0.23,0.26,0.82,1.50,2.43,1.47,1.12,3.52,1.42,2.63,0.16,0.09
2003,0.37,0.67,1.20,3.23,3.24,4.25,1.43,1.35,2.21,0.75,0.93,0.35
2004,0.50,0.74,1.95,1.76,3.29,2.85,4.11,1.46,3.49,1.20,1.48,0.10
2005,0.54,0.78,1.48,3.19,3.31,5.39,1.91,3.04,1.05,1.50,1.01,0.37
2006,0.34,0.23,2.06,2.20,1.16,3.16,1.86,3.82,3.48,1.03,0.24,1.98
2007,0.58,0.96,2.25,3.77,5.19,2.82,2.46,4.27,1.82,3.08,0.05,1.39
2008,0.19,0.39,0.82,2.89,5.87,4.17,3.10,2.22,2.71,4.42,0.79,0.53
2009,0.44,0.71,0.69,2.74,2.18,5.52,3.07,3.67,1.52,3.74,0.28,1.14
2010,0.37,0.73,1.69,2.97,3.03,7.40,4.03,2.85,2.04,0.92,0.67,0.37
2011,0.93,0.64,0.88,2.80,5.43,3.99,3.71,3.56,0.88,1.92,0.48,0.59
2012,0.16,1.34,0.57,3.13,2.04,1.65,1.03,1.06,0.49,0.88,0.29,0.72
2013,0.32,0.83,0.95,2.77,4.86,2.43,2.11,3.00,2.32,2.80,0.78,0.27
2014,0.22,0.64,0.50,1.99,2.63,7.23,1.72,4.70,2.57,1.34,0.32,1.12
2015,0.21,0.68,0.24,2.64,5.89,4.73,3.33,2.83,2.54,1.43,1.95,1.60
2016,0.40,0.79,1.16,5.20,4.39,2.20,3.55,2.57,2.21,1.16,0.86,0.82
2017,1.01,0.72,1.55,2.56,4.71,1.53,2.64,4.31,2.72,2.96,0.23,0.40
2018,0.72,0.67,1.14,1.55,4.66,5.26,4.66,2.44,2.74,2.54,0.87,1.97
2019,0.25,0.74,2.81,1.75,6.59,3.74,4.17,5.14,2.49,1.59,0.96,1.15
2020,0.58,0.25,1.92,0.75,4.06,2.53,4.11,0.92,1.04,0.65,0.81,0.62
2021,0.66,0.62,4.12,1.39,3.57,2.22,2.56,2.85,2.06,1.96,0.31,0.33
