,Unnamed: 0,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,0,1950,1.18,0.37,0.98,0.55,0.53,0.37,0.75,0.11,0.8,0.66,1.55,1.18,Nevada
1,1,1951,1.06,0.88,0.52,1.32,0.63,0.18,0.6,0.61,0.23,1.06,0.93,1.86,Nevada
2,2,1952,1.91,0.75,2.24,1.61,0.39,0.86,1.05,0.19,0.68,0.01,0.64,1.16,Nevada
3,3,1953,0.72,0.32,0.41,0.67,1.06,0.59,0.46,0.39,0.05,0.62,0.5,0.57,Nevada
4,4,1954,1.16,0.69,1.64,0.7,0.18,0.82,0.54,0.12,0.39,0.23,0.72,0.97,Nevada
5,5,1955,1.2,0.59,0.29,0.54,1.16,0.45,0.7,1.14,0.43,0.12,0.72,2.44,Nevada
6,6,1956,1.9,0.49,0.14,1.14,1.39,0.37,0.65,0.01,0.28,0.87,0.08,0.45,Nevada
7,7,1957,1.19,0.71,1.22,0.91,2.51,0.55,0.2,0.41,0.33,1.63,1.32,0.79,Nevada
8,8,1958,0.77,1.54,1.65,1.05,0.61,1.08,0.27,0.84,0.47,0.22,0.84,0.31,Nevada
9,9,1959,0.64,1.36,0.29,0.19,0.85,0.37,0.28,0.46,1.06,0.18,0.14,0.85,Nevada
10,10,1960,0.95,1.28,0.8,0.66,0.41,0.18,0.51,0.2,0.42,0.74,2.21,0.44,Nevada
11,11,1961,0.37,0.59,1.07,0.28,0.68,0.42,0.66,1.4,0.5,0.62,0.68,0.9,Nevada
12,12,1962,0.71,2.56,0.85,0.26,1.73,0.56,0.44,0.1,0.29,0.73,0.43,0.23,Nevada
13,13,1963,0.88,1.1,0.78,1.58,1.15,2.18,0.01,0.5,1.25,0.83,1.27,0.4,Nevada
14,14,1964,0.81,0.12,0.73,1.31,1.18,1.46,0.23,0.37,0.13,0.43,0.94,2.07,Nevada
15,15,1965,0.82,0.39,0.54,1.78,0.97,1.12,0.76,1.62,0.44,0.16,2.1,1.52,Nevada
16,16,1966,0.26,0.62,0.26,0.32,0.43,0.29,0.36,0.28,0.95,0.1,0.73,2.17,Nevada
17,17,1967,1.39,0.13,1.06,1.67,0.93,1.66,0.93,0.5,1.13,0.19,0.84,0.74,Nevada
18,18,1968,0.5,1.63,0.6,0.58,0.71,1.1,0.6,1.23,0.14,0.65,1.1,1.08,Nevada
19,19,1969,2.72,2.45,0.48,0.52,0.36,2.0,0.67,0.21,0.24,0.9,0.52,1.46,Nevada
20,20,1970,1.27,0.55,0.75,0.72,0.44,1.53,0.97,1.01,0.27,0.32,1.75,1.27,Nevada
21,21,1971,0.66,0.59,0.66,1.02,2.42,0.7,0.44,0.71,0.34,0.7,0.9,1.93,Nevada
22,22,1972,0.4,0.42,0.33,0.41,0.33,1.2,0.08,0.55,1.03,1.84,1.34,0.84,Nevada
23,23,1973,1.35,1.38,1.88,0.71,0.73,0.52,0.46,0.48,0.26,0.56,1.34,1.07,Nevada
24,24,1974,1.23,0.34,1.03,0.58,0.15,0.02,0.69,0.31,0.04,1.98,0.52,1.08,Nevada
25,25,1975,0.78,0.93,1.93,1.25,0.81,0.62,0.68,0.67,0.65,1.4,0.57,0.33,Nevada
26,26,1976,0.31,1.86,0.54,0.85,0.65,0.49,1.41,0.76,1.8,1.03,0.17,0.03,Nevada
27,27,1977,0.64,0.31,0.58,0.21,2.29,1.18,0.43,1.42,0.38,0.11,0.67,1.67,Nevada
28,28,1978,1.68,1.92,2.52,2.33,0.38,0.09,0.25,0.25,1.7,0.52,1.26,0.93,Nevada
29,29,1979,1.57,1.14,1.45,0.53,0.74,0.25,0.94,1.18,0.15,0.72,0.67,0.48,Nevada
