date,January,February,March,April,May,June,July,August,September,October,November,December
1950,4.40,2.74,3.73,2.94,1.84,3.83,2.17,4.66,2.54,2.63,6.65,3.71
1951,2.51,4.95,4.76,4.64,3.19,2.88,5.62,3.96,3.57,3.87,5.95,4.46
1952,4.05,3.46,3.12,4.02,4.28,5.19,2.37,3.50,3.45,2.14,2.16,5.79
1953,4.92,2.86,8.03,4.67,4.50,1.70,3.09,3.91,2.29,4.04,3.19,4.18
1954,3.01,3.52,4.02,4.76,7.84,5.29,3.54,4.40,8.61,3.08,5.22,4.11
1955,1.10,4.17,4.10,2.74,2.79,4.61,1.89,7.52,1.78,5.67,3.73,1.21
1956,4.74,3.09,4.82,3.40,3.28,2.67,4.01,2.49,5.01,2.00,3.13,4.10
1957,2.24,1.40,1.56,2.24,3.40,3.63,4.08,1.54,2.72,2.74,5.40,6.02
1958,7.16,2.74,2.58,4.18,3.13,2.29,5.41,2.37,3.74,3.62,3.77,1.61
1959,3.76,2.80,3.66,2.57,1.46,4.99,2.70,5.02,2.44,7.57,6.29,4.02
1960,2.98,4.49,2.55,4.47,4.49,4.14,4.52,2.29,6.64,3.65,3.00,2.47
1961,1.56,3.05,2.55,4.72,3.25,3.39,4.22,3.09,3.06,2.16,4.05,3.25
1962,2.71,3.25,2.02,3.93,3.10,2.80,4.65,4.27,3.33,7.82,3.54,3.74
1963,2.76,2.66,3.17,2.25,3.06,2.03,2.67,4.35,2.47,1.19,8.21,2.34
1964,4.48,1.94,4.21,3.03,2.40,1.89,3.49,3.73,1.12,2.28,3.68,3.64
1965,1.67,3.44,1.06,2.39,1.15,3.55,2.65,3.35,4.17,3.75,3.67,2.01
1966,3.39,2.61,2.96,1.25,3.04,3.35,3.04,4.50,4.22,3.37,3.71,3.12
1967,1.61,3.18,1.97,4.18,5.53,3.64,4.29,3.22,3.02,2.88,3.31,4.76
1968,2.26,1.31,4.40,3.37,4.58,6.27,2.13,2.35,2.85,2.55,6.27,6.35
1969,2.27,5.33,2.98,3.96,2.58,4.25,5.35,3.92,3.07,2.14,6.98,7.53
1970,0.80,4.53,3.31,3.72,3.76,3.10,2.62,3.73,4.22,3.69,3.00,4.37
1971,2.40,4.07,3.37,2.04,3.59,2.48,4.36,4.72,2.60,3.02,4.02,3.51
1972,2.09,3.94,5.21,2.91,3.90,5.43,5.46,2.91,2.11,3.37,6.43,6.03
1973,3.77,2.26,2.93,5.42,5.83,7.03,3.78,3.76,2.92,3.37,3.32,8.99
1974,3.44,2.55,4.46,3.87,5.50,3.08,3.32,3.23,5.77,1.82,4.15,3.82
1975,3.87,2.75,3.35,3.04,1.77,4.05,5.47,4.53,5.78,5.42,5.07,4.31
1976,4.64,3.60,3.38,2.99,5.22,2.98,5.39,5.09,3.30,5.69,1.79,2.99
1977,3.11,2.54,5.34,4.21,1.96,4.98,2.19,4.08,5.95,6.72,3.95,5.29
1978,7.19,1.22,2.61,2.82,3.30,5.46,2.42,3.19,1.43,3.63,2.05,3.39
1979,8.42,2.20,3.35,3.91,5.58,1.41,3.72,4.85,3.78,4.74,3.44,2.23
1980,1.03,0.95,4.77,4.27,1.59,3.26,3.64,2.93,3.88,4.05,4.04,1.51
1981,0.66,8.09,1.17,3.51,3.83,3.90,5.81,3.85,5.30,5.84,2.91,4.57
1982,3.62,3.12,2.97,3.78,2.03,7.21,2.73,3.41,2.76,2.07,4.19,1.79
1983,4.29,2.84,6.72,5.92,6.18,2.29,2.61,4.90,1.97,3.59,8.91,6.23
1984,1.83,4.90,4.06,3.95,9.93,3.94,5.15,1.79,1.54,3.62,3.42,3.57
1985,1.29,2.87,3.20,1.89,3.31,3.46,2.61,4.65,4.74,3.09,5.37,2.16
1986,5.83,2.39,4.17,1.95,3.14,5.01,5.53,4.47,3.23,2.19,4.74,4.25
1987,3.86,0.36,2.88,6.45,2.02,6.02,3.07,2.95,5.58,4.79,2.80,2.38
1988,2.21,3.11,1.69,4.42,3.65,1.90,6.40,5.63,2.16,2.36,6.17,1.47
1989,1.53,2.38,2.76,3.54,6.03,5.61,3.26,5.07,4.39,5.13,4.76,1.41
1990,4.49,3.26,2.23,3.70,5.85,4.36,3.24,8.07,2.54,7.03,3.58,5.40
1991,2.69,1.66,3.89,3.45,3.60,2.70,2.48,8.53,5.43,4.38,3.91,3.69
1992,2.68,2.20,4.04,2.52,1.70,3.95,4.31,3.95,3.66,2.82,4.61,2.55
