date,January,February,March,April,May,June,July,August,September,October,November,December
1950,0.27,0.30,0.17,0.27,0.25,1.26,4.18,1.08,2.20,0.49,0.06,0.05
1951,0.64,0.39,0.59,0.73,0.98,0.33,1.62,2.32,0.26,0.87,0.40,0.80
1952,0.68,0.41,0.70,1.28,0.68,1.17,2.11,2.11,0.98,0.00,0.99,0.47
1953,0.17,0.64,0.75,0.62,0.70,0.63,2.44,1.63,0.15,0.88,0.60,0.45
1954,0.37,0.10,0.73,0.28,1.34,0.48,1.84,2.64,1.35,1.74,0.07,0.24
1955,0.64,0.31,0.21,0.46,1.34,0.39,3.13,2.42,1.00,0.78,0.15,0.31
1956,0.55,0.66,0.06,0.15,0.57,0.70,1.77,1.34,0.07,0.51,0.07,0.13
1957,0.88,0.60,1.10,0.91,1.44,0.46,2.65,3.69,0.27,2.84,1.07,0.16
1958,0.78,0.75,2.13,1.25,0.93,0.96,1.94,2.52,3.21,1.47,0.48,0.22
1959,0.18,0.33,0.21,0.69,1.36,1.25,1.99,3.62,0.22,1.72,0.21,1.33
1960,1.02,0.53,0.43,0.17,0.53,1.68,3.52,1.46,0.93,2.88,0.12,1.34
1961,0.56,0.29,1.01,0.54,0.34,1.04,2.01,3.02,1.80,0.87,1.25,0.97
1962,0.79,0.41,0.43,0.38,0.23,1.05,3.39,0.64,2.62,1.09,0.80,0.81
1963,0.44,0.89,0.31,0.29,0.70,0.87,1.46,3.52,1.53,0.72,0.43,0.14
1964,0.17,0.71,0.51,0.59,0.70,0.40,1.82,1.73,2.24,0.07,0.58,0.64
1965,0.63,0.59,0.55,0.74,1.20,1.98,2.57,2.23,2.09,0.55,0.42,1.75
1966,0.53,0.41,0.17,0.56,0.39,2.14,2.01,3.79,1.25,0.20,0.23,0.53
1967,0.11,0.31,0.28,0.13,0.45,2.14,2.69,3.33,1.70,0.17,0.37,1.37
1968,0.58,0.84,1.24,0.44,0.69,0.29,3.45,2.92,0.32,0.46,0.93,0.53
1969,0.46,0.58,0.77,0.73,1.65,1.23,2.55,2.69,2.21,2.58,0.30,0.90
1970,0.07,0.40,0.97,0.45,0.39,0.96,2.45,1.74,1.50,1.02,0.18,0.25
1971,0.25,0.35,0.14,0.49,0.46,0.38,2.52,3.08,2.01,1.74,0.90,1.10
1972,0.17,0.08,0.07,0.04,0.76,1.71,2.50,3.78,2.69,3.45,0.88,0.60
1973,0.80,1.11,1.67,0.58,1.10,0.81,2.92,1.30,0.94,0.40,0.19,0.20
1974,0.90,0.20,0.40,0.26,0.20,0.47,2.15,3.04,2.76,3.43,0.35,0.68
1975,0.74,0.90,0.89,0.54,0.54,0.54,3.05,1.43,3.06,0.18,0.66,0.41
1976,0.18,0.65,0.31,0.62,1.15,0.69,2.67,1.63,2.08,0.78,0.55,0.07
1977,0.71,0.44,0.60,1.30,0.89,0.87,2.46,3.04,1.23,0.79,0.63,0.26
1978,1.05,0.88,0.89,0.20,1.67,1.87,1.16,1.89,1.86,1.35,2.44,1.22
1979,1.35,0.56,0.48,0.57,2.03,1.96,1.97,2.74,1.06,0.46,0.59,0.68
1980,1.10,1.05,0.60,0.85,1.24,0.26,0.81,2.24,2.94,0.39,0.47,0.24
1981,0.44,0.29,1.18,0.72,1.19,1.29,2.91,3.50,1.79,1.29,0.52,0.10
1982,0.79,0.84,0.68,0.24,1.14,0.73,2.47,2.66,2.24,0.53,1.09,1.60
1983,1.07,0.84,1.16,0.69,0.71,0.85,1.65,1.61,1.75,1.96,1.17,0.86
1984,0.44,0.11,0.74,0.55,1.06,2.08,1.76,4.04,1.25,2.85,0.90,1.84
1985,1.02,0.48,1.52,1.61,1.04,1.27,2.21,1.94,2.58,2.95,0.63,0.21
1986,0.15,1.02,0.59,0.54,1.54,3.17,2.56,2.78,2.04,2.23,2.43,1.52
1987,0.89,1.33,0.54,0.45,1.76,1.63,1.14,3.56,1.00,0.51,0.82,1.33
1988,0.56,0.70,0.23,1.24,1.13,1.85,3.00,3.59,2.26,0.47,0.41,0.49
1989,0.65,0.69,0.41,0.11,0.58,0.93,2.45,2.76,1.21,0.83,0.04,0.35
1990,0.67,0.77,0.78,1.07,0.71,0.28,3.18,2.86,2.69,0.64,1.25,1.06
1991,0.65,0.45,0.88,0.06,0.96,1.22,4.00,3.38,2.90,0.45,1.49,2.58
1992,0.94,0.53,0.88,0.62,3.01,1.28,2.26,2.53,0.84,0.66,0.56,1.42
1993,1.68,0.95,0.76,0.32,0.83,0.96,1.80,4.15,0.74,0.90,0.76,0.25
1994,0.25,0.42,0.99,0.72,2.27,0.59,1.64,2.19,1.39,1.37,1.58,1.02
1995,0.94,0.49,0.70,0.64,1.21,1.16,1.33,2.07,2.43,0.09,0.26,0.42
1996,0.38,0.45,0.17,0.20,0.19,2.44,2.90,2.97,2.24,1.44,0.62,0.13
1997,1.11,0.94,0.22,1.87,1.33,1.81,2.57,2.52,2.67,0.96,0.82,1.82
1998,0.18,0.78,1.46,0.56,0.06,0.19,3.52,2.14,0.82,3.27,0.73,0.39
1999,0.51,0.05,0.86,1.45,1.56,1.56,3.19,3.44,1.57,0.38,0.02,0.36
2000,0.23,0.16,1.62,0.34,0.12,2.27,1.71,1.69,0.22,3.23,1.29,0.48
2001,1.16,0.70,1.06,0.41,1.02,0.80,1.78,2.39,0.92,0.23,0.94,0.41
2002,0.52,0.33,0.43,0.26,0.14,0.73,2.25,1.75,2.61,1.54,0.56,1.17
2003,0.07,1.07,0.67,0.16,0.38,1.26,0.78,1.63,0.94,1.03,0.86,0.22
