,Unnamed: 0,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,0,1950,4.12,3.76,3.65,2.2,2.69,3.33,3.84,4.41,3.25,2.61,5.31,3.55,New_York
1,1,1951,2.88,4.02,4.46,3.72,2.36,4.36,5.03,2.65,3.52,2.59,4.69,4.25,New_York
2,2,1952,3.35,2.53,3.08,3.58,4.74,3.01,4.01,3.48,3.47,2.22,2.87,4.11,New_York
3,3,1953,3.52,2.21,4.57,3.62,5.42,2.0,3.16,3.02,3.33,2.43,2.19,3.3,New_York
4,4,1954,2.84,3.32,3.65,4.44,3.82,3.95,2.1,4.2,4.12,3.08,4.65,4.08,New_York
5,5,1955,1.16,2.88,4.58,2.71,2.4,2.25,2.46,7.12,2.65,8.57,2.94,1.54,New_York
6,6,1956,2.0,3.39,4.49,3.77,3.81,2.37,4.15,3.69,4.29,1.78,2.81,3.46,New_York
7,7,1957,2.39,1.61,1.75,3.54,3.77,3.74,3.78,1.62,3.23,1.96,3.01,4.33,New_York
8,8,1958,4.04,3.13,2.16,3.7,3.21,4.09,4.55,3.18,5.02,4.22,3.31,1.45,New_York
9,9,1959,3.89,2.66,2.92,2.81,2.19,3.2,3.05,4.22,2.08,6.8,5.05,4.16,New_York
10,10,1960,2.85,4.03,1.74,3.43,4.03,4.27,3.29,2.8,4.21,2.63,1.96,1.53,New_York
11,11,1961,1.66,3.37,2.7,5.04,3.51,4.66,3.88,3.78,1.77,2.37,3.18,2.44,New_York
12,12,1962,3.02,2.96,1.58,4.27,1.73,2.8,3.29,3.62,3.69,4.0,2.45,2.73,New_York
13,13,1963,2.19,1.8,3.06,2.58,3.3,2.44,3.03,4.16,2.18,0.34,5.52,2.3,New_York
14,14,1964,3.25,1.6,3.91,3.39,2.68,1.9,2.99,3.56,1.17,1.34,2.38,3.39,New_York
15,15,1965,2.82,2.57,1.87,2.86,1.56,2.27,2.53,4.25,3.7,3.58,3.57,1.98,New_York
16,16,1966,3.0,2.64,3.06,1.9,2.91,2.87,2.49,3.37,4.4,2.02,3.5,3.15,New_York
17,17,1967,1.6,2.0,2.26,3.41,3.78,3.12,4.3,4.89,3.34,3.85,3.93,3.08,New_York
18,18,1968,1.99,1.02,3.12,2.69,5.04,4.82,2.12,3.07,3.42,3.5,5.43,4.33,New_York
19,19,1969,2.38,1.42,1.7,4.47,3.76,4.6,3.93,2.89,2.35,2.67,4.76,4.82,New_York
20,20,1970,1.24,2.62,2.34,3.1,3.33,3.14,3.95,3.67,4.21,3.81,3.8,3.76,New_York
21,21,1971,2.05,4.49,3.28,2.04,3.04,2.59,4.63,4.62,3.4,2.14,3.48,3.53,New_York
22,22,1972,2.13,3.7,3.67,2.92,4.91,8.58,3.87,3.35,2.61,3.57,6.25,4.88,New_York
23,23,1973,2.76,2.19,2.92,4.95,5.16,5.02,2.71,2.69,3.59,2.85,3.26,6.18,New_York
24,24,1974,2.78,2.17,3.96,2.99,4.49,3.84,4.33,3.66,4.71,1.6,4.18,3.56,New_York
25,25,1975,3.23,3.18,3.04,2.31,3.15,4.37,4.72,4.82,6.42,3.64,3.49,3.59,New_York
26,26,1976,4.07,3.12,3.77,3.74,4.95,5.04,4.64,4.65,3.75,6.25,1.61,2.21,New_York
27,27,1977,2.02,2.14,4.9,3.59,2.02,3.43,3.67,5.41,7.68,5.06,5.13,5.01,New_York
28,28,1978,6.08,1.09,2.66,2.12,3.26,3.53,2.91,3.89,3.55,3.59,1.84,3.89,New_York
29,29,1979,6.31,2.15,2.84,3.87,4.01,1.91,2.71,4.58,5.59,3.91,3.95,2.14,New_York
30,30,1980,1.27,0.95,4.87,4.06,1.4,4.29,3.62,2.94,3.61,3.81,3.29,2.16,New_York
31,31,1981,0.88,4.69,1.13,3.32,3.2,3.86,4.18,3.25,5.56,5.11,2.31,2.66,New_York
32,32,1982,3.14,2.6,2.6,2.77,2.89,5.88,2.62,3.01,3.17,1.62,4.64,2.38,New_York
33,33,1983,2.47,1.83,3.53,6.42,4.73,3.02,1.93,4.82,2.58,3.36,4.98,5.93,New_York
34,34,1984,1.61,3.27,2.73,4.05,7.28,3.19,4.33,4.34,2.84,2.16,2.98,3.81,New_York
35,35,1985,1.86,2.21,3.04,1.96,3.08,3.95,3.0,3.22,4.9,3.29,5.9,2.52,New_York
36,36,1986,3.06,2.65,2.93,2.57,3.31,5.69,5.57,4.49,3.73,3.38,3.95,3.35,New_York
37,37,1987,3.38,0.62,2.2,4.13,1.81,4.46,4.31,3.82,5.75,3.79,3.03,2.24,New_York
38,38,1988,1.63,2.9,1.8,2.79,3.16,1.58,5.04,4.47,2.44,3.67,4.6,1.66,New_York
39,39,1989,1.63,1.95,3.02,2.26,6.5,5.83,3.17,3.6,5.1,4.24,4.09,1.41,New_York
40,40,1990,3.7,3.66,2.44,4.07,6.37,3.29,3.44,5.01,2.96,6.39,3.21,5.48,New_York
41,41,1991,2.52,1.62,3.91,3.87,3.21,1.6,3.04,4.15,3.91,2.96,3.11,3.17,New_York
42,42,1992,2.08,1.96,3.19,3.39,3.6,2.87,6.49,4.42,4.03,3.11,4.5,3.05,New_York
43,43,1993,3.02,2.59,3.82,5.5,1.7,3.93,2.44,2.87,4.91,3.3,4.17,3.12,New_York
44,44,1994,3.88,2.0,4.06,3.61,3.35,5.07,3.46,5.5,3.32,1.03,4.19,2.64,New_York
45,45,1995,3.09,2.23,1.62,2.3,2.17,1.79,4.08,2.42,3.21,7.51,4.3,2.38,New_York
46,46,1996,4.55,2.03,2.07,5.26,4.92,4.81,5.54,2.69,5.25,4.12,4.7,4.89,New_York
47,47,1997,2.7,2.52,3.91,2.63,3.22,2.97,3.24,4.1,3.86,2.16,4.61,3.09,New_York
48,48,1998,5.24,2.57,3.64,3.12,3.59,6.74,3.94,3.41,2.78,2.84,1.84,1.69,New_York
49,49,1999,5.58,1.34,3.93,1.79,2.61,2.19,3.28,2.84,7.09,3.04,3.1,1.98,New_York
50,50,2000,3.3,2.88,3.03,5.16,5.8,5.32,4.34,4.16,3.69,2.34,2.74,3.48,New_York
51,51,2001,1.61,2.22,4.92,1.18,2.94,4.29,2.4,3.11,4.13,2.36,2.24,2.74,New_York
52,52,2002,2.19,2.3,3.31,4.06,5.34,5.44,2.0,2.63,4.6,4.31,3.84,3.54,New_York
