date,January,February,March,April,May,June,July,August,September,October,November,December
1950,2.82,1.91,3.84,1.43,5.66,5.09,8.72,3.26,4.25,3.46,1.50,3.28
1951,1.57,2.10,4.12,3.83,1.61,5.73,5.28,3.71,2.83,1.75,3.69,4.47
1952,3.60,4.37,6.74,3.00,3.48,3.07,4.21,8.24,3.61,1.21,4.13,3.23
1953,3.78,5.11,4.45,2.75,3.30,5.65,2.84,4.21,5.07,0.51,2.39,5.23
1954,6.25,2.16,4.93,2.98,4.06,2.22,4.02,4.03,1.53,3.78,2.82,3.61
1955,2.66,3.42,3.52,3.68,3.81,3.69,5.74,9.25,7.31,2.66,2.39,1.02
1956,1.79,5.87,3.51,4.03,3.40,3.44,6.39,4.07,5.90,4.70,1.67,2.90
1957,3.47,5.06,3.75,3.36,3.95,6.06,2.58,4.28,7.56,2.65,7.04,4.30
1958,4.05,3.91,4.03,5.63,4.86,4.35,5.00,6.01,2.27,4.19,1.71,4.14
1959,2.62,3.67,4.92,5.65,3.25,3.00,9.14,4.51,5.36,7.02,2.64,3.46
1960,4.94,5.95,4.53,3.17,4.06,3.66,6.98,5.23,5.26,2.90,1.48,2.10
1961,2.70,5.56,4.31,4.67,4.56,7.03,4.32,6.66,1.93,1.65,2.82,5.07
1962,5.78,3.82,4.51,4.19,2.49,7.91,5.11,3.66,4.91,1.77,5.79,3.07
1963,4.00,3.23,4.94,2.50,4.02,3.56,4.50,3.40,4.63,0.74,5.39,2.68
1964,5.41,5.31,4.05,4.40,1.97,3.54,6.44,6.84,5.07,8.03,2.12,4.11
1965,2.15,4.24,5.54,3.03,2.94,6.77,8.00,3.96,2.64,2.76,1.66,0.48
1966,5.23,5.19,3.01,2.65,5.66,3.45,3.87,6.32,4.50,2.74,2.06,3.31
1967,3.10,4.06,1.71,2.14,4.26,3.71,6.64,8.14,3.71,1.80,2.62,5.71
1968,4.30,0.87,3.96,3.17,3.80,3.63,5.76,2.73,1.63,5.12,3.93,2.77
1969,2.75,4.02,4.66,3.77,3.27,6.28,5.56,5.93,4.46,2.26,3.02,4.45
1970,2.33,3.66,3.95,3.36,2.77,3.36,6.05,6.29,2.38,4.65,2.37,2.64
1971,4.27,4.98,4.95,3.12,5.26,3.56,6.25,6.02,4.48,8.73,2.52,2.27
1972,4.27,4.36,3.47,2.49,6.19,5.15,5.49,3.20,4.53,3.75,5.53,4.96
1973,3.81,4.68,5.65,5.56,4.87,5.72,4.19,4.78,2.48,1.86,1.64,7.05
1974,4.58,4.24,4.15,3.60,6.38,4.20,4.07,7.75,4.81,1.45,2.49,4.56
1975,5.61,4.48,7.16,2.49,5.69,3.29,8.20,2.55,7.89,3.19,2.73,4.26
1976,3.71,1.73,3.33,0.73,6.04,5.99,3.50,3.72,4.25,5.63,2.64,4.68
1977,3.03,1.73,5.97,2.78,4.01,3.66,2.52,4.97,5.49,5.68,5.00,3.97
1978,7.18,1.00,4.97,4.63,4.65,4.11,5.15,5.39,1.80,1.25,3.98,3.73
1979,6.22,5.13,4.64,4.70,5.83,4.88,4.80,3.24,10.04,2.20,5.47,1.58
1980,4.53,1.71,7.30,3.42,4.06,3.73,3.90,2.37,4.53,3.84,2.73,2.19
1981,1.05,3.47,2.61,1.49,4.88,4.06,5.44,6.18,2.75,2.87,1.03,4.93
1982,5.55,5.79,2.67,3.76,3.79,6.26,5.30,3.65,3.26,4.07,3.29,4.77
1983,3.04,6.03,7.19,5.27,3.68,4.06,2.26,2.84,3.42,3.73,4.50,6.85
1984,3.33,5.79,5.65,4.42,6.75,2.99,8.69,3.53,4.00,1.83,2.07,1.90
1985,3.82,4.82,1.52,1.46,3.34,3.82,7.22,6.32,2.22,4.24,6.95,1.27
1986,1.71,2.01,2.69,0.98,3.04,2.55,4.24,8.45,1.68,3.10,3.96,4.48
1987,6.26,4.30,4.51,4.78,2.15,4.20,3.30,4.24,6.29,1.16,3.50,3.30
1988,3.59,2.09,2.37,3.51,3.67,3.31,4.29,5.08,4.08,3.06,3.80,1.05
1989,2.48,4.91,5.97,5.00,5.08,7.11,6.72,5.10,6.17,4.71,3.39,3.93
1990,3.83,4.43,4.80,2.75,6.47,1.41,3.83,5.81,1.31,8.26,2.19,3.51
1991,5.15,1.95,6.24,4.16,3.14,3.96,7.06,5.76,3.06,1.66,2.12,3.61
1992,3.90,2.95,3.76,3.33,4.35,5.80,3.42,8.03,3.06,4.09,6.35,3.57
1993,5.81,2.82,6.72,4.38,2.97,2.50,3.73,3.03,3.88,3.64,2.90,3.76
1994,5.06,3.50,6.96,2.17,2.73,5.23,6.01,5.59,3.61,3.85,3.01,2.39
1995,5.40,4.94,3.32,1.07,4.02,9.74,4.29,5.13,3.31,7.07,4.18,1.88
1996,5.26,2.79,4.57,3.26,3.73,4.03,6.70,5.85,9.14,3.97,3.54,3.95
1997,3.63,3.77,4.30,4.86,2.15,3.91,5.78,1.90,5.00,3.09,3.77,3.93
1998,7.68,6.56,5.13,5.60,4.58,3.58,4.02,5.03,3.22,1.76,2.10,4.57
1999,5.73,2.56,3.09,3.68,2.78,3.80,4.35,4.22,13.22,4.77,2.37,1.90
2000,4.92,2.01,3.36,4.97,2.70,4.49,5.23,5.18,6.36,0.08,3.14,1.92
2001,2.02,2.76,5.25,1.68,3.27,5.94,5.35,4.19,2.99,1.21,1.15,2.00
2002,4.97,1.64,4.64,1.88,2.79,2.97,4.48,4.97,4.65,5.46,4.51,4.57
2003,2.20,5.19,5.95,6.42,7.46,5.53,7.70,6.39,5.63,3.76,2.79,4.14
2004,1.57,3.89,1.93,3.02,3.99,5.34,5.14,7.62,7.97,1.95,4.00,2.73
2005,2.58,2.74,4.02,3.33,3.58,5.09,6.27,4.07,2.06,5.72,3.71,4.41
2006,3.31,1.82,1.44,3.71,3.23,7.63,4.47,4.85,6.60,4.04,6.75,3.32
2007,3.64,2.25,2.94,3.25,1.75,3.82,3.60,2.05,2.08,4.33,0.91,4.13
2008,1.87,3.99,3.87,4.98,2.94,2.28,5.13,5.97,5.44,1.92,3.49,3.93
2009,2.83,1.69,5.38,2.51,5.87,4.42,4.16,5.04,4.39,2.93,6.89,7.09
2010,5.00,3.77,4.06,1.56,4.68,3.65,4.05,4.52,7.81,2.71,1.59,2.87
2011,1.95,2.56,5.23,3.63,3.14,3.14,4.34,6.98,5.36,2.88,4.33,2.45
2012,2.86,2.22,4.14,3.22,6.24,2.85,6.13,5.92,4.43,3.32,0.93,4.36
2013,4.69,4.09,2.68,4.68,3.96,9.00,8.41,4.79,2.79,2.22,3.53,5.61
2014,3.29,3.11,4.61,4.91,3.62,4.18,5.25,5.22,5.47,2.89,3.77,3.76
2015,3.95,3.50,3.43,4.35,2.62,5.20,4.38,4.00,5.31,7.07,7.20,7.31
2016,2.80,5.81,2.14,2.78,5.57,4.32,5.18,4.49,7.59,5.63,1.11,3.19
2017,3.96,1.19,3.64,6.50,5.95,4.70,4.49,5.15,3.86,4.37,1.30,2.85
2018,3.79,3.08,4.11,5.16,6.79,3.98,6.36,6.61,10.40,4.68,6.33,7.06
2019,3.85,4.99,3.22,5.19,2.28,5.82,4.75,5.14,3.09,4.90,3.34,4.57
2020,4.37,7.01,3.31,5.32,7.62,5.04,4.19,7.98,6.80,4.21,6.15,4.55
2021,4.63,6.54,4.13,1.95,2.48,6.25,5.88,6.06,3.21,3.26,0.91,2.31
