date,January,February,March,April,May,June,July,August,September,October,November,December
1950,1.09,0.34,1.43,1.41,3.49,3.14,1.92,1.60,2.43,0.64,0.49,0.57
1951,0.57,0.80,0.53,0.77,1.24,2.92,1.99,4.10,1.67,1.04,0.28,0.74
1952,0.70,0.59,0.50,0.13,0.72,3.12,2.77,2.27,0.59,0.09,0.46,0.17
1953,0.43,0.33,0.97,2.58,4.02,5.41,1.55,1.74,0.85,1.07,0.37,0.60
1954,0.71,0.25,0.85,1.18,2.08,4.85,2.07,2.72,3.00,0.59,0.21,0.09
1955,0.42,0.55,0.49,1.50,2.68,3.38,3.16,1.68,1.59,0.50,0.91,0.36
1956,0.67,0.24,1.06,0.35,2.60,3.28,3.24,2.83,0.63,0.74,1.34,0.43
1957,0.30,0.21,0.25,1.55,2.19,3.92,2.92,3.04,2.09,1.59,0.62,0.23
1958,0.26,0.80,0.20,0.98,0.91,3.27,3.21,1.02,0.66,0.74,1.47,0.25
1959,0.25,0.50,0.19,0.44,2.48,3.03,1.39,1.96,2.66,1.73,0.88,0.27
1960,0.50,0.18,0.41,1.05,3.13,2.71,1.44,3.40,0.47,0.49,0.38,0.62
1961,0.10,0.66,0.25,1.70,1.32,1.38,2.23,0.74,3.61,0.61,0.07,0.42
1962,0.54,0.57,0.89,0.61,5.54,3.13,4.52,2.44,1.35,0.85,0.49,0.28
1963,0.16,0.42,0.54,2.37,2.38,4.11,3.16,2.21,0.99,0.46,0.10,0.52
1964,0.31,0.23,0.59,2.18,1.99,6.22,2.23,2.78,1.50,0.22,0.60,0.64
1965,0.39,0.12,0.40,2.01,4.26,2.92,3.82,2.25,3.42,0.39,0.44,0.49
1966,0.28,0.31,1.29,1.37,1.41,3.61,3.13,3.23,0.65,0.74,0.32,0.36
1967,0.95,0.54,0.40,3.35,1.26,2.17,0.95,0.82,1.60,1.43,0.19,0.77
1968,0.46,0.11,0.70,1.78,2.13,4.05,2.01,3.97,1.93,0.58,0.47,0.74
1969,1.23,1.02,0.37,0.90,1.61,4.16,3.63,1.05,1.13,0.99,0.07,0.74
1970,0.49,0.31,0.71,3.20,3.37,2.88,3.07,0.78,2.08,0.84,0.98,0.35
1971,0.79,0.24,0.77,1.64,1.73,4.94,2.06,0.83,2.62,3.47,0.41,0.34
1972,0.57,0.65,0.87,1.06,3.73,2.21,2.35,2.64,1.39,1.15,0.14,0.83
1973,0.09,0.19,0.90,1.35,1.62,2.91,1.67,1.60,3.76,1.38,0.68,0.65
1974,0.31,0.47,0.48,2.46,4.10,1.11,1.96,2.57,0.38,0.83,0.58,0.37
1975,0.49,0.29,1.56,3.67,2.26,5.49,1.63,2.01,1.73,1.07,0.53,0.53
1976,0.70,0.42,0.84,2.24,0.85,3.72,0.92,1.21,0.61,0.25,0.13,0.40
1977,0.56,0.43,0.93,0.38,3.17,2.98,2.84,2.19,4.29,1.08,1.43,1.03
1978,0.24,0.35,0.27,1.36,3.64,3.31,2.73,1.83,2.31,0.35,0.96,0.54
1979,0.34,1.04,0.94,2.01,1.62,2.28,2.90,1.47,0.80,0.53,0.25,0.24
1980,0.73,0.44,0.38,0.37,0.69,2.92,1.83,4.52,1.97,2.19,0.42,0.29
1981,0.32,0.38,0.37,0.83,1.51,3.96,3.03,2.54,1.92,1.18,0.61,0.43
1982,0.96,0.38,1.36,0.68,3.29,3.18,2.74,1.79,1.37,4.61,0.47,0.59
1983,0.41,0.22,1.47,0.43,1.77,2.92,2.70,1.91,1.73,1.10,0.64,0.42
1984,0.49,0.31,0.93,2.90,0.51,3.82,1.09,1.33,1.10,2.51,0.45,0.45
1985,0.23,0.16,0.94,0.95,3.42,2.38,1.08,3.45,1.53,1.71,1.03,0.45
1986,0.42,0.44,0.25,3.71,2.63,2.49,4.63,1.66,3.51,0.56,1.41,0.08
1987,0.26,0.94,1.30,0.11,2.99,1.76,4.85,2.42,0.91,0.15,0.19,0.22
1988,0.62,0.21,0.76,0.12,1.85,1.85,1.41,1.38,1.49,0.26,0.67,0.81
1989,0.93,0.19,0.91,1.75,1.93,1.98,1.55,2.57,1.16,0.59,0.58,0.19
1990,0.22,0.18,0.96,1.14,1.55,4.83,2.29,1.69,1.17,0.48,0.08,0.48
1991,0.18,0.44,0.37,2.29,3.07,4.34,2.32,1.82,2.60,1.55,0.48,0.26
1992,0.38,0.29,0.74,1.02,1.69,2.87,2.51,2.01,1.37,0.30,1.07,0.47
1993,0.46,0.21,0.55,1.04,2.70,5.21,7.97,2.47,0.45,0.23,1.03,0.63
1994,0.74,0.50,0.39,1.12,1.90,3.75,2.91,1.51,2.05,4.17,1.03,0.33
1995,0.49,0.36,1.42,0.98,3.19,2.19,4.54,2.21,1.16,1.69,0.81,0.55
1996,0.84,0.46,0.96,0.58,2.47,2.80,3.16,1.17,2.59,1.19,1.43,0.87
1997,0.91,0.30,0.82,2.11,0.81,2.43,4.38,1.45,1.14,1.70,0.34,0.13
1998,0.41,1.59,0.41,0.96,2.08,4.16,2.14,3.01,0.99,3.91,1.22,0.30
1999,0.92,0.38,0.52,1.19,5.18,3.00,2.83,3.36,2.44,0.33,0.05,0.24
2000,0.26,1.03,0.74,1.29,2.39,4.13,3.18,2.50,1.40,1.61,2.33,0.45
2001,0.23,0.37,0.15,1.74,1.89,4.20,4.66,0.93,1.12,0.95,0.24,0.34
2002,0.32,0.14,0.58,1.28,1.28,3.44,3.08,3.02,1.06,0.87,0.13,0.63
2003,0.32,0.21,0.83,1.09,4.05,3.23,1.81,1.17,1.81,0.63,0.47,0.62
2004,0.76,0.34,1.51,0.71,3.86,2.24,2.55,2.00,2.53,1.77,0.12,0.47
2005,0.60,0.12,0.55,0.57,3.46,7.01,2.31,2.25,0.82,1.52,1.15,0.62
2006,0.27,0.33,0.89,1.60,1.72,1.64,1.14,2.50,2.08,1.01,0.17,0.67
2007,0.14,0.63,1.55,1.05,5.34,3.69,1.88,1.97,1.27,0.94,0.17,0.37
2008,0.10,0.41,0.36,0.68,1.65,4.11,2.38,2.21,2.65,2.50,1.44,1.27
2009,0.63,1.04,1.58,1.10,1.75,2.97,2.29,1.93,1.78,2.72,0.07,1.10
2010,0.79,0.56,0.76,1.58,4.08,3.61,2.76,2.40,3.98,1.09,0.63,1.24
2011,0.96,0.33,1.05,1.87,4.06,3.89,3.79,2.46,1.49,1.06,0.16,0.32
2012,0.33,0.51,0.51,2.06,2.04,2.62,2.21,1.52,0.20,1.97,0.68,0.44
2013,0.34,0.52,0.97,1.06,5.50,3.69,2.20,1.63,2.76,3.52,0.21,0.88
2014,0.41,0.18,0.43,2.10,2.38,4.75,1.57,4.44,1.19,0.53,0.46,0.17
2015,0.48,0.41,0.42,0.59,4.00,3.63,2.65,1.59,1.57,1.32,0.49,0.57
2016,0.22,0.39,0.53,2.53,2.31,2.61,4.33,2.44,3.05,1.23,0.91,1.30
2017,0.48,0.40,0.47,0.97,1.01,2.20,1.24,2.79,2.47,0.25,0.31,0.40
2018,0.23,0.35,1.39,0.50,1.97,4.53,2.89,1.45,1.65,1.40,0.76,0.65
2019,0.42,1.01,0.51,1.15,2.30,3.07,3.40,2.85,5.90,2.41,0.61,0.76
2020,0.38,0.17,0.24,0.80,1.39,2.48,3.94,2.08,0.53,0.57,0.11,0.23
2021,0.25,0.17,0.12,0.64,2.06,2.47,1.27,2.73,1.21,3.34,0.45,0.87
