date,January,February,March,April,May,June,July,August,September,October,November,December
1950,4.46,3.87,4.49,2.69,3.82,3.75,4.80,3.42,3.78,2.98,6.68,3.58
1951,3.65,3.62,4.61,3.78,2.59,5.80,4.05,1.76,2.83,2.10,4.91,4.70
1952,4.65,2.36,4.30,5.40,5.80,2.05,4.35,4.18,3.83,1.40,4.45,3.25
1953,4.20,2.12,4.50,3.94,7.07,2.77,3.50,2.03,3.30,1.84,2.23,3.09
1954,2.17,2.01,4.30,4.21,3.47,3.29,2.49,4.99,2.82,5.46,2.82,3.61
1955,1.11,2.87,4.78,3.13,2.03,3.53,2.57,8.51,2.48,6.19,2.78,0.61
1956,1.70,4.68,4.51,3.77,4.31,4.44,6.12,5.43,3.83,2.63,2.47,4.05
1957,2.14,2.17,2.43,5.56,2.39,4.50,2.32,1.58,3.23,2.56,2.59,4.98
1958,3.72,2.57,3.03,4.17,3.91,4.25,6.37,4.26,4.42,2.33,3.14,1.07
1959,3.54,2.57,2.84,4.02,2.38,3.68,4.24,4.26,1.78,6.03,4.04,3.44
1960,2.88,3.67,2.06,2.61,6.51,3.96,4.67,3.20,4.86,1.59,2.00,1.76
1961,2.16,3.50,3.83,5.59,3.12,4.11,4.83,3.71,1.90,2.09,3.52,2.50
1962,2.80,3.55,2.90,3.89,2.19,3.00,2.49,3.29,4.60,3.44,2.75,2.60
1963,1.83,1.84,4.07,1.87,3.00,2.94,3.34,2.67,2.70,0.22,5.34,2.11
1964,3.59,2.52,3.95,5.65,1.55,3.53,3.62,3.06,1.79,1.34,2.37,3.74
1965,3.52,2.61,3.46,2.39,2.36,2.12,2.51,4.20,3.50,3.51,2.43,1.26
1966,3.45,3.17,2.42,3.36,3.33,1.27,2.37,2.99,4.49,2.18,4.27,2.59
1967,1.23,1.99,5.14,3.22,4.74,2.47,5.52,5.03,3.16,3.40,3.01,3.21
1968,2.43,0.62,3.31,2.01,6.39,4.00,1.99,3.08,3.92,2.98,4.15,3.19
1969,1.86,1.02,1.61,3.58,2.81,4.08,6.50,3.22,2.35,2.29,3.54,5.10
1970,1.18,2.69,3.11,4.19,3.47,4.30,5.33,3.89,3.13,4.51,4.74,3.35
1971,2.66,4.63,2.61,1.30,4.00,2.71,4.37,4.53,4.60,2.51,3.69,3.17
1972,2.50,4.03,3.28,4.17,4.73,11.22,3.50,2.28,2.98,2.70,6.39,4.86
1973,2.73,2.46,3.03,5.21,4.81,4.96,3.18,3.67,4.56,3.41,2.43,5.21
1974,3.51,1.72,4.81,3.01,4.26,4.81,3.87,4.07,5.14,1.38,2.81,4.06
1975,3.78,3.61,3.84,2.54,4.32,5.96,3.81,4.97,7.95,3.53,2.73,3.19
1976,4.02,2.46,2.88,2.31,3.48,4.75,4.38,3.44,4.10,6.91,0.95,2.01
1977,1.50,1.64,5.29,4.15,1.69,4.09,5.57,4.32,5.28,4.12,4.45,4.59
1978,6.51,1.02,2.63,2.26,5.75,3.92,4.04,4.70,2.91,3.23,1.94,4.19
1979,6.47,3.29,2.65,3.63,4.74,2.49,4.32,4.72,5.92,4.33,3.60,2.15
1980,1.25,1.09,5.02,4.45,3.20,4.08,4.52,3.55,2.17,3.34,2.89,1.31
1981,0.72,5.24,1.42,4.58,3.33,5.71,4.46,2.28,3.75,4.44,1.67,2.61
1982,3.49,2.66,2.70,2.99,3.89,6.24,3.15,2.82,2.95,1.25,3.99,2.21
1983,1.79,2.00,3.99,6.48,5.28,4.97,2.24,3.12,2.36,4.04,4.87,5.58
1984,1.51,3.85,3.70,4.29,6.32,4.82,5.19,4.98,1.74,2.84,3.59,3.28
1985,1.37,2.06,3.77,1.61,4.79,3.53,4.59,3.80,3.35,2.34,8.23,2.10
1986,2.45,3.67,2.55,3.49,2.60,4.71,5.35,3.61,2.82,3.38,5.05,3.57
1987,3.00,0.74,2.31,4.46,3.22,4.13,4.11,4.65,6.29,2.55,3.01,2.20
1988,1.78,2.99,2.20,2.55,4.92,1.33,5.03,3.97,3.19,2.41,4.01,1.52
1989,2.04,2.48,4.05,1.71,7.88,7.06,4.66,2.20,4.19,3.89,2.83,1.29
1990,3.63,2.88,1.69,3.11,6.08,3.17,5.22,5.22,4.12,5.81,2.47,6.30
1991,2.75,1.72,3.88,3.15,2.23,1.59,3.47,3.06,3.09,1.98,2.83,3.61
1992,1.95,1.86,4.08,2.78,3.33,2.39,7.14,3.58,4.16,2.03,4.48,3.83
1993,2.52,2.23,5.38,6.53,1.72,3.69,3.26,3.18,6.09,3.15,4.87,3.18
1994,4.52,2.87,5.77,3.73,3.36,4.81,4.44,7.18,3.23,1.13,4.53,2.62
1995,3.43,1.90,1.66,2.57,3.76,3.70,3.54,1.65,2.30,6.47,4.30,2.23
1996,5.83,2.43,3.55,4.48,4.54,5.57,5.92,2.92,7.20,4.71,3.99,5.17
1997,2.33,2.05,4.19,1.80,3.96,3.44,2.85,4.68,3.75,1.58,5.52,2.65
1998,4.32,3.67,3.65,5.60,4.36,5.15,2.87,2.93,2.13,3.08,1.19,1.46
1999,5.84,1.90,3.46,3.96,2.56,2.37,2.62,3.67,6.65,2.28,3.37,2.44
2000,2.36,2.82,3.52,4.48,4.54,5.30,3.34,3.65,3.94,2.37,2.12,2.94
2001,1.88,1.55,4.04,2.79,3.08,4.10,2.74,3.32,3.98,2.15,2.07,2.66
2002,2.13,1.45,3.98,3.92,5.68,4.85,2.31,2.67,4.33,5.06,3.36,3.81
2003,2.41,3.51,2.84,2.66,5.06,6.11,5.64,5.55,7.13,4.19,4.30,4.17
2004,3.29,2.26,2.84,4.87,5.44,4.40,7.10,5.26,8.87,2.61,3.47,3.49
2005,5.58,2.31,3.60,3.80,2.08,2.74,4.28,3.51,1.82,6.50,4.35,2.40
2006,4.25,1.79,1.48,3.48,3.32,7.67,5.08,3.94,5.06,5.35,3.84,2.31
2007,3.79,2.24,4.01,4.31,1.96,3.70,3.40,5.79,2.00,3.89,4.07,4.96
2008,2.03,5.21,5.38,3.13,4.18,4.12,4.43,2.60,4.16,2.71,2.30,5.57
2009,2.68,1.30,2.11,3.25,5.02,4.91,4.97,4.98,2.78,4.77,1.61,4.39
2010,3.08,2.66,3.57,2.31,4.02,3.63,4.64,3.11,3.41,5.15,3.29,3.44
2011,1.90,3.73,5.79,8.06,5.70,3.18,2.98,6.88,10.10,4.96,3.94,3.78
2012,3.36,1.50,2.89,2.15,5.10,3.30,4.73,3.52,5.11,5.58,1.01,5.24
2013,2.97,1.98,2.14,3.02,3.23,6.11,5.09,3.85,2.37,3.65,3.42,3.99
2014,2.32,3.24,2.60,3.85,5.29,5.31,4.53,4.28,1.88,3.73,2.44,2.96
2015,2.44,1.52,3.19,3.86,2.57,8.36,4.33,2.57,4.32,3.78,2.06,4.10
2016,2.39,3.94,1.96,2.63,3.88,3.35,3.79,4.09,3.55,4.31,1.49,3.62
2017,3.82,2.20,3.98,4.32,5.95,4.62,6.14,3.84,2.06,5.09,2.89,1.70
2018,3.28,5.40,3.12,4.17,5.48,5.32,7.53,6.26,8.88,4.28,6.06,4.26
2019,4.27,3.45,2.97,4.53,6.52,5.82,5.62,3.71,2.13,5.61,2.44,3.71
2020,3.05,3.35,4.27,4.51,3.47,3.17,3.57,4.37,2.46,3.63,2.97,4.44
2021,1.80,3.02,2.81,2.79,4.28,3.54,6.24,5.89,6.98,4.61,1.73,2.43
