,Unnamed: 0,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,0,1950,3.59,3.87,3.52,3.1,3.02,2.41,1.73,4.5,1.72,2.0,5.96,3.79,Rhode_Island
1,1,1951,3.88,3.87,4.74,3.28,4.21,2.27,1.82,3.42,2.0,3.28,7.74,4.82,Rhode_Island
2,2,1952,4.67,3.55,4.39,3.79,3.65,3.17,0.7,8.51,1.92,1.41,2.22,3.69,Rhode_Island
3,3,1953,5.99,4.38,8.8,5.98,3.8,0.96,4.44,3.53,2.46,4.99,6.16,5.34,Rhode_Island
4,4,1954,2.83,2.78,3.75,5.03,5.4,2.15,2.78,8.19,8.1,2.51,5.07,5.9,Rhode_Island
5,5,1955,0.78,4.4,4.28,3.29,1.54,3.18,3.0,11.92,3.97,7.77,5.17,0.8,Rhode_Island
6,6,1956,4.74,4.37,5.86,3.24,2.02,2.19,4.95,1.42,3.45,2.97,3.9,5.08,Rhode_Island
7,7,1957,2.3,1.63,3.12,4.24,1.78,0.82,1.51,2.87,1.24,2.67,4.48,6.09,Rhode_Island
8,8,1958,7.44,3.32,4.0,7.21,4.25,2.45,4.81,5.55,5.04,3.42,3.15,1.69,Rhode_Island
9,9,1959,2.39,3.29,5.9,3.99,1.74,5.71,5.49,3.11,0.98,5.48,4.77,4.39,Rhode_Island
10,10,1960,3.32,5.42,3.14,3.49,3.89,1.78,5.29,1.76,6.92,2.71,3.22,4.18,Rhode_Island
11,11,1961,2.51,3.59,3.62,6.12,4.99,2.13,2.34,4.23,7.48,2.68,3.29,3.44,Rhode_Island
12,12,1962,4.56,4.56,1.77,3.6,1.93,4.79,1.72,3.77,3.41,7.43,4.54,3.17,Rhode_Island
13,13,1963,3.27,3.2,3.79,1.44,4.03,2.3,3.29,2.4,3.9,1.42,6.64,2.53,Rhode_Island
14,14,1964,5.1,3.41,2.58,6.04,0.75,1.52,3.15,1.78,3.17,2.34,2.93,5.19,Rhode_Island
15,15,1965,2.88,3.45,1.82,2.9,1.75,2.01,1.88,2.74,2.41,2.69,2.02,1.63,Rhode_Island
16,16,1966,3.48,3.52,2.41,1.35,4.42,2.27,2.77,2.19,4.89,2.92,4.52,2.69,Rhode_Island
17,17,1967,1.72,2.74,5.55,4.36,7.11,3.08,4.12,3.8,3.55,1.96,3.32,6.84,Rhode_Island
18,18,1968,3.34,1.27,7.89,1.69,3.83,5.68,1.39,1.68,1.7,2.2,6.2,6.21,Rhode_Island
19,19,1969,1.87,4.59,3.32,4.57,3.0,1.41,3.66,3.15,4.5,2.29,6.71,9.47,Rhode_Island
20,20,1970,0.94,5.38,4.68,3.98,3.35,3.77,1.49,4.51,2.66,3.62,5.35,3.79,Rhode_Island
21,21,1971,2.21,5.45,3.27,2.54,4.29,1.26,3.52,2.97,2.19,3.62,5.81,2.74,Rhode_Island
22,22,1972,2.32,5.54,6.68,3.99,5.9,8.06,3.16,2.63,5.84,4.22,8.05,7.08,Rhode_Island
23,23,1973,3.52,3.43,3.27,6.58,4.11,4.03,4.36,3.87,3.96,3.23,2.41,8.28,Rhode_Island
24,24,1974,4.41,2.73,4.62,3.38,3.29,2.94,1.97,3.09,6.82,2.91,1.95,4.72,Rhode_Island
25,25,1975,6.22,3.46,3.35,3.19,2.66,4.3,3.47,3.46,6.46,5.41,6.42,4.85,Rhode_Island
26,26,1976,6.28,2.83,3.31,2.15,2.95,1.34,3.9,7.13,2.18,5.48,0.77,3.41,Rhode_Island
27,27,1977,3.64,2.73,5.62,3.98,3.13,4.65,2.4,3.8,5.84,7.16,3.35,6.45,Rhode_Island
28,28,1978,9.05,2.44,3.16,2.18,5.67,1.7,3.21,5.52,2.18,3.58,2.83,4.7,Rhode_Island
29,29,1979,11.93,4.12,2.79,5.1,6.29,1.34,2.38,7.57,4.06,3.94,4.41,1.91,Rhode_Island
30,30,1980,1.35,1.09,8.09,5.52,1.72,3.31,3.66,1.99,0.92,4.36,3.86,1.5,Rhode_Island
31,31,1981,0.88,5.9,0.83,4.25,2.44,3.57,3.26,1.35,3.38,4.27,3.46,6.7,Rhode_Island
32,32,1982,5.57,3.08,3.17,4.38,2.19,11.7,2.91,2.97,3.39,3.17,4.32,2.01,Rhode_Island
33,33,1983,4.6,4.79,8.01,10.59,4.55,2.62,1.7,3.69,1.74,4.89,9.68,6.14,Rhode_Island
34,34,1984,2.41,6.38,5.74,4.67,7.71,5.42,5.75,0.74,1.97,4.28,2.35,3.24,Rhode_Island
35,35,1985,1.11,1.95,2.99,1.52,4.84,4.63,3.33,8.52,2.65,2.06,7.48,1.24,Rhode_Island
36,36,1986,5.47,3.18,3.16,1.86,2.02,4.56,5.77,4.31,0.96,2.81,6.89,7.6,Rhode_Island
37,37,1987,5.53,0.66,4.76,8.29,1.96,1.81,1.37,3.14,6.14,3.02,3.43,2.78,Rhode_Island
38,38,1988,2.98,5.26,4.12,2.88,3.07,1.67,6.84,1.33,2.39,2.71,8.38,1.34,Rhode_Island
39,39,1989,1.54,2.85,3.88,5.04,5.44,5.23,5.9,6.15,4.75,7.35,5.51,1.36,Rhode_Island
40,40,1990,5.27,3.35,1.99,5.29,6.21,1.4,4.98,5.42,2.37,6.22,2.28,5.21,Rhode_Island
41,41,1991,3.35,2.12,5.87,4.12,3.19,1.2,2.63,7.37,6.19,2.84,4.79,3.05,Rhode_Island
42,42,1992,3.86,2.22,3.9,2.5,1.26,4.62,3.62,7.15,4.58,2.04,5.26,7.13,Rhode_Island
43,43,1993,2.53,4.23,6.69,4.9,1.13,1.68,3.11,1.62,4.47,3.74,3.48,6.18,Rhode_Island
44,44,1994,5.38,2.65,7.28,2.21,3.36,2.22,1.86,6.16,4.06,0.59,5.33,4.9,Rhode_Island
45,45,1995,3.61,3.13,2.56,2.86,3.32,2.74,1.89,1.96,3.5,6.85,5.21,2.56,Rhode_Island
46,46,1996,5.98,3.14,2.96,6.16,3.36,2.24,5.97,2.79,6.48,7.19,2.64,7.55,Rhode_Island
47,47,1997,4.01,2.13,4.94,4.72,2.84,1.65,1.91,6.09,1.22,2.06,6.12,3.19,Rhode_Island
48,48,1998,6.38,5.64,6.0,5.29,5.6,10.85,2.49,3.5,2.49,4.28,2.34,1.53,Rhode_Island
49,49,1999,6.79,5.1,4.88,1.4,3.96,0.2,2.18,2.74,7.53,5.64,2.8,2.76,Rhode_Island
50,50,2000,3.94,3.13,5.28,5.95,3.6,5.02,4.39,3.3,4.02,1.39,4.08,4.74,Rhode_Island
51,51,2001,2.79,2.52,9.83,2.04,4.11,6.34,3.25,4.22,3.02,1.52,0.89,2.71,Rhode_Island
52,52,2002,2.94,1.91,4.59,3.62,5.64,4.14,1.49,2.24,5.37,4.03,5.95,5.53,Rhode_Island
53,53,2003,2.33,4.17,5.27,4.87,3.57,6.05,3.7,4.79,4.05,6.43,2.29,5.44,Rhode_Island
54,54,2004,1.73,2.23,2.91,7.84,2.92,1.75,3.16,6.18,6.9,2.49,4.49,5.01,Rhode_Island
55,55,2005,4.81,2.98,5.19,5.42,4.41,1.25,1.93,4.1,3.3,14.54,5.69,4.21,Rhode_Island
56,56,2006,5.76,2.74,0.59,2.97,7.68,10.55,2.92,4.44,2.99,7.18,6.6,2.28,Rhode_Island
57,57,2007,4.01,2.42,6.01,8.16,2.78,3.05,3.41,1.55,2.19,2.56,3.25,5.07,Rhode_Island
58,58,2008,2.88,6.96,5.66,4.17,2.47,2.82,4.88,3.43,9.23,2.17,4.42,7.61,Rhode_Island
59,59,2009,3.81,1.96,2.73,5.55,3.44,4.53,10.32,3.08,2.22,6.77,3.58,6.03,Rhode_Island
60,60,2010,3.29,4.76,14.75,1.95,2.73,3.77,3.7,3.2,2.94,4.36,3.67,4.2,Rhode_Island
61,61,2011,4.06,4.56,2.52,5.35,3.4,4.41,2.73,8.16,6.36,7.47,4.52,3.99,Rhode_Island
62,62,2012,3.3,1.17,1.41,3.22,4.58,4.23,3.78,4.17,4.53,3.93,0.99,5.82,Rhode_Island
63,63,2013,1.86,4.79,2.49,1.8,3.58,10.19,2.88,3.32,3.18,0.89,3.98,4.21,Rhode_Island
64,64,2014,3.31,4.23,5.91,4.57,3.25,2.31,4.67,2.54,0.86,4.44,5.14,6.01,Rhode_Island
65,65,2015,3.71,2.67,4.15,2.5,1.03,5.34,3.12,2.53,4.0,4.02,2.59,5.22,Rhode_Island
66,66,2016,3.2,5.26,2.66,3.99,3.45,1.44,2.6,2.85,2.75,6.32,3.21,3.53,Rhode_Island
67,67,2017,4.84,2.32,3.72,6.56,6.33,3.75,3.6,1.89,3.16,7.41,2.75,2.78,Rhode_Island
68,68,2018,5.79,5.68,5.5,5.4,2.33,2.7,2.51,4.54,7.91,6.56,9.6,4.66,Rhode_Island
69,69,2019,6.42,3.51,3.45,7.08,4.05,4.8,4.66,4.04,1.63,7.05,3.12,7.3,Rhode_Island
70,70,2020,1.5,3.3,4.46,5.4,3.17,2.84,1.73,1.78,1.17,5.81,5.38,7.98,Rhode_Island
71,71,2021,2.29,3.64,2.8,3.49,5.12,2.31,7.35,5.26,7.39,5.94,2.21,1.97,Rhode_Island
