,Unnamed: 0,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,0,1950,1.95,1.27,4.18,1.39,4.36,3.18,7.28,3.59,5.36,3.51,1.21,4.01,South_Carolina
1,1,1951,1.36,1.57,4.67,3.08,0.83,4.59,5.61,3.32,4.51,1.22,2.89,4.39,South_Carolina
2,2,1952,2.36,4.55,6.95,3.15,3.72,3.23,3.39,9.23,3.63,1.07,1.93,3.21,South_Carolina
3,3,1953,3.27,5.63,4.46,1.95,3.76,4.11,3.7,4.35,6.35,0.46,1.55,6.99,South_Carolina
4,4,1954,3.23,1.57,3.48,2.84,3.27,1.74,3.5,2.59,1.65,3.0,2.04,2.81,South_Carolina
5,5,1955,4.23,2.75,1.97,4.57,4.15,3.48,5.98,4.34,4.92,2.46,2.29,0.83,South_Carolina
6,6,1956,1.74,6.01,3.68,3.72,2.69,3.26,4.38,3.85,5.86,2.9,1.09,2.31,South_Carolina
7,7,1957,2.47,2.66,4.59,2.45,6.0,4.74,3.25,4.03,6.66,2.4,6.69,2.86,South_Carolina
8,8,1958,4.23,3.92,4.73,6.75,3.34,4.85,6.47,4.7,2.0,2.53,0.83,3.23,South_Carolina
9,9,1959,3.21,4.8,6.34,3.5,4.61,3.19,8.94,4.74,8.85,8.27,1.3,3.11,South_Carolina
10,10,1960,5.94,6.07,4.71,2.83,2.33,4.35,7.71,3.91,5.18,2.43,1.19,2.07,South_Carolina
11,11,1961,2.69,5.96,4.25,6.75,3.99,6.11,5.03,7.63,1.94,0.78,2.14,4.25,South_Carolina
12,12,1962,5.34,3.8,5.56,3.91,2.01,6.83,3.73,4.24,4.93,1.86,4.15,2.52,South_Carolina
13,13,1963,4.8,3.8,3.74,3.22,3.46,6.2,4.41,2.35,5.17,0.48,4.55,2.98,South_Carolina
14,14,1964,7.03,6.03,5.93,4.91,2.75,5.05,10.49,8.59,3.4,9.08,1.56,4.5,South_Carolina
15,15,1965,1.64,5.74,7.54,3.65,2.17,7.76,6.93,4.28,2.85,2.9,2.13,0.93,South_Carolina
