,Unnamed: 0,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,0,1950,12.94,6.6,5.84,2.19,6.09,4.63,6.89,5.94,4.31,1.47,4.8,2.98,Tennessee
1,1,1951,7.37,5.47,6.02,4.82,1.42,6.16,4.36,2.03,4.46,2.54,6.81,8.69,Tennessee
2,2,1952,5.7,3.33,6.99,2.65,3.3,2.06,2.4,4.48,2.88,1.32,3.6,3.58,Tennessee
3,3,1953,5.41,5.8,5.86,5.37,6.15,2.78,5.04,1.2,1.97,0.76,1.47,4.32,Tennessee
4,4,1954,9.92,3.58,3.92,4.19,3.75,2.64,2.56,2.7,2.29,2.32,2.34,6.23,Tennessee
5,5,1955,2.02,6.85,8.37,5.75,5.05,3.58,4.2,2.57,2.85,2.56,3.65,2.54,Tennessee
6,6,1956,4.89,9.8,4.16,5.85,3.09,3.23,4.33,3.01,1.71,2.42,2.36,6.46,Tennessee
7,7,1957,9.11,6.88,2.79,5.33,5.36,6.15,2.82,2.64,6.54,3.46,9.72,5.52,Tennessee
8,8,1958,2.71,2.8,4.12,6.49,4.47,3.13,6.06,3.18,4.39,1.05,3.88,1.71,Tennessee
9,9,1959,4.71,4.56,4.12,3.82,4.24,3.75,5.3,4.27,2.74,4.49,4.28,5.41,Tennessee
10,10,1960,3.56,3.67,4.83,2.28,3.16,5.29,3.55,3.91,4.11,3.43,3.29,3.36,Tennessee
11,11,1961,2.37,6.65,6.79,4.15,4.45,5.29,4.76,3.18,1.74,1.95,5.07,8.61,Tennessee
12,12,1962,7.14,8.68,5.48,4.91,2.26,5.19,3.55,2.44,5.32,3.08,3.85,2.61,Tennessee
13,13,1963,2.15,2.59,9.13,3.8,3.97,3.87,5.39,3.57,1.53,0.03,3.79,2.53,Tennessee
14,14,1964,4.62,4.15,7.71,8.13,3.24,2.22,5.07,5.54,3.78,3.03,3.87,6.16,Tennessee
15,15,1965,3.9,4.84,8.07,4.6,3.71,4.25,4.8,2.39,4.1,1.67,2.68,1.03,Tennessee
16,16,1966,4.18,5.05,2.1,4.88,4.6,1.89,4.5,5.68,3.56,3.61,3.58,5.16,Tennessee
17,17,1967,2.3,3.26,4.02,3.46,7.5,3.74,8.25,4.47,2.69,2.91,3.91,6.95,Tennessee
18,18,1968,4.48,1.11,5.85,5.28,5.28,2.65,3.22,1.84,3.34,3.07,4.19,4.13,Tennessee
19,19,1969,4.57,4.85,2.73,5.88,2.98,4.41,3.28,4.38,2.99,2.31,3.58,8.09,Tennessee
20,20,1970,1.96,3.91,4.36,7.45,2.83,6.08,2.66,4.47,3.95,5.3,2.36,4.51,Tennessee
21,21,1971,4.33,6.06,3.78,3.12,4.42,3.83,6.26,5.06,3.42,2.35,2.04,5.77,Tennessee
22,22,1972,6.83,3.64,5.24,4.21,4.31,3.45,7.37,2.64,5.2,5.45,5.38,8.54,Tennessee
23,23,1973,4.38,3.83,10.5,6.71,7.5,4.65,4.94,2.54,3.1,3.26,8.58,5.36,Tennessee
24,24,1974,9.63,4.58,4.76,4.92,6.85,5.35,3.09,5.81,4.91,1.87,4.78,5.14,Tennessee
25,25,1975,5.3,5.72,13.13,2.89,5.24,3.23,3.83,3.83,5.99,5.09,4.01,4.14,Tennessee
26,26,1976,4.62,3.45,6.5,1.31,5.77,5.53,4.02,2.45,3.57,5.74,1.8,2.74,Tennessee
27,27,1977,2.69,2.55,6.13,6.77,2.58,5.01,3.19,3.99,7.97,4.05,7.59,3.67,Tennessee
28,28,1978,5.85,1.18,4.53,3.0,5.96,3.8,4.15,4.91,1.3,1.8,4.44,8.97,Tennessee
29,29,1979,7.02,4.61,5.18,7.41,7.11,3.61,6.38,4.54,6.99,2.8,6.78,3.65,Tennessee
30,30,1980,4.23,1.87,9.97,4.43,4.48,2.97,3.07,2.42,3.45,2.34,3.94,1.61,Tennessee
31,31,1981,1.61,4.07,4.11,4.22,4.38,5.51,5.07,3.72,2.99,4.26,2.9,3.67,Tennessee
32,32,1982,7.18,4.65,3.73,5.12,3.66,3.11,5.04,5.19,3.42,2.39,5.6,8.64,Tennessee
33,33,1983,2.45,3.49,3.29,7.68,10.09,3.69,2.06,2.32,1.65,3.71,7.2,7.35,Tennessee
34,34,1984,2.18,3.93,5.74,5.64,9.27,2.59,6.08,2.62,1.3,7.07,6.23,3.42,Tennessee
35,35,1985,3.03,3.75,2.84,3.26,3.52,4.52,3.91,5.75,2.44,3.76,4.71,1.7,Tennessee
36,36,1986,0.99,4.43,2.79,1.82,4.77,3.6,2.97,3.71,4.0,4.0,7.5,4.57,Tennessee
37,37,1987,3.08,5.5,2.81,2.88,3.21,3.88,3.6,2.4,3.5,0.96,4.63,6.58,Tennessee
38,38,1988,4.35,3.16,3.22,3.46,2.45,0.61,5.53,3.26,5.11,2.89,7.51,4.83,Tennessee
39,39,1989,6.81,8.34,6.17,3.51,5.04,8.78,6.06,3.26,6.72,3.51,4.49,2.84,Tennessee
40,40,1990,4.9,8.05,5.29,3.65,5.33,2.91,4.0,2.36,3.11,5.14,3.38,12.52,Tennessee
41,41,1991,3.14,7.49,6.42,5.9,6.56,4.48,3.27,3.45,3.03,2.67,3.78,10.22,Tennessee
42,42,1992,3.17,3.47,5.22,2.13,3.18,6.09,5.32,4.65,4.6,2.68,4.5,4.63,Tennessee
43,43,1993,3.92,3.03,5.35,4.2,4.85,3.37,2.35,3.88,4.19,2.55,3.77,6.79,Tennessee
44,44,1994,5.96,6.97,9.59,6.55,3.86,5.94,5.36,3.82,2.91,3.61,3.93,3.41,Tennessee
45,45,1995,5.51,2.94,4.11,3.51,6.07,4.49,4.02,4.37,3.36,4.95,5.79,3.03,Tennessee
46,46,1996,5.77,2.96,5.89,4.26,4.94,4.63,6.37,3.18,6.41,3.07,6.63,5.96,Tennessee
47,47,1997,4.97,4.76,9.22,4.17,5.33,7.56,2.6,3.73,4.6,3.15,3.01,3.41,Tennessee
48,48,1998,5.53,4.7,4.58,8.4,4.72,8.09,6.21,2.87,1.13,2.45,1.96,6.93,Tennessee
49,49,1999,8.76,3.3,4.59,4.01,4.23,5.64,3.78,1.38,1.29,2.55,3.29,3.23,Tennessee
50,50,2000,3.58,3.72,4.47,6.44,4.59,4.19,2.95,2.6,3.38,0.35,5.1,3.65,Tennessee
51,51,2001,3.71,6.93,3.33,2.93,4.42,4.36,4.84,4.21,3.57,4.54,5.68,5.48,Tennessee
52,52,2002,6.65,2.19,9.14,2.43,5.55,2.45,4.14,3.33,7.3,5.23,4.23,6.58,Tennessee
53,53,2003,2.1,9.66,2.54,5.14,9.71,5.15,5.79,4.41,5.64,2.03,5.77,3.82,Tennessee
54,54,2004,3.33,5.07,4.8,4.92,5.28,5.83,4.85,4.14,4.35,5.29,6.77,6.61,Tennessee
55,55,2005,4.29,4.17,3.35,6.05,1.62,4.22,5.35,5.74,2.63,0.62,3.66,2.98,Tennessee
56,56,2006,6.37,2.96,3.19,5.49,4.13,3.38,3.65,4.09,4.67,3.65,3.9,3.39,Tennessee
57,57,2007,4.12,2.16,2.21,3.74,1.8,2.86,3.69,1.35,3.02,4.73,3.57,4.47,Tennessee
58,58,2008,3.45,4.01,6.52,5.76,4.99,2.48,3.94,3.3,1.26,3.26,2.67,8.13,Tennessee
59,59,2009,4.61,2.66,4.52,4.33,8.36,3.66,6.96,3.34,7.13,6.81,2.02,5.88,Tennessee
60,60,2010,5.3,3.12,3.88,3.09,9.01,3.33,4.34,4.37,2.02,2.75,5.64,2.8,Tennessee
61,61,2011,3.18,4.21,6.96,9.83,5.02,5.68,3.17,1.58,6.56,2.55,7.56,6.29,Tennessee
62,62,2012,4.88,2.9,4.86,2.01,3.25,2.15,5.75,3.58,5.81,4.09,1.7,5.91,Tennessee
63,63,2013,8.64,3.01,4.97,7.88,5.66,5.83,6.96,4.25,3.72,1.85,3.71,6.79,Tennessee
64,64,2014,2.7,5.18,3.93,5.81,2.91,6.82,4.13,5.0,2.22,7.01,3.22,4.59,Tennessee
65,65,2015,2.81,4.56,5.41,5.96,3.68,4.76,6.48,4.53,2.73,3.96,6.38,7.9,Tennessee
66,66,2016,2.76,5.79,5.16,3.2,3.8,3.99,4.86,5.03,1.8,0.73,3.05,6.87,Tennessee
67,67,2017,4.24,2.38,5.77,6.61,5.95,4.37,5.36,4.9,4.31,4.92,2.78,4.63,Tennessee
68,68,2018,2.55,10.73,5.67,5.97,4.99,5.74,3.52,4.26,7.29,3.57,5.51,7.34,Tennessee
69,69,2019,5.78,12.07,4.26,5.84,3.71,6.46,6.13,3.97,0.5,7.28,4.74,6.17,Tennessee
70,70,2020,6.73,9.18,8.15,6.56,4.56,3.88,4.76,5.93,4.37,4.97,1.98,4.66,Tennessee
71,71,2021,3.32,5.08,10.19,2.82,4.28,4.53,5.08,7.17,4.87,5.29,1.68,4.63,Tennessee
