,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,1950,1.63,0.61,0.9,0.63,0.9,0.2,1.44,0.23,0.89,0.28,1.06,0.82,Utah
1,1951,1.04,0.74,0.7,1.59,1.31,0.39,1.02,2.02,0.35,1.51,1.47,2.51,Utah
2,1952,1.8,0.68,2.26,1.29,0.77,1.09,0.91,1.27,0.69,0.0,0.78,1.11,Utah
3,1953,1.02,0.56,0.85,1.2,0.86,0.36,1.43,1.39,0.06,1.16,0.85,0.65,Utah
4,1954,1.3,0.45,1.72,0.56,0.92,0.75,0.89,0.54,1.67,0.91,1.0,0.86,Utah
5,1955,1.42,1.53,0.29,0.42,0.69,0.72,0.83,1.94,0.61,0.3,1.12,1.26,Utah
6,1956,1.88,0.69,0.13,0.96,1.06,0.28,0.79,0.35,0.11,0.9,0.16,0.81,Utah
7,1957,2.12,0.7,1.19,2.23,2.77,1.08,0.91,1.79,0.1,2.12,2.24,0.93,Utah
8,1958,0.72,1.64,2.0,0.85,0.75,0.14,0.27,0.83,1.09,0.24,1.08,0.31,Utah
9,1959,0.61,1.78,0.65,0.78,0.82,0.61,0.52,1.48,1.26,0.71,0.36,1.47,Utah
10,1960,0.91,1.55,0.99,0.85,0.56,0.29,0.39,0.37,1.02,1.81,1.45,0.41,Utah
11,1961,0.27,0.51,2.0,0.96,0.66,0.14,0.87,2.12,2.34,1.46,1.03,0.94,Utah
12,1962,1.12,2.48,1.14,0.85,1.2,0.59,0.52,0.25,1.18,0.95,0.48,0.42,Utah
13,1963,0.84,0.9,1.03,1.94,0.28,1.25,0.35,2.09,1.5,0.86,1.35,0.37,Utah
14,1964,0.65,0.25,1.3,1.88,1.5,1.42,0.49,0.85,0.5,0.19,1.47,2.33,Utah
15,1965,0.97,0.9,0.92,2.03,1.75,1.41,1.79,1.77,1.73,0.57,2.09,2.09,Utah
16,1966,0.41,1.05,0.39,0.58,0.83,0.28,0.83,0.96,0.92,0.86,0.75,2.65,Utah
17,1967,1.33,0.25,0.87,1.15,1.8,2.11,1.07,0.83,1.57,0.38,0.69,1.9,Utah
18,1968,0.53,1.57,1.2,1.93,1.17,1.0,1.19,2.27,0.29,0.82,0.59,1.12,Utah
19,1969,2.61,2.35,0.76,0.94,0.52,2.13,1.16,1.02,0.82,1.56,0.68,0.81,Utah
20,1970,0.9,0.49,1.41,1.12,0.4,1.49,1.4,1.17,1.09,0.95,1.68,1.2,Utah
21,1971,0.74,1.19,0.36,1.46,1.42,0.44,0.46,1.65,0.68,2.48,0.86,1.92,Utah
22,1972,0.41,0.19,0.27,1.08,0.19,1.19,0.32,0.91,1.29,3.69,1.54,1.65,Utah
23,1973,1.13,0.99,2.11,1.59,1.09,0.97,1.25,0.9,0.91,0.56,1.45,0.97,Utah
24,1974,1.83,0.45,0.61,1.27,0.15,0.11,1.03,0.33,0.23,2.12,0.89,0.71,Utah
25,1975,0.98,0.92,2.17,1.31,1.81,1.14,1.57,0.52,0.5,1.11,0.97,0.67,Utah
26,1976,0.34,1.8,0.9,1.35,1.12,0.36,0.95,0.51,0.98,0.68,0.16,0.03,Utah
27,1977,0.61,0.42,0.71,0.32,2.12,0.36,1.58,1.54,0.75,0.7,0.65,1.13,Utah
28,1978,2.2,1.78,2.48,2.03,1.04,0.15,0.33,0.7,1.39,0.53,2.74,1.73,Utah
29,1979,1.95,1.22,2.08,0.55,1.38,0.22,0.47,1.07,0.09,1.1,1.03,0.62,Utah
30,1980,3.2,2.67,2.04,0.88,2.46,0.4,0.65,0.83,1.76,1.27,0.76,0.41,Utah
31,1981,0.54,0.49,2.2,1.09,2.2,0.41,0.89,1.07,1.32,2.89,0.92,1.21,Utah
32,1982,1.57,0.76,2.14,0.64,1.06,0.49,1.25,1.63,3.67,1.24,1.77,1.42,Utah
33,1983,1.05,1.39,2.55,1.48,1.58,0.95,1.19,2.24,1.59,1.12,2.35,2.58,Utah
