date,January,February,March,April,May,June,July,August,September,October,November,December
1950,4.18,2.86,3.54,2.62,2.03,4.08,3.12,4.97,2.89,2.42,5.47,3.63
1951,2.49,4.66,4.04,4.37,2.60,3.40,5.54,3.43,3.60,3.29,4.94,4.23
1952,3.09,3.18,2.66,3.60,4.31,6.52,2.89,3.01,3.56,2.86,1.90,4.99
1953,3.96,2.42,5.22,4.45,4.92,2.01,2.73,4.03,2.91,3.17,2.19,3.78
1954,3.28,4.15,4.13,4.44,5.43,5.36,3.41,3.81,6.41,3.04,5.06,3.78
1955,1.16,3.77,4.20,2.82,2.74,3.63,2.35,7.68,2.23,5.33,3.12,1.24
1956,2.62,2.69,4.24,3.03,3.94,2.67,4.08,2.65,4.86,1.68,2.97,3.35
1957,2.21,1.46,1.53,2.19,3.38,4.83,4.85,1.56,3.63,2.15,4.10,5.36
1958,5.34,2.88,2.15,3.19,3.08,3.11,5.49,2.84,4.07,4.27,2.87,1.39
1959,4.22,2.77,2.73,2.01,2.04,4.13,1.91,4.87,2.49,7.40,6.37,3.66
1960,2.81,3.60,2.00,4.23,3.47,4.39,4.33,1.99,5.38,3.88,2.49,1.49
1961,1.45,2.67,2.31,4.45,3.39,4.11,4.28,3.68,1.94,2.17,3.32,2.82
1962,2.31,2.98,1.88,4.08,3.04,2.47,5.13,3.72,3.60,5.64,2.90,2.84
1963,2.58,2.36,2.89,2.88,3.14,2.55,2.94,4.88,2.00,0.57,5.73,2.06
1964,3.91,1.37,4.21,2.74,3.51,2.03,3.37,4.69,1.21,1.99,2.97,3.23
1965,1.62,2.38,0.98,2.46,1.10,3.05,3.00,4.83,5.13,4.02,4.38,2.16
1966,2.48,2.55,3.35,1.19,3.34,3.42,3.56,5.49,3.98,2.60,2.81,3.49
1967,1.85,2.33,1.33,4.09,4.95,3.56,4.29,3.98,2.75,4.19,2.91,4.20
1968,1.85,1.32,4.02,3.40,3.99,4.83,2.92,2.51,3.01,3.04,5.80,5.17
1969,2.48,2.96,2.24,4.18,4.11,4.28,4.84,4.39,2.34,2.45,6.22,5.90
1970,0.88,3.00,2.56,3.71,3.61,3.51,2.48,3.87,4.56,2.91,2.71,4.28
1971,2.04,3.85,3.82,2.21,3.48,2.47,4.50,6.64,2.40,2.44,3.92,3.44
1972,2.20,3.04,4.39,2.76,4.16,5.60,5.95,3.08,1.74,3.71,5.75,5.84
1973,3.62,2.19,2.90,4.40,6.13,7.84,4.03,3.45,4.01,2.74,3.47,7.98
1974,3.07,2.84,4.05,4.00,5.45,3.57,5.44,3.79,5.37,1.51,4.34,2.83
1975,3.30,2.84,3.38,2.90,1.81,3.76,4.68,5.22,6.17,5.33,4.63,3.65
1976,4.84,4.00,3.67,3.21,5.83,4.56,5.97,6.28,4.16,5.80,2.22,2.46
1977,2.48,2.47,4.26,4.19,1.57,4.29,2.37,5.01,6.35,6.26,4.49,4.68
1978,6.45,0.90,2.90,2.78,2.44,6.06,3.30,3.65,2.29,4.20,1.79,3.49
1979,7.13,1.57,2.96,3.49,5.20,1.78,3.33,4.74,4.33,3.61,3.64,2.15
1980,1.34,0.96,3.94,3.14,1.90,3.15,4.06,3.63,4.39,3.45,3.78,2.03
1981,0.70,6.74,1.31,3.37,3.81,4.02,4.87,4.58,6.00,5.80,2.50,3.67
1982,3.06,3.09,2.85,3.46,1.75,6.53,2.42,3.52,2.79,2.08,4.13,2.24
1983,3.76,2.25,4.09,6.02,6.77,2.63,2.86,6.12,2.37,3.40,7.36,6.47
1984,1.55,3.28,3.29,3.24,9.08,2.75,5.60,3.26,2.26,2.81,3.60,3.89
1985,1.65,2.35,3.11,2.30,3.48,3.85,3.23,4.24,4.58,3.53,4.70,2.39
1986,4.73,2.22,3.97,1.67,4.24,5.00,5.64,5.24,3.81,2.52,4.25,3.18
1987,3.45,0.49,2.14,3.48,2.11,6.00,3.93,3.21,5.88,5.79,3.14,2.13
1988,1.80,2.93,1.85,3.68,2.61,2.10,4.76,5.73,2.19,2.46,5.86,1.67
1989,1.52,1.96,2.95,3.03,5.62,5.00,3.44,5.90,4.97,4.72,4.29,1.52
1990,4.19,3.26,3.01,3.84,5.49,4.53,3.76,7.32,2.86,6.85,3.71,5.43
1991,2.71,1.36,3.57,3.29,3.61,2.70,2.65,6.16,5.07,4.81,2.66,3.17
1992,2.51,2.40,3.28,2.92,2.40,3.02,4.36,3.80,4.13,3.03,4.52,2.19
1993,3.19,2.85,3.52,4.10,2.23,4.25,3.47,3.47,4.62,3.35,3.50,3.24
1994,4.16,1.54,4.16,4.21,4.23,4.23,4.68,5.08,3.95,0.95,3.13,2.76
1995,3.13,2.43,2.35,2.18,2.48,1.35,4.82,4.50,3.44,8.14,4.41,2.96
1996,4.81,2.55,1.68,6.51,5.58,4.45,7.44,2.37,3.50,4.95,3.41,5.37
1997,3.26,2.59,3.90,3.01,3.79,2.70,4.56,5.88,3.08,2.15,5.14,2.72
1998,5.88,2.35,3.73,2.52,2.83,8.77,5.14,4.73,3.97,3.02,2.90,1.69
1999,5.73,1.53,4.14,0.88,3.50,2.56,3.79,2.76,8.57,4.00,3.23,1.76
2000,3.79,3.51,2.95,5.93,5.70,3.89,4.95,4.33,2.65,2.81,3.19,4.92
2001,1.55,3.07,5.62,0.99,2.44,3.94,3.38,2.25,4.21,2.03,2.50,2.38
2002,2.55,3.28,3.70,4.46,4.56,7.07,3.32,2.00,4.99,3.73,4.76,2.84
2003,2.01,1.89,2.69,2.81,4.22,3.12,4.42,5.51,4.87,6.76,4.68,6.84
2004,1.20,1.24,1.90,3.22,5.06,3.24,5.54,7.46,3.41,1.50,3.59,4.49
2005,3.00,2.41,2.80,5.04,2.86,4.97,4.22,4.09,3.86,10.23,5.52,3.39
2006,4.57,2.18,1.67,3.25,6.71,8.67,5.01,4.75,2.98,7.28,3.02,4.19
2007,3.49,2.60,3.59,5.16,3.03,3.48,5.81,3.15,3.38,5.66,4.73,4.75
2008,2.39,6.10,4.85,3.53,1.45,6.39,7.26,5.79,3.23,5.14,2.85,5.65
2009,2.77,2.28,2.52,2.54,5.40,4.91,7.07,4.54,2.42,5.09,4.03,3.86
2010,2.51,3.11,3.94,3.32,2.34,5.73,3.98,4.52,3.40,9.16,3.17,4.03
2011,2.29,3.56,4.70,6.22,6.77,4.96,3.43,10.08,6.11,4.48,2.06,3.56
2012,2.95,1.22,1.77,3.30,5.56,3.87,3.54,3.29,5.51,5.18,1.13,5.03
2013,1.87,1.92,2.38,2.62,5.98,7.96,6.33,3.41,4.41,2.37,3.88,3.43
