,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,1950,6.43,3.57,3.91,2.15,5.04,6.15,5.69,3.28,5.94,2.39,5.14,2.69,West_Virginia
1,1951,3.78,3.71,5.12,4.21,4.22,6.58,3.11,2.72,3.22,1.25,4.45,4.89,West_Virginia
2,1952,5.69,1.79,4.38,4.41,5.18,3.78,3.09,4.99,2.51,1.08,2.81,2.88,West_Virginia
3,1953,4.77,2.91,4.22,3.32,4.62,4.44,3.27,2.59,2.15,0.91,1.27,2.85,West_Virginia
4,1954,3.47,1.49,4.51,3.1,3.53,3.83,6.11,6.99,2.71,6.25,2.0,3.68,West_Virginia
5,1955,1.98,5.01,6.94,3.04,3.33,3.81,3.54,4.91,1.75,2.79,2.17,1.24,West_Virginia
6,1956,2.57,6.19,5.7,3.91,4.82,4.63,6.23,4.69,4.22,2.23,1.79,4.57,West_Virginia
7,1957,4.81,4.44,2.48,3.88,2.78,4.54,2.92,1.47,4.57,3.42,2.48,4.54,West_Virginia
8,1958,3.21,2.99,3.44,4.8,5.35,4.31,8.12,5.63,2.77,1.56,2.55,1.37,West_Virginia
9,1959,3.33,2.38,2.7,4.27,3.7,2.77,4.63,3.38,1.24,5.07,4.04,2.83,West_Virginia
10,1960,3.17,3.88,2.61,2.27,4.74,3.41,4.23,4.46,3.69,2.34,2.05,2.2,West_Virginia
11,1961,2.6,4.0,4.74,4.63,3.8,5.62,5.91,3.97,2.2,4.24,2.93,4.47,West_Virginia
12,1962,3.13,4.73,4.08,3.74,3.18,3.6,5.34,1.87,3.85,3.21,4.56,3.51,West_Virginia
13,1963,1.9,2.42,7.67,1.74,2.93,4.23,3.59,3.92,2.24,0.24,4.44,1.79,West_Virginia
14,1964,3.16,3.7,3.96,4.47,1.52,3.65,3.9,3.64,4.34,1.55,2.83,3.83,West_Virginia
15,1965,4.27,2.51,4.58,5.02,2.01,2.48,3.74,3.13,3.53,2.82,1.3,0.61,West_Virginia
16,1966,3.85,3.31,1.82,4.9,2.62,1.31,3.65,3.75,5.37,2.43,3.38,2.9,West_Virginia
17,1967,1.3,2.76,6.83,3.29,7.08,2.12,4.88,3.75,2.62,2.85,3.11,4.66,West_Virginia
18,1968,2.58,0.65,4.2,3.01,6.68,2.93,3.21,4.47,2.64,3.4,3.24,2.57,West_Virginia
19,1969,2.24,1.63,2.04,3.1,2.49,3.72,5.94,5.32,3.23,1.59,2.43,5.64,West_Virginia
20,1970,1.54,2.74,3.57,4.62,2.17,4.07,5.13,4.05,3.71,3.86,3.16,3.94,West_Virginia
21,1971,3.85,3.66,2.46,1.68,5.8,3.39,5.59,3.48,6.34,2.56,2.75,1.89,West_Virginia
22,1972,4.67,5.27,2.75,5.73,4.17,6.39,4.67,4.25,3.24,3.53,5.26,5.99,West_Virginia
23,1973,2.09,2.81,3.37,6.11,4.65,3.8,4.57,3.78,3.45,4.19,4.41,4.28,West_Virginia
24,1974,5.2,2.02,4.25,3.04,5.71,6.88,3.43,4.49,3.47,2.02,2.59,3.94,West_Virginia
25,1975,4.15,3.51,6.2,4.27,5.58,4.28,3.6,5.07,5.62,3.26,2.3,3.2,West_Virginia
26,1976,3.91,2.3,3.11,1.43,3.09,4.3,5.17,2.92,4.77,7.36,1.2,2.42,West_Virginia
27,1977,1.89,1.16,3.37,4.22,1.94,4.79,4.43,5.57,2.91,4.5,3.98,2.78,West_Virginia
28,1978,5.87,0.96,3.04,3.17,4.59,3.95,6.63,5.11,1.79,2.44,2.75,7.1,West_Virginia
29,1979,6.25,4.06,2.69,3.78,5.03,4.6,5.46,5.43,5.2,4.23,3.67,2.33,West_Virginia
30,1980,2.83,1.66,4.85,5.04,3.61,3.35,7.07,5.97,2.47,2.27,3.23,1.62,West_Virginia
31,1981,0.97,3.78,2.56,4.0,5.61,6.53,4.39,1.91,4.1,3.54,1.43,2.84,West_Virginia
32,1982,3.56,3.74,4.99,2.14,3.98,5.58,5.0,3.64,2.82,2.11,4.09,2.83,West_Virginia
33,1983,1.39,2.4,3.65,5.26,5.98,3.34,4.05,2.79,1.52,5.79,4.04,4.22,West_Virginia
34,1984,1.7,3.51,4.26,4.87,4.38,2.21,5.39,5.38,1.82,4.14,4.22,3.54,West_Virginia
35,1985,2.78,2.57,3.56,1.78,6.28,3.24,4.93,3.73,0.71,4.14,9.53,2.02,West_Virginia
36,1986,1.94,4.36,2.4,2.51,3.4,3.4,5.52,3.74,3.52,2.83,5.83,3.64,West_Virginia
37,1987,3.3,2.39,2.19,5.71,3.03,3.71,2.63,3.36,4.6,1.46,2.86,3.62,West_Virginia
38,1988,2.29,2.4,2.47,2.99,3.78,1.28,4.02,3.34,4.39,2.09,3.98,2.31,West_Virginia
39,1989,3.35,4.49,4.88,4.18,6.01,6.5,4.97,5.66,4.69,4.38,3.21,1.84,West_Virginia
40,1990,3.57,3.68,2.32,3.25,6.0,3.74,5.45,4.29,3.4,5.08,1.9,6.82,West_Virginia
41,1991,3.68,2.87,6.13,3.14,2.17,2.63,4.1,2.98,3.21,1.43,3.4,6.03,West_Virginia
42,1992,2.12,2.88,4.45,2.89,4.14,3.4,6.46,4.17,2.49,1.12,3.12,3.95,West_Virginia
43,1993,2.2,2.73,6.48,3.81,2.44,3.74,2.85,3.14,5.67,3.19,4.03,4.03,West_Virginia
44,1994,5.54,5.43,7.29,3.8,4.34,3.57,5.64,5.62,2.12,1.08,2.44,2.58,West_Virginia
45,1995,5.14,2.55,2.23,2.37,6.25,5.79,2.88,3.56,2.75,4.06,3.81,2.67,West_Virginia
46,1996,6.01,3.42,4.43,3.39,8.92,4.08,7.11,4.65,6.77,2.76,3.96,3.67,West_Virginia
47,1997,2.27,1.9,7.13,2.08,4.2,4.29,4.36,4.15,2.98,1.28,3.79,2.8,West_Virginia
