,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,1950,2.41,0.91,2.23,3.18,2.96,4.03,5.58,2.73,1.96,1.4,1.26,1.98,Wisconsin
1,1951,0.83,1.71,3.31,3.96,3.22,4.88,5.04,4.5,3.84,3.92,1.9,1.21,Wisconsin
2,1952,1.74,0.62,2.28,1.62,3.07,4.78,5.89,4.68,0.83,0.17,1.91,1.17,Wisconsin
3,1953,0.9,2.13,1.88,3.52,3.04,4.86,4.29,3.92,1.35,0.36,1.49,1.84,Wisconsin
4,1954,0.7,0.78,1.58,5.18,3.81,6.13,3.99,2.97,5.3,4.05,0.91,0.8,Wisconsin
5,1955,0.58,1.02,1.42,2.91,3.41,3.55,4.91,3.07,1.65,3.16,1.12,1.03,Wisconsin
6,1956,0.48,0.48,1.99,2.09,3.71,4.07,4.12,4.55,1.54,1.02,2.38,0.72,Wisconsin
7,1957,0.37,0.66,0.92,2.2,4.24,4.11,3.89,3.98,2.47,1.45,2.91,1.03,Wisconsin
8,1958,0.52,0.11,0.52,2.55,2.1,3.32,4.24,3.46,3.25,2.17,1.86,0.35,Wisconsin
9,1959,0.74,1.21,1.89,2.04,4.45,2.92,3.8,6.88,5.25,4.1,1.46,2.27,Wisconsin
10,1960,1.34,0.72,0.65,3.63,5.83,3.96,3.24,5.76,3.94,2.39,1.99,0.46,Wisconsin
11,1961,0.18,1.23,2.91,2.13,2.76,3.03,3.98,2.48,5.6,3.39,2.74,1.27,Wisconsin
12,1962,0.85,1.77,1.35,1.94,4.48,3.16,3.61,4.94,3.33,2.1,0.5,0.73,Wisconsin
13,1963,0.53,0.54,1.94,2.07,2.94,3.09,3.08,2.89,3.51,1.09,1.54,0.76,Wisconsin
14,1964,0.72,0.22,1.46,3.4,4.38,2.1,3.56,3.78,5.02,0.5,2.09,1.1,Wisconsin
15,1965,0.9,1.2,2.4,3.62,4.39,2.78,4.0,4.3,7.67,1.62,2.81,2.48,Wisconsin
16,1966,1.06,1.23,3.12,1.76,1.67,3.06,3.68,4.4,1.81,2.32,1.17,1.69,Wisconsin
17,1967,2.62,1.07,1.35,3.3,2.33,7.23,2.14,3.63,2.11,3.64,0.93,0.92,Wisconsin
18,1968,0.88,0.36,1.17,4.17,4.56,7.84,4.45,2.39,5.73,2.62,1.11,2.98,Wisconsin
19,1969,2.7,0.11,1.0,2.22,2.95,6.06,3.72,1.28,2.32,3.59,0.95,1.57,Wisconsin
20,1970,0.67,0.26,1.32,1.82,5.99,2.63,4.03,1.5,6.02,4.12,2.61,1.43,Wisconsin
21,1971,1.79,2.56,1.32,1.45,3.21,3.58,3.82,3.12,3.53,2.99,2.74,2.44,Wisconsin
22,1972,0.92,0.74,1.98,2.25,2.4,3.11,5.53,6.44,5.88,2.69,1.61,2.42,Wisconsin
23,1973,1.18,0.94,3.24,4.19,6.68,3.07,2.59,3.97,3.65,2.66,1.55,1.76,Wisconsin
24,1974,1.01,1.05,1.68,3.12,3.86,4.35,2.69,4.33,1.88,1.84,1.94,1.23,Wisconsin
25,1975,1.65,1.2,2.21,3.69,2.7,4.77,1.93,5.72,2.49,0.94,4.04,1.14,Wisconsin
26,1976,1.34,1.38,3.77,3.11,2.11,2.15,2.8,1.76,0.95,0.99,0.23,0.47,Wisconsin
27,1977,0.57,0.94,4.02,3.2,2.65,4.04,4.78,4.69,4.51,2.52,2.56,1.76,Wisconsin
28,1978,0.89,0.32,0.38,3.58,4.04,4.47,6.77,4.71,5.09,1.44,2.27,1.34,Wisconsin
29,1979,1.54,1.28,3.52,1.91,3.71,4.35,3.42,5.14,0.99,3.64,2.01,0.83,Wisconsin
30,1980,1.69,0.41,0.75,2.0,2.49,5.0,3.46,7.81,6.2,1.88,0.77,0.97,Wisconsin
31,1981,0.13,2.45,0.7,4.26,1.93,5.09,3.39,4.95,2.89,3.29,0.89,1.05,Wisconsin
32,1982,1.8,0.26,1.95,3.17,4.2,2.71,5.37,3.47,3.54,3.64,3.67,2.81,Wisconsin
33,1983,1.03,1.2,1.93,2.27,4.39,2.31,3.95,4.96,4.52,3.06,3.72,1.45,Wisconsin
34,1984,0.51,1.39,1.32,3.63,2.79,5.34,3.38,3.27,4.25,4.68,2.2,2.22,Wisconsin
35,1985,0.71,1.27,2.77,2.42,3.21,2.98,3.3,4.83,6.25,3.25,4.26,1.61,Wisconsin
36,1986,0.67,1.3,1.85,2.86,2.14,4.41,5.49,3.78,8.38,2.69,1.14,0.5,Wisconsin
37,1987,0.67,0.15,1.38,1.93,3.32,2.34,5.34,3.79,2.82,1.9,2.88,2.06,Wisconsin
38,1988,1.31,0.32,1.57,1.95,1.32,1.54,2.61,4.24,4.43,1.67,3.42,1.21,Wisconsin
39,1989,0.71,0.47,1.92,1.43,4.1,2.63,3.17,3.99,1.88,2.41,1.3,0.47,Wisconsin
40,1990,0.94,0.74,2.9,2.71,4.23,6.63,3.14,5.41,3.67,2.81,1.26,1.57,Wisconsin
41,1991,0.65,0.64,2.88,3.88,4.85,3.66,4.85,2.39,4.75,3.36,5.28,1.28,Wisconsin
42,1992,0.79,0.82,1.9,3.04,2.05,2.15,4.27,2.87,5.84,1.65,3.79,1.84,Wisconsin
43,1993,1.42,0.48,1.15,4.32,4.87,7.12,4.95,4.01,3.36,1.61,1.78,0.58,Wisconsin
44,1994,1.27,1.11,0.76,3.62,1.79,3.67,4.99,3.98,5.23,1.73,2.21,0.53,Wisconsin
45,1995,0.74,0.34,2.17,2.94,3.64,2.25,3.54,7.24,2.11,4.95,1.97,0.99,Wisconsin
46,1996,2.64,0.7,1.5,2.42,2.56,6.4,4.27,2.38,2.43,3.61,2.28,1.81,Wisconsin
47,1997,1.98,0.88,1.87,0.97,3.01,4.11,4.99,4.18,2.9,2.18,0.73,0.63,Wisconsin
48,1998,1.79,1.59,3.65,2.34,3.42,6.22,1.71,4.21,2.3,2.74,1.77,0.69,Wisconsin
49,1999,2.13,1.18,0.53,4.13,4.88,4.18,7.58,3.28,2.12,1.28,1.25,0.71,Wisconsin
50,2000,1.17,1.27,1.36,2.42,4.26,6.69,4.33,3.8,3.78,0.89,2.71,1.51,Wisconsin
51,2001,1.17,1.65,0.68,4.86,4.91,4.73,2.61,4.48,4.04,2.43,2.26,1.23,Wisconsin
52,2002,0.5,1.78,2.27,4.21,3.0,5.64,3.63,4.58,4.57,3.93,0.39,0.58,Wisconsin
53,2003,0.36,0.64,1.85,2.76,4.82,3.35,3.28,1.96,3.15,1.37,3.17,1.31,Wisconsin
54,2004,0.81,1.66,3.08,2.17,7.54,4.57,3.1,3.05,2.17,3.61,1.65,1.5,Wisconsin
55,2005,1.66,1.24,1.22,1.6,2.61,3.81,3.08,2.7,3.77,2.92,2.92,1.02,Wisconsin
56,2006,1.4,0.75,2.09,2.62,4.16,2.22,3.5,4.34,3.19,2.32,1.71,1.78,Wisconsin
57,2007,0.93,1.11,2.29,2.48,2.62,2.99,3.06,6.94,3.3,4.85,0.31,2.61,Wisconsin
58,2008,1.32,1.61,1.1,5.19,3.11,6.19,3.97,1.67,2.67,2.12,1.28,2.49,Wisconsin
59,2009,0.63,1.1,2.17,3.08,2.88,3.29,2.17,4.79,1.15,5.36,0.85,2.29,Wisconsin
