date,January,February,March,April,May,June,July,August,September,October,November,December
1950,5.39,2.71,2.85,1.34,0.63,0.34,0.24,0.07,0.51,3.41,4.24,4.21
1951,4.09,2.54,1.17,1.60,1.02,0.07,0.15,0.35,0.15,1.85,3.37,7.23
1952,7.44,2.58,4.78,1.50,0.46,0.68,0.40,0.05,0.45,0.12,2.29,7.22
1953,4.52,0.55,2.32,2.23,1.63,0.61,0.10,0.31,0.04,0.79,2.94,1.15
1954,5.93,3.02,4.13,1.67,0.13,0.68,0.24,0.27,0.22,0.29,2.75,3.67
1955,3.61,1.50,0.70,2.42,0.67,0.10,0.26,0.35,0.35,0.38,2.69,10.68
1956,6.96,3.17,0.41,1.83,1.42,0.20,0.30,0.03,0.25,2.30,0.11,0.87
1957,3.92,3.64,3.00,1.71,2.52,0.14,0.10,0.12,0.90,2.76,1.73,4.01
1958,4.34,8.22,5.74,3.96,0.85,0.87,0.32,0.38,0.57,0.39,0.96,1.16
1959,4.66,5.05,0.86,0.55,0.45,0.05,0.08,0.22,1.23,0.21,0.14,1.71
1960,3.68,5.14,2.84,1.42,1.05,0.02,0.14,0.02,0.26,0.55,4.52,2.13
1961,2.09,2.17,3.04,0.97,0.98,0.24,0.08,0.59,0.27,0.63,2.99,2.48
1962,2.03,7.92,2.75,0.47,0.74,0.11,0.11,0.25,0.30,3.94,1.29,2.19
1963,2.89,3.89,3.51,4.39,1.11,0.46,0.02,0.30,0.89,1.99,4.59,0.70
1964,3.58,0.31,2.00,0.74,1.03,0.63,0.17,0.14,0.14,1.07,3.99,8.47
1965,3.83,0.78,1.46,3.94,0.19,0.32,0.28,0.65,0.16,0.17,6.17,4.03
1966,3.05,1.89,1.28,0.71,0.27,0.12,0.17,0.15,0.32,0.21,4.81,5.74
1967,6.12,0.40,4.23,4.44,0.59,0.66,0.20,0.33,0.59,0.74,2.63,2.82
1968,3.71,2.72,2.41,0.52,0.63,0.21,0.36,0.53,0.07,1.41,2.67,5.13
1969,10.80,7.33,1.39,1.74,0.34,0.60,0.24,0.05,0.26,1.33,1.34,5.18
1970,8.16,2.16,2.44,0.68,0.22,0.59,0.13,0.19,0.04,0.97,6.56,5.67
1971,2.39,0.72,3.26,1.18,1.53,0.41,0.15,0.32,0.56,0.51,2.20,5.01
1972,1.84,1.98,1.16,1.41,0.46,0.40,0.03,0.19,0.75,1.79,4.23,2.97
1973,6.05,5.35,3.34,0.41,0.41,0.06,0.06,0.17,0.53,1.91,6.58,4.06
1974,5.67,1.66,5.40,1.77,0.17,0.13,0.40,0.19,0.01,1.55,1.03,3.37
1975,1.58,5.41,5.76,2.08,0.24,0.20,0.17,0.33,0.34,2.61,1.19,1.03
1976,0.45,3.89,1.40,1.49,0.25,0.15,0.34,0.55,1.31,0.51,0.86,0.55
1977,1.98,1.16,1.64,0.23,1.88,0.35,0.08,0.75,0.87,0.50,2.18,5.91
1978,7.97,5.77,5.75,3.48,0.38,0.17,0.12,0.22,1.31,0.20,1.96,1.53
1979,5.05,4.86,3.44,1.12,0.84,0.05,0.38,0.45,0.24,2.51,2.55,3.14
1980,6.63,7.51,2.81,1.68,0.88,0.33,0.20,0.04,0.22,0.57,0.63,2.62
1981,4.39,2.08,4.04,0.97,0.90,0.09,0.04,0.10,0.58,2.44,5.99,4.62
1982,4.24,2.95,5.78,3.64,0.22,0.68,0.23,0.36,1.26,2.66,5.05,4.92
1983,5.93,6.80,9.02,3.12,0.53,0.23,0.10,1.14,0.91,1.18,6.55,6.95
1984,0.33,2.20,1.67,1.21,0.39,0.43,0.59,0.61,0.27,1.61,6.14,2.87
1985,0.81,1.85,2.88,0.24,0.20,0.21,0.28,0.07,1.08,1.15,3.84,2.09
1986,3.80,9.33,4.70,1.00,0.70,0.08,0.22,0.12,1.40,0.64,0.77,1.49
1987,3.07,2.79,3.59,0.40,0.63,0.20,0.25,0.04,0.10,1.33,2.26,5.04
1988,3.84,0.80,0.59,2.42,0.91,0.57,0.09,0.41,0.11,0.10,4.20,3.06
1989,1.59,1.57,5.10,0.83,0.77,0.31,0.04,0.29,1.33,1.95,1.05,0.12
1990,3.72,2.36,1.30,0.83,2.46,0.18,0.28,0.36,0.41,0.47,0.71,0.91
1991,1.00,2.24,9.11,0.75,0.82,0.32,0.26,0.20,0.24,1.28,1.07,2.50
1992,1.94,5.98,3.65,1.03,0.23,0.71,0.24,0.20,0.05,2.13,0.59,6.48
1993,8.86,5.98,3.05,1.45,1.44,0.87,0.03,0.22,0.04,0.82,1.42,2.52
1994,1.91,3.96,1.24,1.36,1.35,0.10,0.05,0.06,0.34,0.63,3.73,2.81
1995,12.50,1.27,9.57,2.69,1.73,0.95,0.17,0.06,0.07,0.05,0.36,5.78
1996,5.12,5.99,2.57,2.10,2.01,0.18,0.20,0.06,0.27,1.70,3.35,8.96
1997,7.62,0.71,0.84,0.89,0.38,0.65,0.31,0.27,0.94,1.08,3.95,2.96
1998,6.97,11.50,4.15,2.17,3.03,0.77,0.20,0.13,0.74,0.76,4.34,1.65
1999,3.54,4.98,2.40,1.87,0.33,0.25,0.31,0.21,0.18,0.71,2.20,0.65
2000,5.09,6.93,1.92,1.80,0.94,0.31,0.06,0.27,0.35,2.20,0.79,0.77
2001,3.52,4.42,2.21,1.75,0.15,0.23,0.28,0.05,0.30,0.65,4.21,5.25
2002,2.22,1.45,1.91,0.88,0.59,0.07,0.06,0.01,0.11,0.06,3.18,8.14
