date,January,February,March,April,May,June,July,August,September,October,November,December
1950,1.86,2.78,4.44,1.94,4.22,2.83,4.43,2.31,5.82,1.67,3.69,2.49
1951,2.04,2.87,3.18,2.73,3.50,5.12,4.47,2.64,2.51,2.95,6.04,5.33
1952,5.27,2.45,5.37,5.89,4.55,2.90,4.22,7.24,2.62,0.98,5.43,3.56
1953,4.30,3.01,5.27,4.24,5.76,2.96,3.36,5.92,1.92,3.52,2.57,3.04
1954,2.57,1.44,3.79,3.92,2.98,1.06,2.90,4.85,4.15,2.26,3.97,3.26
1955,0.56,2.92,3.98,2.80,1.75,6.13,1.98,10.34,2.87,3.79,2.03,0.70
1956,2.54,3.41,4.12,2.37,2.59,4.03,6.71,2.93,3.42,5.79,4.97,3.64
1957,2.24,3.55,3.38,2.39,1.55,3.56,1.18,2.60,4.62,2.83,4.34,5.65
1958,3.50,4.27,6.56,4.66,4.49,4.39,6.55,9.25,2.26,3.28,2.76,2.34
1959,1.70,1.81,3.42,3.40,1.44,2.63,9.80,4.62,1.65,4.41,4.86,3.31
1960,2.43,4.06,1.97,2.59,4.26,2.11,6.80,3.62,8.27,3.38,1.74,2.89
1961,3.04,5.06,4.65,3.81,4.43,4.19,3.83,3.29,2.54,4.68,1.98,3.74
1962,3.78,3.82,3.82,3.84,1.63,3.99,2.43,2.21,3.24,1.24,5.49,3.12
1963,2.19,1.95,5.97,1.09,2.56,4.12,1.66,3.02,4.82,0.12,6.25,2.18
1964,4.42,4.52,2.94,5.19,0.39,1.36,3.39,1.46,4.43,2.40,1.85,3.37
1965,3.09,1.83,3.63,2.26,1.21,2.46,4.48,5.18,2.69,1.28,0.83,0.92
1966,3.32,3.65,1.52,3.95,4.15,3.05,1.90,1.19,6.11,4.90,1.35,3.95
1967,1.57,3.07,3.02,2.14,4.38,3.48,4.61,12.58,2.95,2.11,2.00,5.62
1968,2.23,1.15,4.76,1.72,4.25,3.60,2.03,1.68,1.76,2.66,3.83,2.57
1969,2.33,2.62,3.15,3.27,2.22,3.09,7.72,6.16,3.46,1.33,2.25,7.55
1970,1.69,2.42,4.00,4.83,2.45,5.62,4.49,2.67,1.02,3.31,3.63,3.42
1971,2.68,5.69,2.42,2.64,5.41,1.80,3.66,8.14,4.77,6.41,3.93,2.24
1972,3.11,5.49,2.45,4.13,4.54,8.40,2.99,2.31,3.45,5.03,6.49,5.51
1973,3.14,3.15,3.03,4.68,4.09,3.74,2.94,5.85,3.38,2.92,1.48,6.08
1974,3.22,1.84,4.48,2.14,4.43,4.26,1.13,5.23,4.24,1.80,1.04,4.92
1975,4.98,3.05,5.57,3.74,4.31,4.65,8.17,2.97,6.80,3.52,3.52,2.57
1976,5.29,1.69,2.02,1.30,3.02,1.79,4.06,4.22,3.47,7.87,1.00,2.70
1977,2.41,1.61,2.59,2.69,1.68,3.42,2.17,3.75,4.04,3.79,5.41,6.94
1978,7.01,1.09,5.93,2.51,6.14,2.48,5.04,5.81,1.10,1.54,3.25,4.49
1979,7.52,6.31,3.62,3.38,4.11,4.73,4.04,6.39,5.86,4.00,4.07,1.61
1980,3.13,1.07,6.19,4.97,2.39,3.73,2.86,2.56,2.84,5.77,2.62,0.79
1981,0.52,3.56,1.77,4.29,4.91,3.94,2.42,3.48,4.11,2.89,0.83,3.96
1982,3.80,3.20,2.97,4.62,2.38,4.68,3.80,2.64,2.37,2.27,4.60,2.68
1983,2.10,3.44,6.69,7.22,5.67,4.56,1.60,4.07,3.78,3.63,5.18,5.88
1984,2.40,3.94,6.88,4.44,7.35,2.95,5.46,1.89,1.92,2.66,2.47,1.66
