,Unnamed: 0,Unnamed: 0.1,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,0,0,1950,0.38,1.06,3.86,2.98,3.3,3.91,8.24,6.56,7.35,6.61,0.82,2.76,Florida
1,1,1,1951,0.9,1.83,3.34,4.31,2.46,4.81,8.14,5.91,7.19,4.58,4.27,2.59,Florida
2,2,2,1952,1.15,5.83,3.82,2.31,3.97,3.49,5.65,8.07,6.37,6.26,1.18,1.43,Florida
3,3,3,1953,3.25,3.27,2.99,6.54,1.4,7.95,7.36,9.68,10.39,5.04,3.48,5.98,Florida
4,4,4,1954,0.96,2.0,2.49,3.66,4.38,5.71,7.63,4.67,6.33,2.85,2.45,1.88,Florida
5,5,5,1955,2.74,2.04,1.55,2.57,3.08,6.46,7.13,5.38,6.01,2.92,1.21,1.31,Florida
6,6,6,1956,2.36,2.56,1.36,2.69,3.73,5.2,6.04,5.61,6.26,6.66,0.55,0.92,Florida
7,7,7,1957,1.11,3.01,4.63,4.79,6.4,7.46,7.77,7.49,10.19,3.2,2.77,2.62,Florida
8,8,8,1958,5.37,3.19,6.29,4.53,5.31,6.11,6.72,5.75,3.86,4.36,2.15,3.59,Florida
9,9,9,1959,3.67,3.57,8.62,3.89,6.65,8.52,7.94,7.39,7.92,8.62,2.29,1.72,Florida
10,10,10,1960,1.88,5.06,6.34,4.46,2.81,6.84,10.57,6.53,11.93,4.03,1.02,1.69,Florida
11,11,11,1961,3.39,3.33,2.64,2.96,3.89,5.8,5.5,8.66,2.77,1.47,1.93,2.05,Florida
12,12,12,1962,1.89,1.49,3.91,2.94,2.07,8.21,6.59,7.1,8.03,1.93,3.01,1.47,Florida
13,13,13,1963,3.29,5.3,1.69,0.91,4.8,6.84,6.28,5.36,7.7,1.11,4.16,3.59,Florida
14,14,14,1964,5.79,5.4,3.24,4.47,3.13,5.62,8.8,8.31,7.85,4.44,2.08,4.32,Florida
15,15,15,1965,1.82,4.67,4.02,2.54,0.88,9.62,8.44,6.9,6.66,4.77,1.61,2.76,Florida
16,16,16,1966,5.21,5.81,1.92,2.38,5.88,8.8,6.89,7.46,7.07,3.25,0.98,1.95,Florida
17,17,17,1967,2.89,4.28,1.18,0.38,2.21,8.71,7.47,8.33,4.4,3.07,0.94,3.83,Florida
18,18,18,1968,1.16,2.47,1.6,0.98,6.01,9.85,7.79,7.28,5.17,5.09,2.84,2.02,Florida
19,19,19,1969,1.97,3.11,5.86,1.68,5.09,6.01,8.2,8.3,7.73,5.85,2.22,4.39,Florida
20,20,20,1970,4.05,4.32,7.81,1.54,4.49,6.0,5.96,8.29,4.35,4.02,0.77,1.51,Florida
21,21,21,1971,1.72,4.16,2.2,1.76,3.28,5.65,7.25,7.65,5.09,4.82,1.96,3.08,Florida
22,22,22,1972,3.02,4.19,4.59,2.19,5.05,8.31,4.57,7.09,2.29,2.6,5.05,3.13,Florida
23,23,23,1973,4.7,3.26,5.38,4.63,4.04,5.86,7.28,7.28,6.62,1.79,1.59,3.99,Florida
