Alabama, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,1.78,-1.05
195110,1.72,-1.11
195210,1.21,-1.62
195310,0.56,-2.27
195410,1.53,-1.30
195510,2.45,-0.38
195610,3.70,0.87
195710,2.37,-0.46
195810,1.41,-1.42
195910,6.86,4.03
196010,3.38,0.55
196110,0.96,-1.87
196210,2.60,-0.23
196310,0.03,-2.80
196410,4.85,2.02
196510,2.86,0.03
196610,4.08,1.25
196710,4.01,1.18
196810,1.37,-1.46
196910,2.58,-0.25
197010,6.33,3.50
197110,1.09,-1.74
197210,2.95,0.12
197310,1.89,-0.94
197410,1.27,-1.56
197510,6.55,3.72
197610,3.66,0.83
197710,4.51,1.68
197810,0.46,-2.37
197910,1.56,-1.27
198010,3.77,0.94
198110,3.11,0.28
198210,2.68,-0.15
198310,2.44,-0.39
198410,5.22,2.39
198510,6.00,3.17
198610,4.30,1.47
198710,0.59,-2.24
198810,3.19,0.36
198910,3.03,0.20
199010,2.66,-0.17
199110,0.91,-1.92
199210,2.59,-0.24
199310,3.71,0.88
199410,4.97,2.14
199510,9.30,6.47
199610,2.38,-0.45
199710,5.10,2.27
199810,1.37,-1.46
199910,3.39,0.56
200010,0.80,-2.03
200110,3.27,0.44
200210,5.58,2.75
200310,1.61,-1.22
200410,3.87,1.04
200510,0.61,-2.22
200610,5.13,2.30
200710,3.92,1.09
200810,3.02,0.19
200910,7.18,4.35
201010,2.59,-0.24
201110,0.79,-2.04
201210,2.91,0.08
201310,1.47,-1.36
201410,4.38,1.55
201510,2.93,0.10
201610,0.13,-2.70
201710,6.03,3.20
201810,2.69,-0.14
201910,7.12,4.29
202010,5.11,2.28
202110,4.60,1.77
