Alabama, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,4.01,-1.14
195112,7.53,2.38
195212,5.93,0.78
195312,10.38,5.23
195412,4.71,-0.44
195512,2.04,-3.11
195612,6.19,1.04
195712,3.52,-1.63
195812,2.07,-3.08
195912,3.37,-1.78
196012,2.60,-2.55
196112,12.21,7.06
196212,2.97,-2.18
196312,4.84,-0.31
196412,5.24,0.09
196512,3.17,-1.98
196612,4.75,-0.40
196712,8.31,3.16
196812,6.80,1.65
196912,6.44,1.29
197012,4.72,-0.43
197112,7.72,2.57
197212,8.23,3.08
197312,6.70,1.55
197412,5.90,0.75
197512,4.73,-0.42
197612,4.66,-0.49
197712,3.22,-1.93
197812,5.30,0.15
197912,2.56,-2.59
198012,1.15,-4.00
198112,6.28,1.13
198212,8.29,3.14
198312,9.22,4.07
198412,2.77,-2.38
198512,3.56,-1.59
198612,3.73,-1.42
198712,3.98,-1.17
198812,2.97,-2.18
198912,5.89,0.74
199012,6.46,1.31
199112,5.34,0.19
199212,5.73,0.58
199312,4.29,-0.86
199412,3.67,-1.48
199512,5.07,-0.08
199612,4.94,-0.21
199712,4.82,-0.33
199812,4.27,-0.88
199912,3.32,-1.83
200012,4.29,-0.86
200112,4.14,-1.01
200212,6.54,1.39
200312,3.47,-1.68
200412,4.84,-0.31
200512,3.95,-1.20
200612,4.06,-1.09
200712,4.25,-0.90
200812,6.78,1.63
200912,10.63,5.48
201012,2.20,-2.95
201112,5.04,-0.11
201212,6.61,1.46
201312,7.93,2.78
201412,6.36,1.21
201512,11.87,6.72
201612,5.05,-0.10
201712,3.89,-1.26
201812,9.95,4.80
201912,6.60,1.45
202012,3.84,-1.31
202112,4.69,-0.46
