Alabama, Precipitation, March
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,6.72,0.56
195103,9.26,3.10
195203,6.59,0.43
195303,3.70,-2.46
195403,3.70,-2.46
195503,3.25,-2.91
195603,6.87,0.71
195703,4.24,-1.92
195803,5.69,-0.47
195903,5.99,-0.17
196003,6.91,0.75
196103,9.17,3.01
196203,5.47,-0.69
196303,5.13,-1.03
196403,8.17,2.01
196503,6.81,0.65
196603,4.01,-2.15
196703,1.92,-4.24
196803,3.65,-2.51
196903,5.12,-1.04
197003,7.73,1.57
197103,8.79,2.63
197203,5.93,-0.23
197303,11.78,5.62
197403,3.92,-2.24
197503,8.63,2.47
197603,10.45,4.29
197703,9.86,3.70
197803,3.99,-2.17
197903,6.64,0.48
198003,13.81,7.65
198103,5.71,-0.45
198203,2.95,-3.21
198303,7.73,1.57
198403,4.96,-1.20
198503,2.49,-3.67
198603,4.48,-1.68
198703,4.97,-1.19
198803,4.06,-2.10
198903,6.51,0.35
199003,8.96,2.80
199103,7.05,0.89
199203,4.03,-2.13
199303,6.59,0.43
199403,7.25,1.09
199503,5.42,-0.74
199603,8.45,2.29
199703,3.87,-2.29
199803,6.20,0.04
199903,5.65,-0.51
200003,5.05,-1.11
200103,10.11,3.95
200203,5.79,-0.37
200303,4.67,-1.49
200403,2.28,-3.88
200503,5.85,-0.31
200603,2.97,-3.19
200703,1.56,-4.60
200803,4.01,-2.15
200903,8.98,2.82
201003,5.07,-1.09
201103,8.18,2.02
201203,5.35,-0.81
201303,3.83,-2.33
201403,5.57,-0.59
201503,4.28,-1.88
201603,5.42,-0.74
201703,4.17,-1.99
201803,4.14,-2.02
201903,3.40,-2.76
202003,6.18,0.02
202103,8.08,1.92
