Alabama, Precipitation, July
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195007,9.12,3.68
195107,4.15,-1.29
195207,2.23,-3.21
195307,5.94,0.50
195407,3.91,-1.53
195507,7.17,1.73
195607,5.55,0.11
195707,3.00,-2.44
195807,8.32,2.88
195907,4.61,-0.83
196007,4.33,-1.11
196107,4.99,-0.45
196207,4.25,-1.19
196307,5.93,0.49
196407,7.29,1.85
196507,5.94,0.50
196607,4.04,-1.40
196707,6.91,1.47
196807,5.26,-0.18
196907,5.46,0.02
197007,4.05,-1.39
197107,7.41,1.97
197207,4.51,-0.93
197307,5.45,0.01
197407,4.39,-1.05
197507,8.22,2.78
197607,4.52,-0.92
197707,5.09,-0.35
197807,4.30,-1.14
197907,7.56,2.12
198007,2.96,-2.48
198107,3.85,-1.59
198207,6.08,0.64
198307,1.98,-3.46
198407,5.76,0.32
198507,7.17,1.73
198607,3.89,-1.55
198707,3.29,-2.15
198807,6.66,1.22
198907,7.76,2.32
199007,3.75,-1.69
199107,4.46,-0.98
199207,6.07,0.63
199307,2.88,-2.56
199407,9.43,3.99
199507,3.87,-1.57
199607,6.63,1.19
199707,5.33,-0.11
199807,6.07,0.63
199907,4.63,-0.81
200007,2.26,-3.18
200107,3.95,-1.49
200207,5.38,-0.06
200307,7.74,2.30
200407,4.43,-1.01
200507,9.19,3.75
200607,3.33,-2.11
200707,5.20,-0.24
200807,4.04,-1.40
200907,5.59,0.15
201007,3.50,-1.94
201107,5.52,0.08
201207,5.75,0.31
201307,8.70,3.26
201407,3.36,-2.08
201507,4.71,-0.73
201607,4.27,-1.17
201707,5.06,-0.38
201807,4.46,-0.98
201907,4.02,-1.42
202007,5.30,-0.14
202107,7.53,2.09
