Idaho, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,3.07,0.17
195112,4.53,1.63
195212,2.70,-0.20
195312,2.54,-0.36
195412,1.91,-0.99
195512,6.21,3.31
195612,2.59,-0.31
195712,3.47,0.57
195812,2.95,0.05
195912,1.49,-1.41
196012,1.22,-1.68
196112,2.86,-0.04
196212,1.66,-1.24
196312,1.97,-0.93
196412,8.52,5.62
196512,1.56,-1.34
196612,3.16,0.26
196712,2.62,-0.28
196812,3.55,0.65
196912,2.94,0.04
197012,3.62,0.72
197112,4.13,1.23
197212,3.45,0.55
197312,4.05,1.15
197412,3.07,0.17
197512,3.25,0.35
197612,0.69,-2.21
197712,5.55,2.65
197812,2.58,-0.32
197912,2.08,-0.82
198012,3.72,0.82
198112,4.47,1.57
198212,3.80,0.90
198312,4.34,1.44
198412,2.64,-0.26
198512,1.33,-1.57
198612,0.62,-2.28
198712,2.82,-0.08
198812,1.89,-1.01
198912,1.00,-1.90
199012,2.02,-0.88
199112,1.73,-1.17
199212,3.34,0.44
199312,1.83,-1.07
199412,2.67,-0.23
199512,3.93,1.03
199612,7.74,4.84
199712,1.49,-1.41
199812,3.31,0.41
199912,2.69,-0.21
200012,1.68,-1.22
200112,3.50,0.60
200212,3.08,0.18
200312,3.62,0.72
200412,2.54,-0.36
200512,4.38,1.48
200612,2.72,-0.18
200712,3.62,0.72
200812,3.74,0.84
200912,1.84,-1.06
201012,4.22,1.32
201112,1.53,-1.37
201212,4.12,1.22
201312,1.76,-1.14
201412,3.30,0.40
201512,4.56,1.66
201612,3.66,0.76
201712,2.24,-0.66
201812,2.24,-0.66
201912,2.26,-0.64
202012,1.91,-0.99
202112,3.87,0.97
