Idaho, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,1.30,-0.64
195104,1.49,-0.45
195204,0.93,-1.01
195304,2.28,0.34
195404,1.93,-0.01
195504,2.75,0.81
195604,1.15,-0.79
195704,2.08,0.14
195804,3.24,1.30
195904,1.30,-0.64
196004,1.84,-0.10
196104,1.65,-0.29
196204,1.39,-0.55
196304,3.19,1.25
196404,2.26,0.32
196504,3.42,1.48
196604,0.95,-0.99
196704,2.79,0.85
196804,1.28,-0.66
196904,1.50,-0.44
197004,2.10,0.16
197104,2.40,0.46
197204,1.92,-0.02
197304,1.25,-0.69
197404,1.60,-0.34
197504,2.76,0.82
197604,2.42,0.48
197704,0.39,-1.55
197804,3.29,1.35
197904,1.73,-0.21
198004,1.63,-0.31
198104,2.62,0.68
198204,2.80,0.86
198304,1.69,-0.25
198404,2.43,0.49
198504,1.11,-0.83
198604,2.35,0.41
198704,0.92,-1.02
198804,2.43,0.49
198904,1.22,-0.72
199004,2.59,0.65
199104,2.57,0.63
199204,1.96,0.02
199304,3.24,1.30
199404,1.98,0.04
199504,2.39,0.45
199604,3.09,1.15
199704,2.68,0.74
199804,1.79,-0.15
199904,1.58,-0.36
200004,1.50,-0.44
200104,2.33,0.39
200204,1.98,0.04
200304,2.54,0.60
200404,1.37,-0.57
200504,2.22,0.28
200604,3.07,1.13
200704,1.59,-0.35
200804,1.20,-0.74
200904,1.84,-0.10
201004,2.64,0.70
201104,3.18,1.24
201204,2.12,0.18
201304,1.81,-0.13
201404,2.15,0.21
201504,1.23,-0.71
201604,1.65,-0.29
201704,2.95,1.01
201804,2.54,0.60
201904,3.20,1.26
202004,1.44,-0.50
202104,0.86,-1.08
