Illinois, Precipitation, March
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,2.26,-0.83
195103,3.53,0.44
195203,4.22,1.13
195303,4.49,1.40
195403,2.60,-0.49
195503,2.46,-0.63
195603,1.17,-1.92
195703,2.21,-0.88
195803,1.62,-1.47
195903,3.10,0.01
196003,2.26,-0.83
196103,4.29,1.20
196203,2.94,-0.15
196303,5.23,2.14
196403,4.83,1.74
196503,2.58,-0.51
196603,1.60,-1.49
196703,2.54,-0.55
196803,2.07,-1.02
196903,1.85,-1.24
197003,2.47,-0.62
197103,1.50,-1.59
197203,2.85,-0.24
197303,6.30,3.21
197403,3.45,0.36
197503,3.39,0.30
197603,4.57,1.48
197703,5.58,2.49
197803,3.01,-0.08
197903,4.62,1.53
198003,3.36,0.27
198103,1.13,-1.96
198203,3.67,0.58
198303,3.20,0.11
198403,3.98,0.89
198503,5.25,2.16
198603,1.53,-1.56
198703,2.08,-1.01
198803,3.32,0.23
198903,3.06,-0.03
199003,3.35,0.26
199103,3.98,0.89
199203,2.54,-0.55
199303,3.05,-0.04
199403,1.31,-1.78
199503,2.46,-0.63
199603,2.09,-1.00
199703,3.00,-0.09
199803,4.58,1.49
199903,1.72,-1.37
200003,2.03,-1.06
200103,1.22,-1.87
200203,3.36,0.27
200303,1.98,-1.11
200403,4.14,1.05
200503,1.56,-1.53
200603,4.58,1.49
200703,3.21,0.12
200803,4.53,1.44
200903,4.05,0.96
201003,2.74,-0.35
201103,2.72,-0.37
201203,2.08,-1.01
201303,2.61,-0.48
201403,1.46,-1.63
201503,2.35,-0.74
201603,3.35,0.26
201703,3.56,0.47
201803,3.91,0.82
201903,4.06,0.97
202003,3.95,0.86
202103,3.99,0.90
