Illinois, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,2.48,-1.60
195105,3.24,-0.84
195205,3.48,-0.60
195305,3.05,-1.03
195405,2.76,-1.32
195505,4.10,0.02
195605,4.08,0.00
195705,6.12,2.04
195805,2.72,-1.36
195905,4.36,0.28
196005,4.66,0.58
196105,5.17,1.09
196205,4.54,0.46
196305,2.95,-1.13
196405,1.90,-2.18
196505,2.82,-1.26
196605,4.51,0.43
196705,3.98,-0.10
196805,4.92,0.84
196905,2.87,-1.21
197005,5.35,1.27
197105,3.47,-0.61
197205,2.50,-1.58
197305,4.92,0.84
197405,7.01,2.93
197505,4.09,0.01
197605,3.57,-0.51
197705,3.23,-0.85
197805,4.86,0.78
197905,2.34,-1.74
198005,2.92,-1.16
198105,6.20,2.12
198205,4.50,0.42
198305,5.51,1.43
198405,4.92,0.84
198505,3.30,-0.78
198605,4.62,0.54
198705,2.60,-1.48
198805,1.70,-2.38
198905,3.46,-0.62
199005,7.91,3.83
199105,4.99,0.91
199205,1.28,-2.80
199305,3.29,-0.79
199405,2.15,-1.93
199505,8.89,4.81
199605,7.74,3.66
199705,4.03,-0.05
199805,4.78,0.70
199905,3.68,-0.40
200005,4.40,0.32
200105,4.35,0.27
200205,7.34,3.26
200305,5.50,1.42
200405,6.83,2.75
200505,1.74,-2.34
200605,3.58,-0.50
200705,2.24,-1.84
200805,5.36,1.28
200905,5.65,1.57
201005,5.40,1.32
201105,5.28,1.20
201205,2.47,-1.61
201305,6.57,2.49
201405,3.29,-0.79
201505,5.39,1.31
201605,4.34,0.26
201705,5.17,1.09
201805,3.80,-0.28
201905,8.16,4.08
202005,5.28,1.20
202105,4.30,0.22
