Illinois, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,5.51,1.42
195106,5.96,1.87
195206,4.79,0.70
195306,3.30,-0.79
195406,3.74,-0.35
195506,3.82,-0.27
195606,2.57,-1.52
195706,6.38,2.29
195806,6.24,2.15
195906,1.50,-2.59
196006,5.63,1.54
196106,3.34,-0.75
196206,3.35,-0.74
196306,2.10,-1.99
196406,3.74,-0.35
196506,3.84,-0.25
196606,2.49,-1.60
196706,4.10,0.01
196806,4.15,0.06
196906,5.90,1.81
197006,5.77,1.68
197106,2.99,-1.10
197206,3.87,-0.22
197306,6.08,1.99
197406,5.75,1.66
197506,4.01,-0.08
197606,2.91,-1.18
197706,3.69,-0.40
197806,3.08,-1.01
197906,2.81,-1.28
198006,4.48,0.39
198106,5.48,1.39
198206,3.82,-0.27
198306,3.91,-0.18
198406,2.49,-1.60
198506,4.50,0.41
198606,3.98,-0.11
198706,3.33,-0.76
198806,0.99,-3.10
198906,3.06,-1.03
199006,6.44,2.35
199106,1.62,-2.47
199206,1.72,-2.37
199306,6.85,2.76
199406,4.16,0.07
199506,3.53,-0.56
199606,4.24,0.15
199706,3.76,-0.33
199806,7.64,3.55
199906,5.28,1.19
200006,7.34,3.25
200106,3.81,-0.28
200206,4.02,-0.07
200306,3.79,-0.30
200406,3.17,-0.92
200506,1.87,-2.22
200606,2.98,-1.11
200706,4.13,0.04
200806,5.49,1.40
200906,5.12,1.03
201006,7.71,3.62
201106,6.69,2.60
201206,1.73,-2.36
201306,5.33,1.24
201406,6.77,2.68
201506,9.44,5.35
201606,3.13,-0.96
201706,3.19,-0.90
201806,6.29,2.20
201906,5.16,1.07
202006,3.61,-0.48
202106,5.18,1.09
