Indiana, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,5.00,1.19
195104,3.53,-0.28
195204,3.87,0.06
195304,3.28,-0.53
195404,3.64,-0.17
195504,3.70,-0.11
195604,3.90,0.09
195704,6.77,2.96
195804,2.83,-0.98
195904,4.04,0.23
196004,2.29,-1.52
196104,4.92,1.11
196204,1.33,-2.48
196304,3.20,-0.61
196404,6.22,2.41
196504,4.79,0.98
196604,4.65,0.84
196704,4.13,0.32
196804,3.50,-0.31
196904,4.31,0.50
197004,6.09,2.28
197104,1.30,-2.51
197204,6.57,2.76
197304,4.48,0.67
197404,3.47,-0.34
197504,4.23,0.42
197604,1.69,-2.12
197704,3.16,-0.65
197804,3.83,0.02
197904,4.49,0.68
198004,2.71,-1.10
198104,5.69,1.88
198204,2.51,-1.30
198304,5.66,1.85
198404,4.81,1.00
198504,2.13,-1.68
198604,2.39,-1.42
198704,2.71,-1.10
198804,2.99,-0.82
198904,4.29,0.48
199004,2.89,-0.92
199104,3.63,-0.18
199204,3.42,-0.39
199304,4.74,0.93
199404,5.70,1.89
199504,4.51,0.70
199604,6.64,2.83
199704,2.07,-1.74
199804,6.06,2.25
199904,4.90,1.09
200004,3.23,-0.58
200104,2.75,-1.06
200204,5.59,1.78
200304,3.00,-0.81
200404,1.83,-1.98
200504,3.04,-0.77
200604,4.27,0.46
200704,4.15,0.34
200804,3.36,-0.45
200904,5.74,1.93
201004,3.16,-0.65
201104,9.61,5.80
201204,2.22,-1.59
201304,6.38,2.57
201404,5.73,1.92
201504,4.79,0.98
201604,4.17,0.36
201704,4.83,1.02
201804,3.59,-0.22
201904,5.62,1.81
202004,3.05,-0.76
202104,2.94,-0.87
