Indiana, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,3.06,-1.07
195105,3.34,-0.79
195205,4.23,0.10
195305,3.92,-0.21
195405,2.78,-1.35
195505,3.77,-0.36
195605,5.42,1.29
195705,5.72,1.59
195805,3.70,-0.43
195905,4.34,0.21
196005,4.35,0.22
196105,5.35,1.22
196205,4.48,0.35
196305,2.85,-1.28
196405,1.60,-2.53
196505,2.46,-1.67
196605,3.33,-0.80
196705,4.79,0.66
196805,6.98,2.85
196905,3.29,-0.84
197005,3.49,-0.64
197105,4.11,-0.02
197205,3.36,-0.77
197305,3.57,-0.56
197405,6.37,2.24
197505,3.66,-0.47
197605,3.44,-0.69
197705,2.45,-1.68
197805,4.17,0.04
197905,3.19,-0.94
198005,3.25,-0.88
198105,7.32,3.19
198205,4.60,0.47
198305,6.58,2.45
198405,4.93,0.80
198505,3.94,-0.19
198605,4.93,0.80
198705,3.38,-0.75
198805,1.54,-2.59
198905,5.23,1.10
199005,7.49,3.36
199105,4.03,-0.10
199205,2.46,-1.67
199305,3.55,-0.58
199405,2.68,-1.45
199505,7.26,3.13
199605,7.65,3.52
199705,5.71,1.58
199805,4.59,0.46
199905,3.12,-1.01
200005,4.53,0.40
200105,4.32,0.19
200205,7.09,2.96
200305,6.56,2.43
200405,7.17,3.04
200505,2.57,-1.56
200605,5.25,1.12
200705,1.75,-2.38
200805,5.68,1.55
200905,5.67,1.54
201005,5.49,1.36
201105,6.51,2.38
201205,2.75,-1.38
201305,3.71,-0.42
201405,4.23,0.10
201505,3.98,-0.15
201605,3.53,-0.60
201705,6.90,2.77
201805,3.42,-0.71
201905,6.02,1.89
202005,5.07,0.94
202105,3.77,-0.36
