Iowa, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,1.50,0.52
195101,0.61,-0.37
195201,1.31,0.33
195301,0.74,-0.24
195401,0.24,-0.74
195501,0.90,-0.08
195601,0.45,-0.53
195701,0.56,-0.42
195801,0.70,-0.28
195901,0.77,-0.21
196001,2.19,1.21
196101,0.27,-0.71
196201,0.64,-0.34
196301,0.65,-0.33
196401,0.40,-0.58
196501,1.38,0.40
196601,0.96,-0.02
196701,1.17,0.19
196801,0.62,-0.36
196901,1.77,0.79
197001,0.27,-0.71
197101,1.09,0.11
197201,0.47,-0.51
197301,1.73,0.75
197401,1.21,0.23
197501,1.53,0.55
197601,0.23,-0.75
197701,0.50,-0.48
197801,0.59,-0.39
197901,1.66,0.68
198001,1.30,0.32
198101,0.10,-0.88
198201,1.78,0.80
198301,0.70,-0.28
198401,0.51,-0.47
198501,0.64,-0.34
198601,0.22,-0.76
198701,0.32,-0.66
198801,0.76,-0.22
198901,0.92,-0.06
199001,0.88,-0.10
199101,0.77,-0.21
199201,1.00,0.02
199301,1.18,0.20
199401,1.06,0.08
199501,0.82,-0.16
199601,1.84,0.86
199701,0.96,-0.02
199801,1.05,0.07
199901,1.29,0.31
200001,0.73,-0.25
200101,1.42,0.44
200201,0.40,-0.58
200301,0.39,-0.59
200401,0.96,-0.02
200501,1.31,0.33
200601,0.99,0.01
200701,0.91,-0.07
200801,0.68,-0.30
200901,0.68,-0.30
201001,1.30,0.32
201101,0.94,-0.04
201201,0.57,-0.41
201301,0.95,-0.03
201401,0.43,-0.55
201501,0.52,-0.46
201601,0.59,-0.39
201701,1.56,0.58
201801,1.02,0.04
201901,1.28,0.30
202001,1.41,0.43
202101,1.26,0.28
