Iowa, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,0.75,-0.36
195112,0.97,-0.14
195212,1.18,0.07
195312,1.34,0.23
195412,0.72,-0.39
195512,0.49,-0.62
195612,0.52,-0.59
195712,1.18,0.07
195812,0.25,-0.86
195912,1.77,0.66
196012,0.62,-0.49
196112,1.49,0.38
196212,0.38,-0.73
196312,0.49,-0.62
196412,0.94,-0.17
196512,1.68,0.57
196612,1.06,-0.05
196712,0.91,-0.20
196812,2.07,0.96
196912,1.46,0.35
197012,1.12,0.01
197112,1.87,0.76
197212,1.73,0.62
197312,2.03,0.92
197412,1.12,0.01
197512,0.76,-0.35
197612,0.31,-0.80
197712,1.06,-0.05
197812,1.02,-0.09
197912,0.54,-0.57
198012,1.09,-0.02
198112,1.10,-0.01
198212,3.40,2.29
198312,1.11,0.00
198412,2.10,0.99
198512,1.27,0.16
198612,0.81,-0.30
198712,1.80,0.69
198812,0.80,-0.31
198912,0.36,-0.75
199012,1.50,0.39
199112,1.48,0.37
199212,1.78,0.67
199312,0.76,-0.35
199412,1.19,0.08
199512,0.40,-0.71
199612,0.87,-0.24
199712,1.00,-0.11
199812,0.42,-0.69
199912,0.71,-0.40
200012,1.67,0.56
200112,0.83,-0.28
200212,0.24,-0.87
200312,1.28,0.17
200412,0.58,-0.53
200512,1.17,0.06
200612,2.09,0.98
200712,2.44,1.33
200812,1.88,0.77
200912,2.54,1.43
201012,1.23,0.12
201112,2.08,0.97
201212,1.53,0.42
201312,0.62,-0.49
201412,1.10,-0.01
201512,4.71,3.60
201612,1.52,0.41
201712,0.39,-0.72
201812,2.10,0.99
201912,1.28,0.17
202012,1.14,0.03
202112,0.88,-0.23
