Iowa, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,1.53,0.51
195102,2.42,1.40
195202,0.65,-0.37
195302,1.66,0.64
195402,1.43,0.41
195502,1.30,0.28
195602,0.54,-0.48
195702,0.34,-0.68
195802,0.48,-0.54
195902,1.32,0.30
196002,1.17,0.15
196102,1.70,0.68
196202,2.04,1.02
196302,0.56,-0.46
196402,0.31,-0.71
196502,1.29,0.27
196602,0.72,-0.30
196702,0.55,-0.47
196802,0.18,-0.84
196902,0.98,-0.04
197002,0.17,-0.85
197102,2.42,1.40
197202,0.71,-0.31
197302,1.33,0.31
197402,0.67,-0.35
197502,1.14,0.12
197602,1.48,0.46
197702,0.51,-0.51
197802,0.78,-0.24
197902,0.52,-0.50
198002,0.74,-0.28
198102,1.41,0.39
198202,0.40,-0.62
198302,1.24,0.22
198402,0.92,-0.10
198502,1.12,0.10
198602,1.24,0.22
198702,0.26,-0.76
198802,0.47,-0.55
198902,0.54,-0.48
199002,0.67,-0.35
199102,0.30,-0.72
199202,1.29,0.27
199302,1.15,0.13
199402,1.18,0.16
199502,0.32,-0.70
199602,0.27,-0.75
199702,1.68,0.66
199802,1.63,0.61
199902,0.91,-0.11
200002,1.37,0.35
200102,2.16,1.14
200202,0.89,-0.13
200302,0.82,-0.20
200402,1.17,0.15
200502,1.52,0.50
200602,0.32,-0.70
200702,1.68,0.66
200802,1.71,0.69
200902,0.79,-0.23
201002,0.96,-0.06
201102,1.39,0.37
201202,1.68,0.66
201302,1.27,0.25
201402,1.50,0.48
201502,1.11,0.09
201602,0.88,-0.14
201702,0.99,-0.03
201802,1.54,0.52
201902,2.34,1.32
202002,0.43,-0.59
202102,0.79,-0.23
