Iowa, Precipitation, July
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195007,4.47,0.61
195107,4.53,0.67
195207,3.78,-0.08
195307,3.32,-0.54
195407,1.80,-2.06
195507,3.46,-0.40
195607,4.52,0.66
195707,3.63,-0.23
195807,7.17,3.31
195907,2.39,-1.47
196007,2.81,-1.05
196107,5.54,1.68
196207,6.20,2.34
196307,5.51,1.65
196407,4.04,0.18
196507,3.40,-0.46
196607,3.28,-0.58
196707,2.15,-1.71
196807,4.33,0.47
196907,6.26,2.40
197007,3.54,-0.32
197107,3.43,-0.43
197207,5.67,1.81
197307,5.22,1.36
197407,2.29,-1.57
197507,0.96,-2.90
197607,2.55,-1.31
197707,3.99,0.13
197807,5.87,2.01
197907,4.73,0.87
198007,2.56,-1.30
198107,4.92,1.06
198207,6.21,2.35
198307,2.64,-1.22
198407,4.02,0.16
198507,2.81,-1.05
198607,5.05,1.19
198707,5.21,1.35
198807,2.26,-1.60
198907,3.34,-0.52
199007,6.37,2.51
199107,2.32,-1.54
199207,8.55,4.69
199307,10.45,6.59
199407,3.89,0.03
199507,3.46,-0.40
199607,3.20,-0.66
199707,2.95,-0.91
199807,3.16,-0.70
199907,5.21,1.35
200007,4.09,0.23
200107,3.12,-0.74
200207,4.24,0.38
200307,4.11,0.25
200407,4.33,0.47
200507,3.27,-0.59
200607,3.22,-0.64
200707,3.38,-0.48
200807,5.88,2.02
200907,4.62,0.76
201007,7.89,4.03
201107,3.40,-0.46
201207,1.17,-2.69
201307,1.74,-2.12
201407,3.30,-0.56
201507,5.51,1.65
201607,5.92,2.06
201707,2.94,-0.92
201807,3.39,-0.47
201907,3.38,-0.48
202007,2.93,-0.93
202107,4.03,0.17
