Iowa, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,2.09,-1.58
195109,2.47,-1.20
195209,0.85,-2.82
195309,0.92,-2.75
195409,2.19,-1.48
195509,3.05,-0.62
195609,1.54,-2.13
195709,2.70,-0.97
195809,3.07,-0.60
195909,4.35,0.68
196009,3.53,-0.14
196109,7.26,3.59
196209,2.17,-1.50
196309,2.47,-1.20
196409,4.56,0.89
196509,9.84,6.17
196609,1.43,-2.24
196709,2.61,-1.06
196809,4.66,0.99
196909,2.34,-1.33
197009,6.10,2.43
197109,2.42,-1.25
197209,5.61,1.94
197309,6.92,3.25
197409,1.59,-2.08
197509,2.14,-1.53
197609,1.47,-2.20
197709,4.69,1.02
197809,5.51,1.84
197909,1.46,-2.21
198009,3.13,-0.54
198109,2.59,-1.08
198209,3.41,-0.26
198309,4.10,0.43
198409,2.07,-1.60
198509,5.31,1.64
198609,6.79,3.12
198709,2.58,-1.09
198809,3.61,-0.06
198909,4.84,1.17
199009,1.39,-2.28
199109,2.79,-0.88
199209,5.58,1.91
199309,3.69,0.02
199409,3.58,-0.09
199509,2.96,-0.71
199609,2.88,-0.79
199709,3.11,-0.56
199809,2.06,-1.61
199909,1.84,-1.83
200009,2.11,-1.56
200109,4.07,0.40
200209,1.71,-1.96
200309,3.11,-0.56
200409,2.66,-1.01
200509,3.29,-0.38
200609,4.22,0.55
200709,2.87,-0.80
200809,4.16,0.49
200909,1.73,-1.94
201009,5.40,1.73
201109,1.68,-1.99
201209,1.62,-2.05
201309,1.94,-1.73
201409,4.35,0.68
201509,4.18,0.51
201609,6.12,2.45
201709,2.31,-1.36
201809,8.10,4.43
201909,6.21,2.54
202009,4.07,0.40
202109,1.83,-1.84
