Kansas, Precipitation, August
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195008,5.85,2.75
195108,4.07,0.97
195208,3.22,0.12
195308,2.08,-1.02
195408,3.55,0.45
195508,1.57,-1.53
195608,1.82,-1.28
195708,2.02,-1.08
195808,2.56,-0.54
195908,2.99,-0.11
196008,3.83,0.73
196108,3.76,0.66
196208,2.80,-0.30
196308,2.10,-1.00
196408,3.34,0.24
196508,3.47,0.37
196608,3.31,0.21
196708,1.88,-1.22
196808,4.64,1.54
196908,3.38,0.28
197008,2.06,-1.04
197108,1.20,-1.90
197208,4.14,1.04
197308,2.13,-0.97
197408,4.37,1.27
197508,3.20,0.10
197608,1.12,-1.98
197708,6.49,3.39
197808,2.28,-0.82
197908,2.32,-0.78
198008,3.83,0.73
198108,2.76,-0.34
198208,2.59,-0.51
198308,1.29,-1.81
198408,1.48,-1.62
198508,4.69,1.59
198608,4.32,1.22
198708,4.54,1.44
198808,1.82,-1.28
198908,4.85,1.75
199008,3.10,0.00
199108,2.54,-0.56
199208,3.74,0.64
199308,4.20,1.10
199408,2.42,-0.68
199508,3.01,-0.09
199608,5.34,2.24
199708,4.80,1.70
199808,1.94,-1.16
199908,3.22,0.12
200008,0.62,-2.48
200108,2.40,-0.70
200208,3.09,-0.01
200308,4.31,1.21
200408,2.51,-0.59
200508,5.16,2.06
200608,4.77,1.67
200708,2.57,-0.53
200808,3.62,0.52
200908,3.83,0.73
201008,2.93,-0.17
201108,3.33,0.23
201208,2.61,-0.49
201308,4.91,1.81
201408,3.06,-0.04
201508,2.95,-0.15
201608,4.90,1.80
201708,3.56,0.46
201808,4.33,1.23
201908,7.00,3.90
202008,1.68,-1.42
202108,2.53,-0.57
