Kentucky, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,2.37,-1.69
195112,7.46,3.40
195212,3.76,-0.30
195312,2.75,-1.31
195412,4.98,0.92
195512,1.58,-2.48
195612,4.98,0.92
195712,5.60,1.54
195812,1.15,-2.91
195912,3.95,-0.11
196012,2.81,-1.25
196112,5.13,1.07
196212,2.69,-1.37
196312,1.42,-2.64
196412,5.55,1.49
196512,0.66,-3.40
196612,4.92,0.86
196712,4.71,0.65
196812,3.43,-0.63
196912,5.33,1.27
197012,4.39,0.33
197112,3.52,-0.54
197212,6.72,2.66
197312,3.69,-0.37
197412,4.00,-0.06
197512,4.20,0.14
197612,1.51,-2.55
197712,3.80,-0.26
197812,10.46,6.40
197912,3.72,-0.34
198012,1.54,-2.52
198112,3.28,-0.78
198212,5.57,1.51
198312,4.36,0.30
198412,5.40,1.34
198512,1.49,-2.57
198612,3.74,-0.32
198712,6.17,2.11
198812,3.82,-0.24
198912,2.07,-1.99
199012,10.67,6.61
199112,7.14,3.08
199212,2.91,-1.15
199312,4.12,0.06
199412,3.33,-0.73
199512,2.35,-1.71
199612,4.76,0.70
199712,3.05,-1.01
199812,4.81,0.75
199912,3.44,-0.62
200012,3.85,-0.21
200112,4.47,0.41
200212,4.87,0.81
200312,3.33,-0.73
200412,4.64,0.58
200512,2.40,-1.66
200612,2.96,-1.10
200712,6.67,2.61
200812,6.07,2.01
200912,4.18,0.12
201012,3.01,-1.05
201112,4.96,0.90
201212,5.55,1.49
201312,6.13,2.07
201412,3.36,-0.70
201512,6.52,2.46
201612,6.04,1.98
201712,2.92,-1.14
201812,5.59,1.53
201912,6.10,2.04
202012,3.49,-0.57
202112,4.24,0.18
