Kentucky, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,5.14,1.54
195102,4.64,1.04
195202,2.68,-0.92
195302,2.19,-1.41
195402,2.23,-1.37
195502,7.19,3.59
195602,8.92,5.32
195702,4.33,0.73
195802,2.31,-1.29
195902,2.97,-0.63
196002,4.01,0.41
196102,4.57,0.97
196202,7.67,4.07
196302,1.81,-1.79
196402,2.91,-0.69
196502,3.67,0.07
196602,3.89,0.29
196702,2.40,-1.20
196802,0.87,-2.73
196902,2.18,-1.42
197002,3.68,0.08
197102,4.78,1.18
197202,5.41,1.81
197302,2.27,-1.33
197402,2.14,-1.46
197502,4.84,1.24
197602,4.10,0.50
197702,1.48,-2.12
197802,1.11,-2.49
197902,4.59,0.99
198002,1.47,-2.13
198102,4.15,0.55
198202,3.24,-0.36
198302,2.10,-1.50
198402,3.55,-0.05
198502,2.62,-0.98
198602,4.57,0.97
198702,3.38,-0.22
198802,3.43,-0.17
198902,9.85,6.25
199002,6.36,2.76
199102,4.84,1.24
199202,2.43,-1.17
199302,3.74,0.14
199402,4.86,1.26
199502,3.00,-0.60
199602,2.40,-1.20
199702,3.28,-0.32
199802,3.22,-0.38
199902,2.87,-0.73
200002,4.68,1.08
200102,4.22,0.62
200202,1.60,-2.00
200302,6.81,3.21
200402,2.63,-0.97
200502,2.57,-1.03
200602,2.22,-1.38
200702,2.35,-1.25
200802,4.56,0.96
200902,2.47,-1.13
201002,2.25,-1.35
201102,4.88,1.28
201202,2.32,-1.28
201302,2.19,-1.41
201402,4.47,0.87
201502,3.26,-0.34
201602,4.97,1.37
201702,2.00,-1.60
201802,8.99,5.39
201902,9.39,5.79
202002,6.42,2.82
202102,4.51,0.91
