Kentucky, Precipitation, March
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,3.78,-0.93
195103,4.94,0.23
195203,7.31,2.60
195303,5.49,0.78
195403,2.69,-2.02
195503,7.41,2.70
195603,5.05,0.34
195703,2.37,-2.34
195803,3.54,-1.17
195903,2.62,-2.09
196003,3.03,-1.68
196103,5.42,0.71
196203,4.72,0.01
196303,7.82,3.11
196403,10.09,5.38
196503,6.05,1.34
196603,1.54,-3.17
196703,5.48,0.77
196803,6.00,1.29
196903,2.14,-2.57
197003,4.04,-0.67
197103,2.17,-2.54
197203,4.39,-0.32
197303,6.19,1.48
197403,5.02,0.31
197503,10.50,5.79
197603,5.01,0.30
197703,4.38,-0.33
197803,3.86,-0.85
197903,3.25,-1.46
198003,5.50,0.79
198103,2.88,-1.83
198203,4.15,-0.56
198303,2.42,-2.29
198403,4.93,0.22
198503,3.33,-1.38
198603,2.70,-2.01
198703,3.21,-1.50
198803,2.77,-1.94
198903,5.96,1.25
199003,3.04,-1.67
199103,5.52,0.81
199203,5.13,0.42
199303,4.47,-0.24
199403,7.22,2.51
199503,3.02,-1.69
199603,5.06,0.35
199703,11.11,6.40
199803,3.21,-1.50
199903,3.43,-1.28
200003,3.53,-1.18
200103,2.82,-1.89
200203,7.41,2.70
200303,2.16,-2.55
200403,4.23,-0.48
200503,3.76,-0.95
200603,3.55,-1.16
200703,2.76,-1.95
200803,6.96,2.25
200903,3.25,-1.46
201003,2.69,-2.02
201103,5.51,0.80
201203,4.50,-0.21
201303,4.95,0.24
201403,3.44,-1.27
201503,6.34,1.63
201603,4.22,-0.49
201703,4.58,-0.13
201803,5.18,0.47
201903,3.68,-1.03
202003,6.84,2.13
202103,6.78,2.07
