Kentucky, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,2.96,-1.14
195104,3.37,-0.73
195204,2.65,-1.45
195304,3.94,-0.16
195404,3.72,-0.38
195504,3.61,-0.49
195604,4.92,0.82
195704,5.52,1.42
195804,5.51,1.41
195904,3.00,-1.10
196004,1.83,-2.27
196104,5.29,1.19
196204,3.28,-0.82
196304,1.71,-2.39
196404,4.13,0.03
196504,4.16,0.06
196604,6.25,2.15
196704,3.69,-0.41
196804,5.11,1.01
196904,4.54,0.44
197004,7.49,3.39
197104,2.70,-1.40
197204,7.54,3.44
197304,5.83,1.73
197404,3.74,-0.36
197504,4.87,0.77
197604,1.13,-2.97
197704,5.38,1.28
197804,3.13,-0.97
197904,6.85,2.75
198004,3.27,-0.83
198104,5.09,0.99
198204,3.31,-0.79
198304,7.13,3.03
198404,5.26,1.16
198504,2.67,-1.43
198604,1.43,-2.67
198704,3.37,-0.73
198804,3.18,-0.92
198904,3.22,-0.88
199004,2.96,-1.14
199104,3.20,-0.90
199204,1.94,-2.16
199304,3.72,-0.38
199404,5.71,1.61
199504,3.80,-0.30
199604,5.39,1.29
199704,2.45,-1.65
199804,7.55,3.45
199904,3.48,-0.62
200004,4.55,0.45
200104,1.91,-2.19
200204,4.96,0.86
200304,5.52,1.42
200404,4.65,0.55
200504,4.86,0.76
200604,4.45,0.35
200704,3.87,-0.23
200804,5.36,1.26
200904,4.84,0.74
201004,3.19,-0.91
201104,12.07,7.97
201204,2.33,-1.77
201304,4.96,0.86
201404,6.43,2.33
201504,8.28,4.18
201604,3.64,-0.46
201704,4.48,0.38
201804,4.45,0.35
201904,4.94,0.84
202004,4.95,0.85
202104,3.08,-1.02
