Kentucky, Precipitation, August
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195008,4.69,0.96
195108,3.23,-0.50
195208,3.42,-0.31
195308,1.57,-2.16
195408,4.27,0.54
195508,2.56,-1.17
195608,3.00,-0.73
195708,1.78,-1.95
195808,4.18,0.45
195908,4.01,0.28
196008,3.36,-0.37
196108,3.36,-0.37
196208,2.31,-1.42
196308,3.38,-0.35
196408,3.24,-0.49
196508,2.15,-1.58
196608,4.74,1.01
196708,3.26,-0.47
196808,3.65,-0.08
196908,3.97,0.24
197008,4.48,0.75
197108,3.41,-0.32
197208,2.26,-1.47
197308,2.28,-1.45
197408,7.43,3.70
197508,4.09,0.36
197608,2.66,-1.07
197708,6.45,2.72
197808,5.90,2.17
197908,5.43,1.70
198008,3.21,-0.52
198108,3.07,-0.66
198208,5.43,1.70
198308,2.04,-1.69
198408,2.73,-1.00
198508,5.82,2.09
198608,3.26,-0.47
198708,2.64,-1.09
198808,3.79,0.06
198908,4.16,0.43
199008,3.79,0.06
199108,2.79,-0.94
199208,4.02,0.29
199308,3.91,0.18
199408,3.62,-0.11
199508,3.59,-0.14
199608,2.52,-1.21
199708,3.35,-0.38
199808,2.11,-1.62
199908,1.97,-1.76
200008,3.91,0.18
200108,3.68,-0.05
200208,2.28,-1.45
200308,4.87,1.14
200408,3.97,0.24
200508,6.51,2.78
200608,4.63,0.90
200708,1.68,-2.05
200808,1.61,-2.12
200908,3.12,-0.61
201008,3.44,-0.29
201108,2.31,-1.42
201208,3.17,-0.56
201308,4.14,0.41
201408,5.46,1.73
201508,3.19,-0.54
201608,5.00,1.27
201708,4.38,0.65
201808,4.80,1.07
201908,3.46,-0.27
202008,5.14,1.41
202108,5.29,1.56
