Kentucky, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,5.40,2.16
195109,4.37,1.13
195209,2.30,-0.94
195309,1.11,-2.13
195409,3.90,0.66
195509,3.19,-0.05
195609,2.16,-1.08
195709,4.46,1.22
195809,3.22,-0.02
195909,2.06,-1.18
196009,3.23,-0.01
196109,1.56,-1.68
196209,4.46,1.22
196309,1.27,-1.97
196409,4.63,1.39
196509,5.56,2.32
196609,3.96,0.72
196709,2.69,-0.55
196809,2.69,-0.55
196909,1.84,-1.40
197009,4.54,1.30
197109,4.28,1.04
197209,4.12,0.88
197309,2.29,-0.95
197409,5.51,2.27
197509,5.73,2.49
197609,4.01,0.77
197709,3.62,0.38
197809,1.24,-2.00
197909,8.28,5.04
198009,2.81,-0.43
198109,3.10,-0.14
198209,4.30,1.06
198309,1.12,-2.12
198409,2.79,-0.45
198509,1.94,-1.30
198609,4.42,1.18
198709,2.30,-0.94
198809,4.70,1.46
198909,4.62,1.38
199009,3.11,-0.13
199109,2.99,-0.25
199209,3.56,0.32
199309,3.93,0.69
199409,2.38,-0.86
199509,2.62,-0.62
199609,6.36,3.12
199709,2.36,-0.88
199809,1.08,-2.16
199909,1.33,-1.91
200009,3.49,0.25
200109,2.59,-0.65
200209,6.15,2.91
200309,5.75,2.51
200409,3.95,0.71
200509,1.30,-1.94
200609,8.19,4.95
200709,2.10,-1.14
200809,0.90,-2.34
200909,5.49,2.25
201009,1.81,-1.43
201109,5.89,2.65
201209,5.88,2.64
201309,3.66,0.42
201409,2.19,-1.05
201509,2.89,-0.35
201609,2.13,-1.11
201709,4.45,1.21
201809,8.06,4.82
201909,0.22,-3.02
202009,3.98,0.74
202109,4.23,0.99
