Louisiana, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,6.75,2.13
195102,2.76,-1.86
195202,6.48,1.86
195302,6.65,2.03
195402,1.31,-3.31
195502,6.84,2.22
195602,7.38,2.76
195702,3.70,-0.92
195802,3.43,-1.19
195902,7.12,2.50
196002,4.79,0.17
196102,7.62,3.00
196202,1.88,-2.74
196302,3.57,-1.05
196402,3.79,-0.83
196502,5.79,1.17
196602,10.25,5.63
196702,4.44,-0.18
196802,3.11,-1.51
196902,5.10,0.48
197002,3.11,-1.51
197102,4.99,0.37
197202,2.82,-1.80
197302,3.69,-0.93
197402,4.04,-0.58
197502,4.13,-0.49
197602,3.04,-1.58
197702,2.57,-2.05
197802,2.75,-1.87
197902,8.44,3.82
198002,2.47,-2.15
198102,4.83,0.21
198202,5.45,0.83
198302,8.12,3.50
198402,6.48,1.86
198502,6.48,1.86
198602,2.74,-1.88
198702,8.51,3.89
198802,7.00,2.38
198902,2.72,-1.90
199002,6.81,2.19
199102,5.80,1.18
199202,6.72,2.10
199302,3.12,-1.50
199402,3.91,-0.71
199502,2.94,-1.68
199602,1.65,-2.97
199702,8.65,4.03
199802,6.17,1.55
199902,1.38,-3.24
200002,1.03,-3.59
200102,3.57,-1.05
200202,2.95,-1.67
200302,7.18,2.56
200402,8.78,4.16
200502,6.73,2.11
200602,5.38,0.76
200702,1.95,-2.67
200802,5.39,0.77
200902,2.17,-2.45
201002,5.44,0.82
201102,2.10,-2.52
201202,7.40,2.78
201302,6.28,1.66
201402,5.56,0.94
201502,3.03,-1.59
201602,3.24,-1.38
201702,2.33,-2.29
201802,8.22,3.60
201902,4.47,-0.15
202002,5.83,1.21
202102,4.24,-0.38
