Maine, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,2.58,-1.12
195110,3.52,-0.18
195210,3.63,-0.07
195310,4.21,0.51
195410,5.04,1.34
195510,2.53,-1.17
195610,2.84,-0.86
195710,2.14,-1.56
195810,4.86,1.16
195910,6.15,2.45
196010,3.94,0.24
196110,2.72,-0.98
196210,4.93,1.23
196310,3.19,-0.51
196410,3.44,-0.26
196510,3.88,0.18
196610,3.75,0.05
196710,2.73,-0.97
196810,3.08,-0.62
196910,1.64,-2.06
197010,4.64,0.94
197110,2.90,-0.80
197210,3.99,0.29
197310,3.38,-0.32
197410,1.56,-2.14
197510,3.81,0.11
197610,5.79,2.09
197710,6.63,2.93
197810,3.64,-0.06
197910,4.77,1.07
198010,3.91,0.21
198110,6.32,2.62
198210,1.45,-2.25
198310,2.92,-0.78
198410,2.36,-1.34
198510,2.79,-0.91
198610,1.65,-2.05
198710,3.64,-0.06
198810,3.96,0.26
198910,3.03,-0.67
199010,7.71,4.01
199110,4.38,0.68
199210,3.49,-0.21
199310,4.30,0.60
199410,1.52,-2.18
199510,6.70,3.00
199610,4.12,0.42
199710,1.43,-2.27
199810,5.04,1.34
199910,4.43,0.73
200010,3.37,-0.33
200110,1.96,-1.74
200210,3.06,-0.64
200310,7.93,4.23
200410,2.46,-1.24
200510,11.26,7.56
200610,7.85,4.15
200710,4.85,1.15
200810,4.09,0.39
200910,5.53,1.83
201010,5.93,2.23
201110,4.97,1.27
201210,6.69,2.99
201310,1.70,-2.00
201410,6.20,2.50
201510,4.73,1.03
201610,3.98,0.28
201710,7.17,3.47
201810,4.48,0.78
201910,5.73,2.03
202010,6.12,2.42
202110,3.78,0.08
