Maine, Precipitation, November
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,8.33,4.44
195111,6.07,2.18
195211,2.02,-1.87
195311,3.90,0.01
195411,4.04,0.15
195511,3.34,-0.55
195611,3.11,-0.78
195711,5.32,1.43
195811,3.70,-0.19
195911,6.57,2.68
196011,3.41,-0.48
196111,4.45,0.56
196211,5.39,1.50
196311,8.55,4.66
196411,3.17,-0.72
196511,4.58,0.69
196611,5.48,1.59
196711,3.32,-0.57
196811,5.55,1.66
196911,7.00,3.11
197011,2.76,-1.13
197111,3.30,-0.59
197211,4.65,0.76
197311,3.23,-0.66
197411,4.24,0.35
197511,4.76,0.87
197611,2.22,-1.67
197711,3.29,-0.60
197811,2.10,-1.79
197911,3.76,-0.13
198011,4.07,0.18
198111,3.04,-0.85
198211,4.97,1.08
198311,9.44,5.55
198411,2.76,-1.13
198511,4.37,0.48
198611,3.83,-0.06
198711,2.74,-1.15
198811,5.94,2.05
198911,5.08,1.19
199011,4.28,0.39
199111,3.27,-0.62
199211,3.22,-0.67
199311,4.04,0.15
199411,4.21,0.32
199511,6.47,2.58
199611,2.05,-1.84
199711,3.97,0.08
199811,2.69,-1.20
199911,3.49,-0.40
200011,2.99,-0.90
200111,2.23,-1.66
200211,4.21,0.32
200311,4.40,0.51
200411,4.19,0.30
200511,6.27,2.38
200611,4.97,1.08
200711,6.90,3.01
200811,5.34,1.45
200911,4.77,0.88
201011,5.20,1.31
201111,2.49,-1.40
201211,1.29,-2.60
201311,4.11,0.22
201411,3.50,-0.39
201511,2.43,-1.46
201611,3.82,-0.07
201711,2.77,-1.12
201811,6.18,2.29
201911,4.08,0.19
202011,3.83,-0.06
202111,3.29,-0.60
