Maine, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,5.42,1.89
195112,4.71,1.18
195212,4.54,1.01
195312,4.31,0.78
195412,5.46,1.93
195512,1.28,-2.25
195612,2.97,-0.56
195712,5.63,2.10
195812,1.62,-1.91
195912,3.59,0.06
196012,4.36,0.83
196112,3.34,-0.19
196212,4.67,1.14
196312,1.80,-1.73
196412,3.82,0.29
196512,1.93,-1.60
196612,3.01,-0.52
196712,4.81,1.28
196812,5.45,1.92
196912,7.80,4.27
197012,3.96,0.43
197112,2.73,-0.80
197212,5.76,2.23
197312,9.04,5.51
197412,2.98,-0.55
197512,4.95,1.42
197612,4.16,0.63
197712,5.22,1.69
197812,2.92,-0.61
197912,2.68,-0.85
198012,2.29,-1.24
198112,4.59,1.06
198212,2.18,-1.35
198312,6.27,2.74
198412,3.26,-0.27
198512,2.16,-1.37
198612,3.05,-0.48
198712,3.37,-0.16
198812,1.39,-2.14
198912,1.94,-1.59
199012,5.61,2.08
199112,2.56,-0.97
199212,1.76,-1.77
199312,5.03,1.50
199412,2.74,-0.79
199512,3.16,-0.37
199612,5.99,2.46
199712,2.77,-0.76
199812,1.94,-1.59
199912,3.00,-0.53
200012,4.40,0.87
200112,2.10,-1.43
200212,3.10,-0.43
200312,6.33,2.80
200412,4.36,0.83
200512,5.30,1.77
200612,2.94,-0.59
200712,4.26,0.73
200812,5.32,1.79
200912,4.31,0.78
201012,6.31,2.78
201112,3.49,-0.04
201212,5.11,1.58
201312,3.76,0.23
201412,6.08,2.55
201512,5.31,1.78
201612,4.57,1.04
201712,3.87,0.34
201812,3.79,0.26
201912,3.75,0.22
202012,5.33,1.80
202112,3.16,-0.37
