Maine, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,0.93,-2.46
195105,3.00,-0.39
195205,3.78,0.39
195305,3.04,-0.35
195405,5.34,1.95
195505,3.29,-0.10
195605,3.15,-0.24
195705,2.52,-0.87
195805,2.83,-0.56
195905,1.28,-2.11
196005,4.32,0.93
196105,5.03,1.64
196205,2.41,-0.98
196305,3.34,-0.05
196405,2.29,-1.10
196505,1.75,-1.64
196605,2.50,-0.89
196705,4.60,1.21
196805,2.94,-0.45
196905,3.09,-0.30
197005,3.89,0.50
197105,3.49,0.10
197205,2.83,-0.56
197305,5.38,1.99
197405,5.02,1.63
197505,2.15,-1.24
197605,5.11,1.72
197705,1.71,-1.68
197805,2.46,-0.93
197905,6.09,2.70
198005,1.44,-1.95
198105,3.60,0.21
198205,1.19,-2.20
198305,5.69,2.30
198405,7.26,3.87
198505,3.04,-0.35
198605,3.95,0.56
198705,2.89,-0.50
198805,2.34,-1.05
198905,7.07,3.68
199005,5.28,1.89
199105,3.70,0.31
199205,1.07,-2.32
199305,2.32,-1.07
199405,4.30,0.91
199505,3.92,0.53
199605,4.90,1.51
199705,4.15,0.76
199805,3.13,-0.26
199905,2.85,-0.54
200005,4.62,1.23
200105,2.06,-1.33
200205,3.40,0.01
200305,3.49,0.10
200405,3.79,0.40
200505,5.87,2.48
200605,5.90,2.51
200705,3.20,-0.19
200805,1.65,-1.74
200905,4.07,0.68
201005,2.09,-1.30
201105,5.49,2.10
201205,4.68,1.29
201305,5.67,2.28
201405,3.99,0.60
201505,2.80,-0.59
201605,2.56,-0.83
201705,5.67,2.28
201805,1.92,-1.47
201905,4.49,1.10
202005,2.62,-0.77
202105,2.59,-0.80
