Maine, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,5.04,1.30
195106,2.42,-1.32
195206,4.90,1.16
195306,2.37,-1.37
195406,5.87,2.13
195506,3.01,-0.73
195606,2.80,-0.94
195706,3.34,-0.40
195806,3.19,-0.55
195906,6.48,2.74
196006,3.87,0.13
196106,3.56,-0.18
196206,2.64,-1.10
196306,1.42,-2.32
196406,2.24,-1.50
196506,2.03,-1.71
196606,2.98,-0.76
196706,4.29,0.55
196806,3.77,0.03
196906,3.49,-0.25
197006,3.34,-0.40
197106,2.14,-1.60
197206,5.92,2.18
197306,4.32,0.58
197406,3.79,0.05
197506,4.23,0.49
197606,3.32,-0.42
197706,6.80,3.06
197806,4.19,0.45
197906,2.10,-1.64
198006,2.87,-0.87
198106,4.30,0.56
198206,4.87,1.13
198306,1.79,-1.95
198406,6.13,2.39
198506,3.96,0.22
198606,3.33,-0.41
198706,4.48,0.74
198806,2.48,-1.26
198906,4.08,0.34
199006,4.46,0.72
199106,2.35,-1.39
199206,4.58,0.84
199306,4.27,0.53
199406,3.89,0.15
199506,2.36,-1.38
199606,4.34,0.60
199706,3.28,-0.46
199806,6.81,3.07
199906,3.37,-0.37
200006,2.65,-1.09
200106,3.76,0.02
200206,4.17,0.43
200306,3.27,-0.47
200406,2.77,-0.97
200506,3.44,-0.30
200606,7.39,3.65
200706,3.05,-0.69
200806,6.16,2.42
200906,6.70,2.96
201006,5.54,1.80
201106,4.06,0.32
201206,7.58,3.84
201306,6.55,2.81
201406,4.58,0.84
201506,5.79,2.05
201606,3.41,-0.33
201706,3.73,-0.01
201806,3.69,-0.05
201906,4.69,0.95
202006,2.29,-1.45
202106,2.08,-1.66
