Maine, Precipitation, July
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195007,2.81,-0.98
195107,6.33,2.54
195207,1.27,-2.52
195307,3.84,0.05
195407,4.22,0.43
195507,2.45,-1.34
195607,3.84,0.05
195707,3.77,-0.02
195807,5.18,1.39
195907,2.51,-1.28
196007,4.06,0.27
196107,3.65,-0.14
196207,5.03,1.24
196307,3.78,-0.01
196407,4.47,0.68
196507,2.51,-1.28
196607,3.82,0.03
196707,3.91,0.12
196807,2.17,-1.62
196907,4.71,0.92
197007,2.72,-1.07
197107,3.62,-0.17
197207,4.62,0.83
197307,4.11,0.32
197407,4.05,0.26
197507,3.79,0.00
197607,6.91,3.12
197707,2.03,-1.76
197807,2.45,-1.34
197907,3.05,-0.74
198007,5.22,1.43
198107,4.64,0.85
198207,2.65,-1.14
198307,4.74,0.95
198407,4.37,0.58
198507,3.84,0.05
198607,4.80,1.01
198707,2.39,-1.40
198807,4.64,0.85
198907,2.31,-1.48
199007,3.57,-0.22
199107,2.25,-1.54
199207,4.31,0.52
199307,2.60,-1.19
199407,3.73,-0.06
199507,3.94,0.15
199607,7.57,3.78
199707,3.44,-0.35
199807,3.94,0.15
199907,3.17,-0.62
200007,4.17,0.38
200107,3.76,-0.03
200207,3.96,0.17
200307,3.47,-0.32
200407,4.68,0.89
200507,3.89,0.10
200607,5.46,1.67
200707,3.56,-0.23
200807,4.91,1.12
200907,6.71,2.92
201007,2.87,-0.92
201107,3.69,-0.10
201207,1.89,-1.90
201307,4.89,1.10
201407,6.65,2.86
201507,3.61,-0.18
201607,3.78,-0.01
201707,2.84,-0.95
201807,4.06,0.27
201907,3.31,-0.48
202007,3.85,0.06
202107,5.54,1.75
