Maryland, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,2.53,-0.58
195110,2.00,-1.11
195210,1.22,-1.89
195310,2.63,-0.48
195410,3.65,0.54
195510,4.10,0.99
195610,4.38,1.27
195710,3.41,0.30
195810,2.68,-0.43
195910,4.66,1.55
196010,2.61,-0.50
196110,3.36,0.25
196210,2.27,-0.84
196310,0.15,-2.96
196410,2.08,-1.03
196510,2.27,-0.84
196610,3.75,0.64
196710,2.21,-0.90
196810,2.83,-0.28
196910,1.41,-1.70
197010,2.83,-0.28
197110,6.42,3.31
197210,3.81,0.70
197310,2.94,-0.17
197410,1.29,-1.82
197510,3.37,0.26
197610,8.07,4.96
197710,4.53,1.42
197810,1.42,-1.69
197910,5.22,2.11
198010,3.91,0.80
198110,3.13,0.02
198210,2.09,-1.02
198310,4.74,1.63
198410,3.12,0.01
198510,3.43,0.32
198610,2.58,-0.53
198710,2.30,-0.81
198810,2.10,-1.01
198910,4.65,1.54
199010,4.31,1.20
199110,2.36,-0.75
199210,1.83,-1.28
199310,3.22,0.11
199410,1.20,-1.91
199510,6.29,3.18
199610,4.56,1.45
199710,2.72,-0.39
199810,1.77,-1.34
199910,3.14,0.03
200010,0.35,-2.76
200110,0.92,-2.19
200210,6.26,3.15
200310,4.22,1.11
200410,1.72,-1.39
200510,7.69,4.58
200610,5.09,1.98
200710,4.59,1.48
200810,1.47,-1.64
200910,5.75,2.64
201010,4.83,1.72
201110,3.67,0.56
201210,7.94,4.83
201310,5.06,1.95
201410,3.38,0.27
201510,3.71,0.60
201610,2.22,-0.89
201710,3.79,0.68
201810,4.04,0.93
201910,5.26,2.15
202010,4.64,1.53
202110,3.46,0.35
