Maryland, Precipitation, November
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,3.30,0.32
195111,5.32,2.34
195211,6.07,3.09
195311,2.06,-0.92
195411,2.65,-0.33
195511,1.81,-1.17
195611,3.59,0.61
195711,3.41,0.43
195811,2.57,-0.41
195911,3.56,0.58
196011,1.77,-1.21
196111,2.30,-0.68
196211,5.44,2.46
196311,6.33,3.35
196411,2.16,-0.82
196511,0.82,-2.16
196611,1.94,-1.04
196711,2.16,-0.82
196811,3.94,0.96
196911,2.24,-0.74
197011,4.33,1.35
197111,3.94,0.96
197211,6.67,3.69
197311,1.49,-1.49
197411,1.57,-1.41
197511,2.56,-0.42
197611,0.99,-1.99
197711,5.01,2.03
197811,3.09,0.11
197911,3.64,0.66
198011,3.06,0.08
198111,0.72,-2.26
198211,3.89,0.91
198311,5.28,2.30
198411,3.39,0.41
198511,5.75,2.77
198611,4.95,1.97
198711,3.80,0.82
198811,4.89,1.91
198911,2.70,-0.28
199011,1.99,-0.99
199111,1.60,-1.38
199211,3.88,0.90
199311,4.03,1.05
199411,3.17,0.19
199511,4.40,1.42
199611,3.14,0.16
199711,6.20,3.22
199811,1.04,-1.94
199911,2.08,-0.90
200011,2.05,-0.93
200111,1.01,-1.97
200211,4.43,1.45
200311,4.63,1.65
200411,4.45,1.47
200511,3.01,0.03
200611,5.22,2.24
200711,1.77,-1.21
200811,3.33,0.35
200911,4.47,1.49
201011,2.14,-0.84
201111,3.42,0.44
201211,0.75,-2.23
201311,2.73,-0.25
201411,3.09,0.11
201511,2.62,-0.36
201611,1.00,-1.98
201711,1.96,-1.02
201811,6.95,3.97
201911,1.70,-1.28
202011,4.76,1.78
202111,0.98,-2.00
