Maryland, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,3.03,0.14
195102,3.04,0.15
195202,2.23,-0.66
195302,2.68,-0.21
195402,1.33,-1.56
195502,3.02,0.13
195602,3.78,0.89
195702,3.44,0.55
195802,3.78,0.89
195902,1.97,-0.92
196002,3.90,1.01
196102,4.84,1.95
196202,4.15,1.26
196302,1.94,-0.95
196402,4.11,1.22
196502,2.62,-0.27
196602,3.62,0.73
196702,2.46,-0.43
196802,0.65,-2.24
196902,2.13,-0.76
197002,2.68,-0.21
197102,5.16,2.27
197202,5.54,2.65
197302,3.29,0.40
197402,1.48,-1.41
197502,2.71,-0.18
197602,1.60,-1.29
197702,1.05,-1.84
197802,0.90,-1.99
197902,5.51,2.62
198002,1.10,-1.79
198102,3.98,1.09
198202,3.50,0.61
198302,2.96,0.07
198402,4.33,1.44
198502,3.14,0.25
198602,3.62,0.73
198702,1.74,-1.15
198802,3.29,0.40
198902,3.19,0.30
199002,2.08,-0.81
199102,1.29,-1.60
199202,2.67,-0.22
199302,2.55,-0.34
199402,4.39,1.50
199502,1.92,-0.97
199602,2.51,-0.38
199702,2.60,-0.29
199802,5.82,2.93
199902,2.56,-0.33
200002,2.30,-0.59
200102,2.20,-0.69
200202,0.58,-2.31
200302,5.86,2.97
200402,2.47,-0.42
200502,1.96,-0.93
200602,1.70,-1.19
200702,2.40,-0.49
200802,3.54,0.65
200902,0.51,-2.38
201002,3.43,0.54
201102,2.27,-0.62
201202,2.11,-0.78
201302,2.22,-0.67
201402,4.17,1.28
201502,2.03,-0.86
201602,4.04,1.15
201702,1.12,-1.77
201802,4.73,1.84
201902,3.61,0.72
202002,3.19,0.30
202102,4.34,1.45
