Maryland, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,1.77,-1.71
195104,3.54,0.06
195204,6.68,3.20
195304,3.87,0.39
195404,3.45,-0.03
195504,2.93,-0.55
195604,2.64,-0.84
195704,3.03,-0.45
195804,4.61,1.13
195904,3.70,0.22
196004,2.93,-0.55
196104,4.35,0.87
196204,3.93,0.45
196304,1.31,-2.17
196404,5.21,1.73
196504,2.39,-1.09
196604,3.98,0.50
196704,1.87,-1.61
196804,1.58,-1.90
196904,2.58,-0.90
197004,4.67,1.19
197104,2.11,-1.37
197204,4.60,1.12
197304,5.70,2.22
197404,2.62,-0.86
197504,3.15,-0.33
197604,1.67,-1.81
197704,3.12,-0.36
197804,2.27,-1.21
197904,3.18,-0.30
198004,4.39,0.91
198104,3.79,0.31
198204,4.11,0.63
198304,7.44,3.96
198404,4.41,0.93
198504,0.67,-2.81
198604,2.43,-1.05
198704,3.54,0.06
198804,2.86,-0.62
198904,3.50,0.02
199004,3.81,0.33
199104,2.47,-1.01
199204,2.25,-1.23
199304,5.23,1.75
199404,2.71,-0.77
199504,2.33,-1.15
199604,3.71,0.23
199704,2.59,-0.89
199804,3.91,0.43
199904,3.04,-0.44
200004,4.28,0.80
200104,2.06,-1.42
200204,3.73,0.25
200304,3.10,-0.38
200404,5.40,1.92
200504,3.59,0.11
200604,3.47,-0.01
200704,4.47,0.99
200804,4.72,1.24
200904,4.69,1.21
201004,1.87,-1.61
201104,4.77,1.29
201204,2.49,-0.99
201304,3.07,-0.41
201404,4.93,1.45
201504,3.63,0.15
201604,2.13,-1.35
201704,3.22,-0.26
201804,3.75,0.27
201904,3.04,-0.44
202004,4.88,1.40
202104,2.75,-0.73
