Massachusetts, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,2.07,-1.43
195110,4.41,0.91
195210,1.33,-2.17
195310,5.22,1.72
195410,2.55,-0.95
195510,8.92,5.42
195610,2.56,-0.94
195710,2.40,-1.10
195810,3.34,-0.16
195910,6.67,3.17
196010,2.71,-0.79
196110,2.81,-0.69
196210,6.95,3.45
196310,1.27,-2.23
196410,2.34,-1.16
196510,2.77,-0.73
196610,3.54,0.04
196710,2.22,-1.28
196810,2.39,-1.11
196910,2.04,-1.46
197010,3.02,-0.48
197110,2.94,-0.56
197210,3.72,0.22
197310,3.35,-0.15
197410,2.53,-0.97
197510,5.40,1.90
197610,5.09,1.59
197710,6.39,2.89
197810,3.32,-0.18
197910,4.64,1.14
198010,4.11,0.61
198110,4.93,1.43
198210,3.03,-0.47
198310,4.35,0.85
198410,3.82,0.32
198510,2.46,-1.04
198610,2.88,-0.62
198710,3.86,0.36
198810,3.03,-0.47
198910,6.49,2.99
199010,6.93,3.43
199110,3.62,0.12
199210,2.37,-1.13
199310,3.87,0.37
199410,0.94,-2.56
199510,8.40,4.90
199610,7.69,4.19
199710,2.08,-1.42
199810,4.99,1.49
199910,4.58,1.08
200010,2.47,-1.03
200110,1.10,-2.40
200210,4.16,0.66
200310,5.70,2.20
200410,2.19,-1.31
200510,14.03,10.53
200610,5.75,2.25
200710,3.61,0.11
200810,2.84,-0.66
200910,5.98,2.48
201010,6.49,2.99
201110,7.26,3.76
201210,4.66,1.16
201310,1.48,-2.02
201410,6.21,2.71
201510,3.86,0.36
201610,4.91,1.41
201710,6.94,3.44
201810,4.92,1.42
201910,6.28,2.78
202010,5.17,1.67
202110,6.76,3.26
