Massachusetts, Precipitation, November
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,6.39,2.39
195111,6.63,2.63
195211,2.36,-1.64
195311,4.58,0.58
195411,5.61,1.61
195511,5.11,1.11
195611,3.78,-0.22
195711,4.70,0.70
195811,3.70,-0.30
195911,5.44,1.44
196011,3.04,-0.96
196111,3.84,-0.16
196211,3.86,-0.14
196311,6.71,2.71
196411,2.41,-1.59
196511,2.45,-1.55
196611,4.29,0.29
196711,3.41,-0.59
196811,6.44,2.44
196911,7.17,3.17
197011,4.09,0.09
197111,5.40,1.40
197211,7.60,3.60
197311,2.52,-1.48
197411,2.86,-1.14
197511,5.79,1.79
197611,1.02,-2.98
197711,3.83,-0.17
197811,2.39,-1.61
197911,4.15,0.15
198011,3.73,-0.27
198111,3.29,-0.71
198211,3.93,-0.07
198311,7.99,3.99
198411,2.77,-1.23
198511,6.49,2.49
198611,5.92,1.92
198711,3.04,-0.96
198811,7.51,3.51
198911,4.67,0.67
199011,2.58,-1.42
199111,4.92,0.92
199211,4.98,0.98
199311,4.28,0.28
199411,4.15,0.15
199511,5.81,1.81
199611,3.10,-0.90
199711,6.47,2.47
199811,2.33,-1.67
199911,2.98,-1.02
200011,3.53,-0.47
200111,1.22,-2.78
200211,5.88,1.88
200311,3.03,-0.97
200411,3.78,-0.22
200511,5.08,1.08
200611,5.54,1.54
200711,3.63,-0.37
200811,3.81,-0.19
200911,3.25,-0.75
201011,3.82,-0.18
201111,3.76,-0.24
201211,1.14,-2.86
201311,3.69,-0.31
201411,4.71,0.71
201511,2.48,-1.52
201611,2.58,-1.42
201711,1.82,-2.18
201811,8.77,4.77
201911,3.32,-0.68
202011,3.80,-0.20
202111,2.29,-1.71
