Massachusetts, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,3.99,0.15
195112,4.74,0.90
195212,3.94,0.10
195312,4.87,1.03
195412,4.93,1.09
195512,0.97,-2.87
195612,5.13,1.29
195712,6.15,2.31
195812,1.64,-2.20
195912,4.37,0.53
196012,3.44,-0.40
196112,3.39,-0.45
196212,3.64,-0.20
196312,2.64,-1.20
196412,4.56,0.72
196512,2.00,-1.84
196612,2.83,-1.01
196712,5.69,1.85
196812,5.85,2.01
196912,8.16,4.32
197012,4.35,0.51
197112,3.16,-0.68
197212,6.79,2.95
197312,8.60,4.76
197412,4.12,0.28
197512,4.90,1.06
197612,3.02,-0.82
197712,6.06,2.22
197812,4.00,0.16
197912,2.02,-1.82
198012,1.33,-2.51
198112,5.65,1.81
198212,1.87,-1.97
198312,5.90,2.06
198412,3.12,-0.72
198512,1.56,-2.28
198612,6.24,2.40
198712,2.66,-1.18
198812,1.29,-2.55
198912,1.10,-2.74
199012,4.88,1.04
199112,3.29,-0.55
199212,6.03,2.19
199312,5.55,1.71
199412,5.08,1.24
199512,2.48,-1.36
199612,6.96,3.12
199712,3.17,-0.67
199812,1.58,-2.26
199912,2.28,-1.56
200012,4.30,0.46
200112,3.04,-0.80
200212,5.26,1.42
200312,5.72,1.88
200412,4.48,0.64
200512,3.90,0.06
200612,2.33,-1.51
200712,5.07,1.23
200812,7.07,3.23
200912,4.87,1.03
201012,4.06,0.22
201112,4.45,0.61
201212,5.45,1.61
201312,4.07,0.23
201412,5.61,1.77
201512,4.82,0.98
201612,3.63,-0.21
201712,2.62,-1.22
201812,3.93,0.09
201912,7.03,3.19
202012,6.37,2.53
202112,3.07,-0.77
