Massachusetts, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,2.17,-1.62
195109,2.56,-1.23
195209,3.23,-0.56
195309,2.29,-1.50
195409,8.19,4.40
195509,2.92,-0.87
195609,4.79,1.00
195709,1.61,-2.18
195809,5.27,1.48
195909,1.54,-2.25
196009,6.99,3.20
196109,5.14,1.35
196209,3.68,-0.11
196309,3.86,0.07
196409,2.13,-1.66
196509,2.92,-0.87
196609,5.12,1.33
196709,2.96,-0.83
196809,2.19,-1.60
196909,4.32,0.53
197009,2.83,-0.96
197109,2.66,-1.13
197209,4.54,0.75
197309,3.25,-0.54
197409,7.27,3.48
197509,7.16,3.37
197609,2.36,-1.43
197709,6.27,2.48
197809,1.69,-2.10
197909,4.39,0.60
198009,1.76,-2.03
198109,3.94,0.15
198209,2.98,-0.81
198309,1.97,-1.82
198409,1.62,-2.17
198509,3.78,-0.01
198609,1.56,-2.23
198709,6.64,2.85
198809,1.99,-1.80
198909,4.78,0.99
199009,1.91,-1.88
199109,6.79,3.00
199209,3.34,-0.45
199309,4.95,1.16
199409,4.50,0.71
199509,3.13,-0.66
199609,7.50,3.71
199709,1.75,-2.04
199809,2.34,-1.45
199909,9.03,5.24
200009,3.57,-0.22
200109,3.54,-0.25
200209,4.19,0.40
200309,5.34,1.55
200409,7.42,3.63
200509,2.74,-1.05
200609,2.84,-0.95
200709,2.54,-1.25
200809,8.24,4.45
200909,2.11,-1.68
201009,2.43,-1.36
201109,7.26,3.47
201209,5.34,1.55
201309,3.45,-0.34
201409,1.43,-2.36
201509,4.19,0.40
201609,2.36,-1.43
201709,3.42,-0.37
201809,7.60,3.81
201909,1.89,-1.90
202009,2.18,-1.61
202109,7.41,3.62
