Michigan, Precipitation, November
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,2.95,0.38
195111,2.66,0.09
195211,3.11,0.54
195311,1.51,-1.06
195411,1.78,-0.79
195511,2.81,0.24
195611,2.36,-0.21
195711,3.39,0.82
195811,3.02,0.45
195911,2.69,0.12
196011,2.77,0.20
196111,2.32,-0.25
196211,0.88,-1.69
196311,2.42,-0.15
196411,2.47,-0.10
196511,3.03,0.46
196611,4.44,1.87
196711,2.51,-0.06
196811,2.67,0.10
196911,2.27,-0.30
197011,2.90,0.33
197111,2.20,-0.37
197211,2.23,-0.34
197311,2.70,0.13
197411,2.61,0.04
197511,3.38,0.81
197611,1.35,-1.22
197711,3.03,0.46
197811,2.15,-0.42
197911,3.25,0.68
198011,1.28,-1.29
198111,1.54,-1.03
198211,3.97,1.40
198311,3.12,0.55
198411,2.49,-0.08
198511,4.83,2.26
198611,1.18,-1.39
198711,2.71,0.14
198811,5.06,2.49
198911,2.88,0.31
199011,3.43,0.86
199111,3.26,0.69
199211,4.47,1.90
199311,1.99,-0.58
199411,3.43,0.86
199511,3.48,0.91
199611,1.95,-0.62
199711,1.65,-0.92
199811,2.24,-0.33
199911,1.18,-1.39
200011,2.77,0.20
200111,2.44,-0.13
200211,1.58,-0.99
200311,4.60,2.03
200411,2.79,0.22
200511,4.15,1.58
200611,2.34,-0.23
200711,1.61,-0.96
200811,2.22,-0.35
200911,1.09,-1.48
201011,2.15,-0.42
201111,3.19,0.62
201211,0.99,-1.58
201311,3.83,1.26
201411,3.51,0.94
201511,3.06,0.49
201611,2.04,-0.53
201711,2.74,0.17
201811,2.53,-0.04
201911,2.69,0.12
202011,2.17,-0.40
202111,1.76,-0.81
