Michigan, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,2.26,0.25
195112,2.65,0.64
195212,1.88,-0.13
195312,1.90,-0.11
195412,1.63,-0.38
195512,1.52,-0.49
195612,1.54,-0.47
195712,2.05,0.04
195812,1.10,-0.91
195912,2.26,0.25
196012,0.79,-1.22
196112,1.71,-0.30
196212,1.68,-0.33
196312,1.64,-0.37
196412,1.90,-0.11
196512,3.06,1.05
196612,2.75,0.74
196712,2.80,0.79
196812,3.32,1.31
196912,1.15,-0.86
197012,2.13,0.12
197112,4.07,2.06
197212,3.76,1.75
197312,2.65,0.64
197412,1.69,-0.32
197512,2.53,0.52
197612,1.24,-0.77
197712,2.88,0.87
197812,2.34,0.33
197912,1.92,-0.09
198012,2.42,0.41
198112,1.62,-0.39
198212,3.61,1.60
198312,2.59,0.58
198412,3.14,1.13
198512,2.18,0.17
198612,1.22,-0.79
198712,2.99,0.98
198812,1.89,-0.12
198912,1.33,-0.68
199012,2.33,0.32
199112,1.90,-0.11
199212,2.28,0.27
199312,1.06,-0.95
199412,0.96,-1.05
199512,1.71,-0.30
199612,3.00,0.99
199712,1.13,-0.88
199812,1.71,-0.30
199912,2.19,0.18
200012,2.53,0.52
200112,1.97,-0.04
200212,1.14,-0.87
200312,1.93,-0.08
200412,2.92,0.91
200512,1.96,-0.05
200612,2.85,0.84
200712,2.62,0.61
200812,4.23,2.22
200912,2.34,0.33
201012,1.43,-0.58
201112,1.87,-0.14
201212,2.45,0.44
201312,2.19,0.18
201412,1.77,-0.24
201512,3.73,1.72
201612,2.30,0.29
201712,1.88,-0.13
201812,1.83,-0.18
201912,3.42,1.41
202012,1.69,-0.32
202112,2.54,0.53
